Time,bath and body works
2023-12-22,54
2023-12-23,60
2023-12-24,53
2023-12-25,37
2023-12-26,100
2023-12-27,64
2023-12-28,52
2023-12-29,46
2023-12-30,41
2023-12-31,32
2024-01-01,33
2024-01-02,28
2024-01-03,24
2024-01-04,25
2024-01-05,25
2024-01-06,26
2024-01-07,25
2024-01-08,18
2024-01-09,17
2024-01-10,19
2024-01-11,19
2024-01-12,19
2024-01-13,23
2024-01-14,22
2024-01-15,19
2024-01-16,14
2024-01-17,16
2024-01-18,16
2024-01-19,16
2024-01-20,19
2024-01-21,22
2024-01-22,15
2024-01-23,13
2024-01-24,15
2024-01-25,14
2024-01-26,15
2024-01-27,20
2024-01-28,20
2024-01-29,14
2024-01-30,13
2024-01-31,14
2024-02-01,14
2024-02-02,14
2024-02-03,20
2024-02-04,21
2024-02-05,14
2024-02-06,13
2024-02-07,15
2024-02-08,15
2024-02-09,16
2024-02-10,20
2024-02-11,19
2024-02-12,12
2024-02-13,16
2024-02-14,18
2024-02-15,14
2024-02-16,15
2024-02-17,21
2024-02-18,24
2024-02-19,20
2024-02-20,16
2024-02-21,14
2024-02-22,15
2024-02-23,15
2024-02-24,19
2024-02-25,21
2024-02-26,14
2024-02-27,14
2024-02-28,16
2024-02-29,15
2024-03-01,17
2024-03-02,21
2024-03-03,24
2024-03-04,15
2024-03-05,14
2024-03-06,15
2024-03-07,16
2024-03-08,15
2024-03-09,21
2024-03-10,19
2024-03-11,15
2024-03-12,16
2024-03-13,15
2024-03-14,16
2024-03-15,20
2024-03-16,22
2024-03-17,23
2024-03-18,15
2024-03-19,13
2024-03-20,14
2024-03-21,14
2024-03-22,17
2024-03-23,23
2024-03-24,22
2024-03-25,17
2024-03-26,18
2024-03-27,19
2024-03-28,17
2024-03-29,18
2024-03-30,22
2024-03-31,30
2024-04-01,19
2024-04-02,15
2024-04-03,16
2024-04-04,17
2024-04-05,22
2024-04-06,28
2024-04-07,28
2024-04-08,16
2024-04-09,13
2024-04-10,15
2024-04-11,14
2024-04-12,16
2024-04-13,24
2024-04-14,19
2024-04-15,14
2024-04-16,14
2024-04-17,15
2024-04-18,15
2024-04-19,16
2024-04-20,19
2024-04-21,20
2024-04-22,13
2024-04-23,14
2024-04-24,14
2024-04-25,14
2024-04-26,21
2024-04-27,22
2024-04-28,24
2024-04-29,15
2024-04-30,14
2024-05-01,13
2024-05-02,19
2024-05-03,17
2024-05-04,22
2024-05-05,23
2024-05-06,16
2024-05-07,16
2024-05-08,18
2024-05-09,20
2024-05-10,21
2024-05-11,27
2024-05-12,28
2024-05-13,16
2024-05-14,13
2024-05-15,13
2024-05-16,13
2024-05-17,13
2024-05-18,18
2024-05-19,20
2024-05-20,13
2024-05-21,13
2024-05-22,13
2024-05-23,13
2024-05-24,14
2024-05-25,18
2024-05-26,20
2024-05-27,22
2024-05-28,15
2024-05-29,15
2024-05-30,16
2024-05-31,22
2024-06-01,46
2024-06-02,47
2024-06-03,23
2024-06-04,23
2024-06-05,24
2024-06-06,21
2024-06-07,20
2024-06-08,23
2024-06-09,26
2024-06-10,20
2024-06-11,18
2024-06-12,18
2024-06-13,21
2024-06-14,22
2024-06-15,24
2024-06-16,24
2024-06-17,17
2024-06-18,16
2024-06-19,19
2024-06-20,16
2024-06-21,18
2024-06-22,23
2024-06-23,22
2024-06-24,17
2024-06-25,15
2024-06-26,15
2024-06-27,17
2024-06-28,16
2024-06-29,20
2024-06-30,21
2024-07-01,14
2024-07-02,14
2024-07-03,15
2024-07-04,17
2024-07-05,16
2024-07-06,18
2024-07-07,18
2024-07-08,15
2024-07-09,14
2024-07-10,15
2024-07-11,15
2024-07-12,18
2024-07-13,18
2024-07-14,18
2024-07-15,14
2024-07-16,16
2024-07-17,16
2024-07-18,18
2024-07-19,18
2024-07-20,20
2024-07-21,20
2024-07-22,16
2024-07-23,16
2024-07-24,18
2024-07-25,21
2024-07-26,20
2024-07-27,23
2024-07-28,25
2024-07-29,18
2024-07-30,16
2024-07-31,17
2024-08-01,17
2024-08-02,19
2024-08-03,22
2024-08-04,25
2024-08-05,20
2024-08-06,16
2024-08-07,17
2024-08-08,18
2024-08-09,17
2024-08-10,22
2024-08-11,23
2024-08-12,16
2024-08-13,16
2024-08-14,16
2024-08-15,20
2024-08-16,26
2024-08-17,34
2024-08-18,35
2024-08-19,20
2024-08-20,19
2024-08-21,18
2024-08-22,22
2024-08-23,20
2024-08-24,26
2024-08-25,29
2024-08-26,17
2024-08-27,16
2024-08-28,18
2024-08-29,17
2024-08-30,23
2024-08-31,25
2024-09-01,28
2024-09-02,32
2024-09-03,18
2024-09-04,15
2024-09-05,18
2024-09-06,18
2024-09-07,24
2024-09-08,25
2024-09-09,15
2024-09-10,15
2024-09-11,15
2024-09-12,16
2024-09-13,21
2024-09-14,27
2024-09-15,26
2024-09-16,18
