Time,usps
2023-04-26,55
2023-04-27,54
2023-04-28,53
2023-04-29,49
2023-04-30,31
2023-05-01,56
2023-05-02,54
2023-05-03,56
2023-05-04,54
2023-05-05,53
2023-05-06,48
2023-05-07,30
2023-05-08,59
2023-05-09,57
2023-05-10,57
2023-05-11,59
2023-05-12,56
2023-05-13,52
2023-05-14,30
2023-05-15,56
2023-05-16,55
2023-05-17,56
2023-05-18,54
2023-05-19,55
2023-05-20,50
2023-05-21,34
2023-05-22,61
2023-05-23,56
2023-05-24,56
2023-05-25,59
2023-05-26,54
2023-05-27,45
2023-05-28,27
2023-05-29,34
2023-05-30,59
2023-05-31,57
2023-06-01,58
2023-06-02,58
2023-06-03,52
2023-06-04,32
2023-06-05,62
2023-06-06,57
2023-06-07,58
2023-06-08,58
2023-06-09,58
2023-06-10,50
2023-06-11,32
2023-06-12,61
2023-06-13,58
2023-06-14,63
2023-06-15,63
2023-06-16,62
2023-06-17,52
2023-06-18,32
2023-06-19,63
2023-06-20,67
2023-06-21,63
2023-06-22,59
2023-06-23,63
2023-06-24,51
2023-06-25,33
2023-06-26,64
2023-06-27,65
2023-06-28,61
2023-06-29,60
2023-06-30,59
2023-07-01,50
2023-07-02,35
2023-07-03,63
2023-07-04,35
2023-07-05,59
2023-07-06,58
2023-07-07,60
2023-07-08,54
2023-07-09,35
2023-07-10,64
2023-07-11,59
2023-07-12,57
2023-07-13,61
2023-07-14,58
2023-07-15,53
2023-07-16,32
2023-07-17,58
2023-07-18,58
2023-07-19,60
2023-07-20,58
2023-07-21,56
2023-07-22,49
2023-07-23,33
2023-07-24,63
2023-07-25,58
2023-07-26,56
2023-07-27,56
2023-07-28,57
2023-07-29,51
2023-07-30,33
2023-07-31,63
2023-08-01,59
2023-08-02,58
2023-08-03,57
2023-08-04,57
2023-08-05,50
2023-08-06,32
2023-08-07,59
2023-08-08,60
2023-08-09,59
2023-08-10,59
2023-08-11,57
2023-08-12,50
2023-08-13,33
2023-08-14,61
2023-08-15,59
2023-08-16,53
2023-08-17,59
2023-08-18,58
2023-08-19,50
2023-08-20,30
2023-08-21,59
2023-08-22,58
2023-08-23,59
2023-08-24,55
2023-08-25,53
2023-08-26,47
2023-08-27,31
2023-08-28,60
2023-08-29,64
2023-08-30,58
2023-08-31,56
2023-09-01,55
2023-09-02,44
2023-09-03,29
2023-09-04,35
2023-09-05,57
2023-09-06,52
2023-09-07,53
2023-09-08,54
2023-09-09,49
2023-09-10,31
2023-09-11,59
2023-09-12,55
2023-09-13,57
2023-09-14,54
2023-09-15,54
2023-09-16,47
2023-09-17,29
2023-09-18,55
2023-09-19,52
2023-09-20,53
2023-09-21,54
2023-09-22,52
2023-09-23,47
2023-09-24,29
2023-09-25,63
2023-09-26,56
2023-09-27,54
2023-09-28,56
2023-09-29,52
2023-09-30,46
2023-10-01,30
2023-10-02,54
2023-10-03,53
2023-10-04,55
2023-10-05,57
2023-10-06,53
2023-10-07,47
2023-10-08,29
2023-10-09,57
2023-10-10,67
2023-10-11,59
2023-10-12,56
2023-10-13,56
2023-10-14,48
2023-10-15,32
2023-10-16,72
2023-10-17,61
2023-10-18,60
2023-10-19,59
2023-10-20,55
2023-10-21,49
2023-10-22,32
2023-10-23,59
2023-10-24,56
2023-10-25,60
2023-10-26,55
2023-10-27,52
2023-10-28,48
2023-10-29,29
2023-10-30,57
2023-10-31,50
2023-11-01,51
2023-11-02,51
2023-11-03,50
2023-11-04,45
2023-11-05,30
2023-11-06,58
2023-11-07,58
2023-11-08,56
2023-11-09,58
2023-11-10,61
2023-11-11,49
2023-11-12,33
2023-11-13,65
2023-11-14,69
2023-11-15,63
2023-11-16,61
2023-11-17,61
2023-11-18,58
2023-11-19,35
2023-11-20,67
2023-11-21,62
2023-11-22,62
2023-11-23,33
2023-11-24,56
2023-11-25,52
2023-11-26,36
2023-11-27,65
2023-11-28,67
2023-11-29,67
2023-11-30,70
2023-12-01,83
2023-12-02,73
2023-12-03,47
2023-12-04,82
2023-12-05,83
2023-12-06,79
2023-12-07,77
2023-12-08,77
2023-12-09,73
2023-12-10,54
2023-12-11,85
2023-12-12,83
2023-12-13,82
2023-12-14,83
2023-12-15,89
2023-12-16,90
2023-12-17,58
2023-12-18,95
2023-12-19,100
2023-12-20,96
2023-12-21,96
2023-12-22,98
2023-12-23,82
2023-12-24,50
2023-12-25,30
2023-12-26,69
2023-12-27,67
2023-12-28,64
2023-12-29,68
2023-12-30,57
2023-12-31,36
2024-01-01,35
2024-01-02,70
2024-01-03,65
2024-01-04,62
2024-01-05,63
2024-01-06,60
2024-01-07,36
2024-01-08,65
2024-01-09,63
2024-01-10,63
2024-01-11,62
2024-01-12,62
2024-01-13,60
2024-01-14,36
2024-01-15,54
2024-01-16,67
2024-01-17,68
2024-01-18,67
2024-01-19,66
2024-01-20,64
