Time,usps
2022-08-29,59
2022-08-30,55
2022-08-31,59
2022-09-01,56
2022-09-02,53
2022-09-03,44
2022-09-04,25
2022-09-05,33
2022-09-06,57
2022-09-07,55
2022-09-08,52
2022-09-09,54
2022-09-10,46
2022-09-11,30
2022-09-12,60
2022-09-13,55
2022-09-14,54
2022-09-15,53
2022-09-16,50
2022-09-17,46
2022-09-18,27
2022-09-19,53
2022-09-20,54
2022-09-21,48
2022-09-22,51
2022-09-23,50
2022-09-24,45
2022-09-25,28
2022-09-26,50
2022-09-27,49
2022-09-28,52
2022-09-29,49
2022-09-30,50
2022-10-01,44
2022-10-02,27
2022-10-03,50
2022-10-04,54
2022-10-05,53
2022-10-06,52
2022-10-07,53
2022-10-08,45
2022-10-09,29
2022-10-10,57
2022-10-11,60
2022-10-12,52
2022-10-13,55
2022-10-14,56
2022-10-15,46
2022-10-16,29
2022-10-17,55
2022-10-18,52
2022-10-19,55
2022-10-20,54
2022-10-21,51
2022-10-22,46
2022-10-23,28
2022-10-24,55
2022-10-25,53
2022-10-26,55
2022-10-27,55
2022-10-28,50
2022-10-29,46
2022-10-30,27
2022-10-31,50
2022-11-01,48
2022-11-02,50
2022-11-03,50
2022-11-04,49
2022-11-05,43
2022-11-06,27
2022-11-07,48
2022-11-08,49
2022-11-09,46
2022-11-10,49
2022-11-11,51
2022-11-12,48
2022-11-13,30
2022-11-14,52
2022-11-15,53
2022-11-16,54
2022-11-17,59
2022-11-18,56
2022-11-19,52
2022-11-20,32
2022-11-21,57
2022-11-22,57
2022-11-23,56
2022-11-24,28
2022-11-25,51
2022-11-26,45
2022-11-27,33
2022-11-28,56
2022-11-29,60
2022-11-30,60
2022-12-01,66
2022-12-02,69
2022-12-03,62
2022-12-04,44
2022-12-05,71
2022-12-06,73
2022-12-07,72
2022-12-08,74
2022-12-09,69
2022-12-10,68
2022-12-11,47
2022-12-12,77
2022-12-13,77
2022-12-14,79
2022-12-15,84
2022-12-16,100
2022-12-17,96
2022-12-18,58
2022-12-19,98
2022-12-20,96
2022-12-21,91
2022-12-22,90
2022-12-23,84
2022-12-24,70
2022-12-25,34
2022-12-26,68
2022-12-27,74
2022-12-28,75
2022-12-29,72
2022-12-30,68
2022-12-31,57
2023-01-01,31
2023-01-02,67
2023-01-03,64
2023-01-04,64
2023-01-05,60
2023-01-06,65
2023-01-07,59
2023-01-08,37
2023-01-09,59
2023-01-10,60
2023-01-11,60
2023-01-12,60
2023-01-13,59
2023-01-14,54
2023-01-15,33
2023-01-16,54
2023-01-17,62
2023-01-18,59
2023-01-19,58
2023-01-20,55
2023-01-21,50
2023-01-22,30
2023-01-23,56
2023-01-24,56
2023-01-25,52
2023-01-26,53
2023-01-27,53
2023-01-28,46
2023-01-29,28
2023-01-30,51
2023-01-31,54
2023-02-01,53
2023-02-02,54
2023-02-03,58
2023-02-04,55
2023-02-05,34
2023-02-06,63
2023-02-07,59
2023-02-08,57
2023-02-09,56
2023-02-10,57
2023-02-11,53
2023-02-12,31
2023-02-13,55
2023-02-14,54
2023-02-15,55
2023-02-16,54
2023-02-17,57
2023-02-18,47
2023-02-19,31
2023-02-20,50
2023-02-21,58
2023-02-22,55
2023-02-23,54
2023-02-24,58
2023-02-25,52
2023-02-26,34
2023-02-27,56
2023-02-28,57
2023-03-01,58
2023-03-02,58
2023-03-03,55
2023-03-04,51
2023-03-05,33
2023-03-06,61
2023-03-07,57
2023-03-08,64
2023-03-09,58
2023-03-10,54
2023-03-11,50
2023-03-12,31
2023-03-13,59
2023-03-14,55
2023-03-15,59
2023-03-16,56
2023-03-17,55
2023-03-18,49
2023-03-19,32
2023-03-20,56
2023-03-21,54
2023-03-22,54
2023-03-23,57
2023-03-24,58
2023-03-25,47
2023-03-26,30
2023-03-27,60
2023-03-28,54
2023-03-29,57
2023-03-30,55
2023-03-31,53
2023-04-01,48
2023-04-02,31
2023-04-03,56
2023-04-04,57
2023-04-05,58
2023-04-06,61
2023-04-07,61
2023-04-08,50
2023-04-09,29
2023-04-10,61
2023-04-11,61
2023-04-12,55
2023-04-13,54
2023-04-14,55
2023-04-15,51
2023-04-16,31
2023-04-17,59
2023-04-18,56
2023-04-19,52
2023-04-20,52
2023-04-21,51
2023-04-22,48
2023-04-23,30
2023-04-24,53
2023-04-25,51
2023-04-26,53
2023-04-27,52
2023-04-28,51
2023-04-29,47
2023-04-30,30
2023-05-01,54
2023-05-02,52
2023-05-03,54
2023-05-04,52
2023-05-05,51
2023-05-06,46
2023-05-07,28
2023-05-08,57
2023-05-09,55
2023-05-10,55
2023-05-11,56
2023-05-12,53
2023-05-13,50
2023-05-14,29
2023-05-15,54
2023-05-16,53
2023-05-17,54
2023-05-18,52
2023-05-19,53
2023-05-20,48
2023-05-21,32
2023-05-22,58
2023-05-23,54
2023-05-24,54
2023-05-25,57
