Time,masters
2023-04-26,59
2023-04-27,59
2023-04-28,51
2023-04-29,60
2023-04-30,56
2023-05-01,61
2023-05-02,63
2023-05-03,59
2023-05-04,63
2023-05-05,62
2023-05-06,68
2023-05-07,61
2023-05-08,81
2023-05-09,90
2023-05-10,82
2023-05-11,89
2023-05-12,96
2023-05-13,89
2023-05-14,66
2023-05-15,82
2023-05-16,92
2023-05-17,87
2023-05-18,93
2023-05-19,89
2023-05-20,83
2023-05-21,83
2023-05-22,73
2023-05-23,79
2023-05-24,89
2023-05-25,94
2023-05-26,60
2023-05-27,60
2023-05-28,52
2023-05-29,56
2023-05-30,55
2023-05-31,61
2023-06-01,91
2023-06-02,71
2023-06-03,62
2023-06-04,57
2023-06-05,60
2023-06-06,58
2023-06-07,59
2023-06-08,56
2023-06-09,55
2023-06-10,65
2023-06-11,51
2023-06-12,60
2023-06-13,59
2023-06-14,58
2023-06-15,60
2023-06-16,55
2023-06-17,61
2023-06-18,61
2023-06-19,69
2023-06-20,65
2023-06-21,56
2023-06-22,53
2023-06-23,51
2023-06-24,63
2023-06-25,58
2023-06-26,53
2023-06-27,58
2023-06-28,54
2023-06-29,61
2023-06-30,48
2023-07-01,55
2023-07-02,56
2023-07-03,54
2023-07-04,50
2023-07-05,54
2023-07-06,55
2023-07-07,55
2023-07-08,55
2023-07-09,55
2023-07-10,61
2023-07-11,64
2023-07-12,62
2023-07-13,60
2023-07-14,66
2023-07-15,66
2023-07-16,58
2023-07-17,76
2023-07-18,69
2023-07-19,67
2023-07-20,72
2023-07-21,62
2023-07-22,69
2023-07-23,66
2023-07-24,78
2023-07-25,72
2023-07-26,64
2023-07-27,59
2023-07-28,59
2023-07-29,69
2023-07-30,56
2023-07-31,59
2023-08-01,59
2023-08-02,58
2023-08-03,62
2023-08-04,63
2023-08-05,61
2023-08-06,55
2023-08-07,61
2023-08-08,61
2023-08-09,60
2023-08-10,59
2023-08-11,59
2023-08-12,59
2023-08-13,54
2023-08-14,61
2023-08-15,65
2023-08-16,65
2023-08-17,62
2023-08-18,59
2023-08-19,58
2023-08-20,61
2023-08-21,61
2023-08-22,63
2023-08-23,58
2023-08-24,61
2023-08-25,58
2023-08-26,56
2023-08-27,57
2023-08-28,58
2023-08-29,59
2023-08-30,58
2023-08-31,65
2023-09-01,62
2023-09-02,58
2023-09-03,64
2023-09-04,63
2023-09-05,62
2023-09-06,54
2023-09-07,56
2023-09-08,48
2023-09-09,54
2023-09-10,49
2023-09-11,60
2023-09-12,56
2023-09-13,54
2023-09-14,53
2023-09-15,50
2023-09-16,54
2023-09-17,48
2023-09-18,57
2023-09-19,63
2023-09-20,56
2023-09-21,53
2023-09-22,52
2023-09-23,55
2023-09-24,49
2023-09-25,59
2023-09-26,54
2023-09-27,57
2023-09-28,52
2023-09-29,54
2023-09-30,59
2023-10-01,49
2023-10-02,50
2023-10-03,58
2023-10-04,57
2023-10-05,59
2023-10-06,74
2023-10-07,72
2023-10-08,62
2023-10-09,68
2023-10-10,79
2023-10-11,72
2023-10-12,71
2023-10-13,66
2023-10-14,60
2023-10-15,58
2023-10-16,55
2023-10-17,61
2023-10-18,57
2023-10-19,53
2023-10-20,59
2023-10-21,59
2023-10-22,50
2023-10-23,54
2023-10-24,55
2023-10-25,58
2023-10-26,56
2023-10-27,53
2023-10-28,49
2023-10-29,51
2023-10-30,70
2023-10-31,84
2023-11-01,84
2023-11-02,94
2023-11-03,92
2023-11-04,100
2023-11-05,76
2023-11-06,59
2023-11-07,56
2023-11-08,53
2023-11-09,57
2023-11-10,55
2023-11-11,61
2023-11-12,48
2023-11-13,54
2023-11-14,56
2023-11-15,55
2023-11-16,53
2023-11-17,50
2023-11-18,56
2023-11-19,45
2023-11-20,53
2023-11-21,54
2023-11-22,48
2023-11-23,41
2023-11-24,41
2023-11-25,48
2023-11-26,53
2023-11-27,52
2023-11-28,58
2023-11-29,54
2023-11-30,52
2023-12-01,54
2023-12-02,56
2023-12-03,52
2023-12-04,53
2023-12-05,61
2023-12-06,55
2023-12-07,52
2023-12-08,57
2023-12-09,71
2023-12-10,53
2023-12-11,55
2023-12-12,55
2023-12-13,54
2023-12-14,58
2023-12-15,60
2023-12-16,65
2023-12-17,57
2023-12-18,59
2023-12-19,55
2023-12-20,57
2023-12-21,51
2023-12-22,53
2023-12-23,58
2023-12-24,44
2023-12-25,43
2023-12-26,50
2023-12-27,50
2023-12-28,56
2023-12-29,53
2023-12-30,59
2023-12-31,47
2024-01-01,50
2024-01-02,64
2024-01-03,62
2024-01-04,59
2024-01-05,56
2024-01-06,62
2024-01-07,61
2024-01-08,60
2024-01-09,63
2024-01-10,64
2024-01-11,63
2024-01-12,66
2024-01-13,59
2024-01-14,55
2024-01-15,56
2024-01-16,57
2024-01-17,63
2024-01-18,64
2024-01-19,59
2024-01-20,62
