Time,dicks_sporting_good
2022-01-01,91.0
2022-01-02,96.0
2022-01-03,64.0
2022-01-04,67.0
2022-01-05,61.0
2022-01-06,51.0
2022-01-07,63.0
2022-01-08,91.0
2022-01-09,83.0
2022-01-10,51.0
2022-01-11,61.0
2022-01-12,53.0
2022-01-13,61.0
2022-01-14,52.0
2022-01-15,95.0
2022-01-16,73.0
2022-01-17,61.0
2022-01-18,46.0
2022-01-19,45.0
2022-01-20,45.0
2022-01-21,56.0
2022-01-22,80.0
2022-01-23,78.0
2022-01-24,48.0
2022-01-25,45.0
2022-01-26,44.0
2022-01-27,48.0
2022-01-28,59.0
2022-01-29,77.0
2022-01-30,86.0
2022-01-31,61.0
2022-02-01,53.0
2022-02-02,53.0
2022-02-03,50.0
2022-02-04,56.0
2022-02-05,79.0
2022-02-06,88.0
2022-02-07,56.0
2022-02-08,52.0
2022-02-09,53.0
2022-02-10,44.0
2022-02-11,60.0
2022-02-12,89.0
2022-02-13,71.0
2022-02-14,51.0
2022-02-15,50.0
2022-02-16,50.0
2022-02-17,51.0
2022-02-18,58.0
2022-02-19,84.0
2022-02-20,83.0
2022-02-21,68.0
2022-02-22,54.0
2022-02-23,50.0
2022-02-24,50.0
2022-02-25,58.0
2022-02-26,81.0
2022-02-27,83.0
2022-02-28,58.0
2022-03-01,61.0
2022-03-02,58.0
2022-03-03,60.0
2022-03-04,67.0
2022-03-05,93.0
2022-03-06,100.0
2022-03-07,65.0
2022-03-08,58.0
2022-03-09,56.0
2022-03-10,56.0
2022-03-11,65.0
2022-03-12,85.0
2022-03-13,89.0
2022-03-14,60.0
2022-03-15,59.0
2022-03-16,61.0
2022-03-17,56.0
2022-03-18,65.0
2022-03-19,96.0
2022-03-20,97.0
2022-03-21,66.0
2022-03-22,70.0
2022-03-23,59.0
2022-03-24,66.0
2022-03-25,64.0
2022-03-26,87.0
2022-03-27,99.0
2022-03-28,68.0
2022-03-29,59.0
2022-03-30,59.0
2022-03-31,57.0
2022-04-01,67.0
2022-04-02,82.0
2022-04-03,96.0
2022-04-04,61.0
2022-04-05,61.0
2022-04-06,58.0
2022-04-07,61.0
2022-04-08,44.0
2022-04-09,24.0
2022-04-10,22.0
2022-04-11,12.0
2022-04-12,12.0
2022-04-13,12.0
2022-04-14,12.0
2022-04-15,17.0
2022-04-16,19.0
2022-04-17,21.0
2022-04-18,16.0
2022-04-19,13.0
2022-04-20,12.0
2022-04-21,13.0
2022-04-22,13.0
2022-04-23,18.0
2022-04-24,20.0
2022-04-25,13.0
2022-04-26,11.0
2022-04-27,11.0
2022-04-28,12.0
2022-04-29,12.0
2022-04-30,17.0
2022-05-01,19.0
2022-05-02,12.0
2022-05-03,12.0
2022-05-04,11.0
2022-05-05,12.0
2022-05-06,13.0
2022-05-07,17.0
2022-05-08,17.0
2022-05-09,12.0
2022-05-10,12.0
2022-05-11,11.0
2022-05-12,12.0
2022-05-13,12.0
2022-05-14,19.0
2022-05-15,18.0
2022-05-16,12.0
2022-05-17,10.0
2022-05-18,44.0
2022-05-19,33.0
2022-05-20,14.0
2022-05-21,19.0
2022-05-22,21.0
2022-05-23,13.0
2022-05-24,13.0
2022-05-25,12.0
2022-05-26,12.0
2022-05-27,16.0
2022-05-28,19.0
2022-05-29,20.0
2022-05-30,19.0
2022-05-31,13.0
2022-06-01,11.0
2022-06-02,12.0
2022-06-03,11.0
2022-06-04,14.0
2022-06-05,13.0
2022-06-06,9.0
2022-06-07,9.0
2022-06-08,9.0
2022-06-09,9.0
2022-06-10,9.0
2022-06-11,12.0
2022-06-12,12.0
2022-06-13,9.0
2022-06-14,10.0
2022-06-15,8.0
2022-06-16,9.0
2022-06-17,11.0
2022-06-18,14.0
2022-06-19,14.0
2022-06-20,8.0
2022-06-21,6.0
2022-06-22,7.0
2022-06-23,8.0
2022-06-24,8.0
2022-06-25,11.0
2022-06-26,9.0
2022-06-27,7.0
2022-06-28,6.0
2022-06-29,6.0
2022-06-30,7.0
2022-07-01,7.0
2022-07-02,10.0
2022-07-03,8.0
2022-07-04,10.0
2022-07-05,7.0
2022-07-06,6.0
2022-07-07,5.0
2022-07-08,5.0
2022-07-09,8.0
2022-07-10,8.0
2022-07-11,7.0
2022-07-12,7.0
2022-07-13,6.0
2022-07-14,6.0
2022-07-15,7.0
2022-07-16,9.0
2022-07-17,9.0
2022-07-18,7.0
2022-07-19,6.0
2022-07-20,7.0
2022-07-21,6.0
2022-07-22,7.0
