Time,united airlines
2023-12-22,44
2023-12-23,39
2023-12-24,35
2023-12-25,33
2023-12-26,47
2023-12-27,46
2023-12-28,46
2023-12-29,45
2023-12-30,38
2023-12-31,37
2024-01-01,40
2024-01-02,48
2024-01-03,51
2024-01-04,51
2024-01-05,46
2024-01-06,47
2024-01-07,50
2024-01-08,55
2024-01-09,57
2024-01-10,56
2024-01-11,56
2024-01-12,48
2024-01-13,44
2024-01-14,42
2024-01-15,48
2024-01-16,56
2024-01-17,51
2024-01-18,50
2024-01-19,62
2024-01-20,76
2024-01-21,63
2024-01-22,68
2024-01-23,59
2024-01-24,49
2024-01-25,47
2024-01-26,45
2024-01-27,39
2024-01-28,41
2024-01-29,40
2024-01-30,45
2024-01-31,44
2024-02-01,44
2024-02-02,41
2024-02-03,40
2024-02-04,45
2024-02-05,44
2024-02-06,42
2024-02-07,43
2024-02-08,43
2024-02-09,45
2024-02-10,43
2024-02-11,38
2024-02-12,39
2024-02-13,45
2024-02-14,41
2024-02-15,46
2024-02-16,40
2024-02-17,43
2024-02-18,43
2024-02-19,46
2024-02-20,45
2024-02-21,47
2024-02-22,43
2024-02-23,45
2024-02-24,44
2024-02-25,42
2024-02-26,45
2024-02-27,45
2024-02-28,43
2024-02-29,44
2024-03-01,45
2024-03-02,43
2024-03-03,46
2024-03-04,46
2024-03-05,50
2024-03-06,50
2024-03-07,47
2024-03-08,57
2024-03-09,59
2024-03-10,53
2024-03-11,51
2024-03-12,52
2024-03-13,51
2024-03-14,52
2024-03-15,48
2024-03-16,51
2024-03-17,45
2024-03-18,59
2024-03-19,66
2024-03-20,58
2024-03-21,46
2024-03-22,41
2024-03-23,45
2024-03-24,47
2024-03-25,55
2024-03-26,47
2024-03-27,47
2024-03-28,45
2024-03-29,41
2024-03-30,52
2024-03-31,54
2024-04-01,55
2024-04-02,46
2024-04-03,47
2024-04-04,46
2024-04-05,44
2024-04-06,43
2024-04-07,39
2024-04-08,37
2024-04-09,45
2024-04-10,45
2024-04-11,45
2024-04-12,42
2024-04-13,41
2024-04-14,43
2024-04-15,43
2024-04-16,47
2024-04-17,53
2024-04-18,43
2024-04-19,39
2024-04-20,41
2024-04-21,44
2024-04-22,55
2024-04-23,47
2024-04-24,46
2024-04-25,44
2024-04-26,38
2024-04-27,40
2024-04-28,40
2024-04-29,46
2024-04-30,44
2024-05-01,43
2024-05-02,43
2024-05-03,44
2024-05-04,39
2024-05-05,43
2024-05-06,46
2024-05-07,44
2024-05-08,45
2024-05-09,45
2024-05-10,47
2024-05-11,41
2024-05-12,45
2024-05-13,53
2024-05-14,51
2024-05-15,46
2024-05-16,49
2024-05-17,45
2024-05-18,45
2024-05-19,44
2024-05-20,48
2024-05-21,51
2024-05-22,49
2024-05-23,48
2024-05-24,47
2024-05-25,43
2024-05-26,45
2024-05-27,48
2024-05-28,57
2024-05-29,64
2024-05-30,49
2024-05-31,46
2024-06-01,44
2024-06-02,46
2024-06-03,59
2024-06-04,76
2024-06-05,76
2024-06-06,52
2024-06-07,51
2024-06-08,42
2024-06-09,46
2024-06-10,45
2024-06-11,53
2024-06-12,54
2024-06-13,48
2024-06-14,45
2024-06-15,42
2024-06-16,44
2024-06-17,46
2024-06-18,47
2024-06-19,49
2024-06-20,47
2024-06-21,46
2024-06-22,45
2024-06-23,47
2024-06-24,49
2024-06-25,56
2024-06-26,48
2024-06-27,52
2024-06-28,51
2024-06-29,56
2024-06-30,48
2024-07-01,53
2024-07-02,51
2024-07-03,47
2024-07-04,44
2024-07-05,43
2024-07-06,44
2024-07-07,50
2024-07-08,53
2024-07-09,61
2024-07-10,66
2024-07-11,50
2024-07-12,50
2024-07-13,44
2024-07-14,46
2024-07-15,50
2024-07-16,51
2024-07-17,60
2024-07-18,53
2024-07-19,100
2024-07-20,64
2024-07-21,51
2024-07-22,57
2024-07-23,58
2024-07-24,50
2024-07-25,47
2024-07-26,44
2024-07-27,36
2024-07-28,41
2024-07-29,51
2024-07-30,52
2024-07-31,49
2024-08-01,45
2024-08-02,52
2024-08-03,46
2024-08-04,55
2024-08-05,50
2024-08-06,50
2024-08-07,47
2024-08-08,44
2024-08-09,45
2024-08-10,37
2024-08-11,38
2024-08-12,43
2024-08-13,46
2024-08-14,47
2024-08-15,46
2024-08-16,44
2024-08-17,44
2024-08-18,44
2024-08-19,49
2024-08-20,50
2024-08-21,48
2024-08-22,43
2024-08-23,44
2024-08-24,39
2024-08-25,42
2024-08-26,44
2024-08-27,44
2024-08-28,48
2024-08-29,46
2024-08-30,46
2024-08-31,41
2024-09-01,40
2024-09-02,44
2024-09-03,40
2024-09-04,43
2024-09-05,42
2024-09-06,39
2024-09-07,39
2024-09-08,36
2024-09-09,41
2024-09-10,42
2024-09-11,40
2024-09-12,43
2024-09-13,43
2024-09-14,37
2024-09-15,38
2024-09-16,42
