Time,united airlines
2023-04-26,59
2023-04-27,50
2023-04-28,51
2023-04-29,44
2023-04-30,51
2023-05-01,65
2023-05-02,62
2023-05-03,56
2023-05-04,56
2023-05-05,53
2023-05-06,46
2023-05-07,49
2023-05-08,57
2023-05-09,58
2023-05-10,57
2023-05-11,57
2023-05-12,55
2023-05-13,50
2023-05-14,49
2023-05-15,69
2023-05-16,66
2023-05-17,63
2023-05-18,62
2023-05-19,56
2023-05-20,51
2023-05-21,60
2023-05-22,61
2023-05-23,61
2023-05-24,63
2023-05-25,58
2023-05-26,56
2023-05-27,51
2023-05-28,50
2023-05-29,55
2023-05-30,59
2023-05-31,61
2023-06-01,66
2023-06-02,55
2023-06-03,55
2023-06-04,59
2023-06-05,63
2023-06-06,65
2023-06-07,66
2023-06-08,64
2023-06-09,55
2023-06-10,51
2023-06-11,54
2023-06-12,67
2023-06-13,70
2023-06-14,72
2023-06-15,66
2023-06-16,59
2023-06-17,51
2023-06-18,53
2023-06-19,65
2023-06-20,65
2023-06-21,67
2023-06-22,61
2023-06-23,60
2023-06-24,52
2023-06-25,70
2023-06-26,88
2023-06-27,100
2023-06-28,98
2023-06-29,93
2023-06-30,83
2023-07-01,70
2023-07-02,67
2023-07-03,62
2023-07-04,56
2023-07-05,64
2023-07-06,68
2023-07-07,67
2023-07-08,54
2023-07-09,63
2023-07-10,69
2023-07-11,71
2023-07-12,68
2023-07-13,67
2023-07-14,62
2023-07-15,56
2023-07-16,68
2023-07-17,71
2023-07-18,67
2023-07-19,71
2023-07-20,61
2023-07-21,57
2023-07-22,52
2023-07-23,55
2023-07-24,57
2023-07-25,64
2023-07-26,61
2023-07-27,56
2023-07-28,55
2023-07-29,58
2023-07-30,56
2023-07-31,66
2023-08-01,53
2023-08-02,59
2023-08-03,56
2023-08-04,60
2023-08-05,47
2023-08-06,52
2023-08-07,63
2023-08-08,67
2023-08-09,59
2023-08-10,57
2023-08-11,54
2023-08-12,51
2023-08-13,49
2023-08-14,55
2023-08-15,61
2023-08-16,56
2023-08-17,54
2023-08-18,53
2023-08-19,49
2023-08-20,53
2023-08-21,50
2023-08-22,53
2023-08-23,49
2023-08-24,49
2023-08-25,44
2023-08-26,42
2023-08-27,49
2023-08-28,54
2023-08-29,49
2023-08-30,52
2023-08-31,50
2023-09-01,48
2023-09-02,42
2023-09-03,42
2023-09-04,50
2023-09-05,96
2023-09-06,68
2023-09-07,52
2023-09-08,55
2023-09-09,49
2023-09-10,49
2023-09-11,55
2023-09-12,55
2023-09-13,50
2023-09-14,49
2023-09-15,50
2023-09-16,48
2023-09-17,49
2023-09-18,53
2023-09-19,51
2023-09-20,49
2023-09-21,49
2023-09-22,51
2023-09-23,43
2023-09-24,47
2023-09-25,49
2023-09-26,51
2023-09-27,48
2023-09-28,47
2023-09-29,46
2023-09-30,43
2023-10-01,46
2023-10-02,48
2023-10-03,55
2023-10-04,46
2023-10-05,47
2023-10-06,47
2023-10-07,44
2023-10-08,46
2023-10-09,49
2023-10-10,44
2023-10-11,49
2023-10-12,49
2023-10-13,45
2023-10-14,48
2023-10-15,45
2023-10-16,51
2023-10-17,49
2023-10-18,55
2023-10-19,48
2023-10-20,44
2023-10-21,43
2023-10-22,46
2023-10-23,45
2023-10-24,48
2023-10-25,46
2023-10-26,46
2023-10-27,45
2023-10-28,42
2023-10-29,41
2023-10-30,46
2023-10-31,44
2023-11-01,51
2023-11-02,49
2023-11-03,45
2023-11-04,42
2023-11-05,44
2023-11-06,47
2023-11-07,48
2023-11-08,47
2023-11-09,47
2023-11-10,44
2023-11-11,40
2023-11-12,42
2023-11-13,45
2023-11-14,47
2023-11-15,47
2023-11-16,45
2023-11-17,41
2023-11-18,44
2023-11-19,47
2023-11-20,46
2023-11-21,46
2023-11-22,48
2023-11-23,36
2023-11-24,45
2023-11-25,42
2023-11-26,46
2023-11-27,53
2023-11-28,62
2023-11-29,50
2023-11-30,47
2023-12-01,43
2023-12-02,40
2023-12-03,44
2023-12-04,45
2023-12-05,46
2023-12-06,51
2023-12-07,43
2023-12-08,42
2023-12-09,41
2023-12-10,42
2023-12-11,45
2023-12-12,46
2023-12-13,45
2023-12-14,45
2023-12-15,44
2023-12-16,43
2023-12-17,49
2023-12-18,45
2023-12-19,46
2023-12-20,51
2023-12-21,44
2023-12-22,49
2023-12-23,44
2023-12-24,39
2023-12-25,37
2023-12-26,53
2023-12-27,52
2023-12-28,51
2023-12-29,50
2023-12-30,43
2023-12-31,41
2024-01-01,45
2024-01-02,55
2024-01-03,58
2024-01-04,57
2024-01-05,52
2024-01-06,53
2024-01-07,56
2024-01-08,62
2024-01-09,65
2024-01-10,63
2024-01-11,63
2024-01-12,54
2024-01-13,50
2024-01-14,47
2024-01-15,54
2024-01-16,63
2024-01-17,58
2024-01-18,57
2024-01-19,70
2024-01-20,86
