Time,united airlines
2025-12-11,54
2025-12-12,53
2025-12-13,54
2025-12-14,62
2025-12-15,60
2025-12-16,55
2025-12-17,55
2025-12-18,58
2025-12-19,61
2025-12-20,58
2025-12-21,55
2025-12-22,60
2025-12-23,57
2025-12-24,54
2025-12-25,47
2025-12-26,62
2025-12-27,61
2025-12-28,60
2025-12-29,62
2025-12-30,66
2025-12-31,56
2026-01-01,51
2026-01-02,57
2026-01-03,61
2026-01-04,66
2026-01-05,63
2026-01-06,65
2026-01-07,62
2026-01-08,57
2026-01-09,57
2026-01-10,56
2026-01-11,56
2026-01-12,56
2026-01-13,64
2026-01-14,63
2026-01-15,62
2026-01-16,60
2026-01-17,60
2026-01-18,64
2026-01-19,67
2026-01-20,64
2026-01-21,67
2026-01-22,72
2026-01-23,65
2026-01-24,62
2026-01-25,61
2026-01-26,72
2026-01-27,65
2026-01-28,66
2026-01-29,60
2026-01-30,61
2026-01-31,61
2026-02-01,63
2026-02-02,62
2026-02-03,62
2026-02-04,64
2026-02-05,61
2026-02-06,58
2026-02-07,61
2026-02-08,55
2026-02-09,52
2026-02-10,56
2026-02-11,59
2026-02-12,59
2026-02-13,60
2026-02-14,56
2026-02-15,56
2026-02-16,66
2026-02-17,67
2026-02-18,61
2026-02-19,73
2026-02-20,58
2026-02-21,68
2026-02-22,70
2026-02-23,67
2026-02-24,70
2026-02-25,60
2026-02-26,67
2026-02-27,63
2026-02-28,61
2026-03-01,68
2026-03-02,65
2026-03-03,69
2026-03-04,63
2026-03-05,64
2026-03-06,66
2026-03-07,72
2026-03-08,79
2026-03-09,74
2026-03-10,69
2026-03-11,71
2026-03-12,64
2026-03-13,67
2026-03-14,71
2026-03-15,74
2026-03-16,84
2026-03-17,76
2026-03-18,67
2026-03-19,65
2026-03-20,61
2026-03-21,70
2026-03-22,71
2026-03-23,69
2026-03-24,69
2026-03-25,68
2026-03-26,62
2026-03-27,58
2026-03-28,55
2026-03-29,63
2026-03-30,59
2026-03-31,60
2026-04-01,59
2026-04-02,59
2026-04-03,60
2026-04-04,60
2026-04-05,52
2026-04-06,63
2026-04-07,61
2026-04-08,57
2026-04-09,60
2026-04-10,54
2026-04-11,59
2026-04-12,54
2026-04-13,57
2026-04-14,69
2026-04-15,67
2026-04-16,64
2026-04-17,66
2026-04-18,60
2026-04-19,65
2026-04-20,66
2026-04-21,56
2026-04-22,68
2026-04-23,59
2026-04-24,58
2026-04-25,55
2026-04-26,60
2026-04-27,61
2026-04-28,62
2026-04-29,62
2026-04-30,59
2026-05-01,63
2026-05-02,70
2026-05-03,91
2026-05-04,100
2026-05-05,74
2026-05-06,72
2026-05-07,69
2026-05-08,59
2026-05-09,53
2026-05-10,65
2026-05-11,69
2026-05-12,65
2026-05-13,66
2026-05-14,66
2026-05-15,62
2026-05-16,55
2026-05-17,61
2026-05-18,63
2026-05-19,68
2026-05-20,63
2026-05-21,69
2026-05-22,63
2026-05-23,58
2026-05-24,57
2026-05-25,71
2026-05-26,93
2026-05-27,70
2026-05-28,68
2026-05-29,58
2026-05-30,60
2026-05-31,67
