Time,pi
2022-01-01,8
2022-01-02,9
2022-01-03,9
2022-01-04,11
2022-01-05,11
2022-01-06,8
2022-01-07,10
2022-01-08,11
2022-01-09,9
2022-01-10,9
2022-01-11,10
2022-01-12,10
2022-01-13,11
2022-01-14,8
2022-01-15,11
2022-01-16,9
2022-01-17,9
2022-01-18,9
2022-01-19,10
2022-01-20,10
2022-01-21,11
2022-01-22,12
2022-01-23,10
2022-01-24,12
2022-01-25,9
2022-01-26,10
2022-01-27,9
2022-01-28,10
2022-01-29,12
2022-01-30,10
2022-01-31,10
2022-02-01,11
2022-02-02,10
2022-02-03,11
2022-02-04,10
2022-02-05,10
2022-02-06,11
2022-02-07,10
2022-02-08,11
2022-02-09,11
2022-02-10,9
2022-02-11,10
2022-02-12,10
2022-02-13,9
2022-02-14,10
2022-02-15,11
2022-02-16,11
2022-02-17,10
2022-02-18,10
2022-02-19,11
2022-02-20,10
2022-02-21,10
2022-02-22,10
2022-02-23,11
2022-02-24,10
2022-02-25,10
2022-02-26,11
2022-02-27,10
2022-02-28,11
2022-03-01,11
2022-03-02,10
2022-03-03,11
2022-03-04,11
2022-03-05,11
2022-03-06,12
2022-03-07,11
2022-03-08,12
2022-03-09,12
2022-03-10,12
2022-03-11,14
2022-03-12,15
2022-03-13,18
2022-03-14,100
2022-03-15,37
2022-03-16,15
2022-03-17,12
2022-03-18,11
2022-03-19,10
2022-03-20,10
2022-03-21,10
2022-03-22,10
2022-03-23,10
2022-03-24,10
2022-03-25,11
2022-03-26,10
2022-03-27,9
2022-03-28,11
2022-03-29,12
2022-03-30,10
2022-03-31,11
2022-04-01,11
2022-04-02,11
2022-04-03,10
2022-04-04,11
2022-04-05,11
2022-04-06,11
2022-04-07,11
2022-04-08,10
2022-04-09,11
2022-04-10,10
2022-04-11,11
2022-04-12,10
2022-04-13,10
2022-04-14,10
2022-04-15,10
2022-04-16,10
2022-04-17,9
2022-04-18,10
2022-04-19,11
2022-04-20,10
2022-04-21,10
2022-04-22,10
2022-04-23,9
2022-04-24,10
2022-04-25,10
2022-04-26,11
2022-04-27,10
2022-04-28,11
2022-04-29,10
2022-04-30,9
2022-05-01,9
2022-05-02,11
2022-05-03,10
2022-05-04,10
2022-05-05,10
2022-05-06,10
2022-05-07,15
2022-05-08,11
2022-05-09,11
2022-05-10,10
2022-05-11,12
2022-05-12,11
2022-05-13,15
2022-05-14,12
2022-05-15,9
2022-05-16,10
2022-05-17,10
2022-05-18,10
2022-05-19,10
2022-05-20,9
2022-05-21,9
2022-05-22,8
2022-05-23,10
2022-05-24,10
2022-05-25,9
2022-05-26,9
2022-05-27,9
2022-05-28,8
2022-05-29,8
2022-05-30,8
2022-05-31,9
2022-06-01,9
2022-06-02,9
2022-06-03,9
2022-06-04,8
2022-06-05,8
2022-06-06,8
2022-06-07,9
2022-06-08,9
2022-06-09,9
2022-06-10,10
2022-06-11,8
2022-06-12,8
2022-06-13,8
2022-06-14,9
2022-06-15,8
2022-06-16,8
2022-06-17,8
2022-06-18,8
2022-06-19,8
2022-06-20,8
2022-06-21,8
2022-06-22,8
2022-06-23,8
2022-06-24,8
2022-06-25,7
2022-06-26,8
2022-06-27,8
2022-06-28,8
2022-06-29,8
2022-06-30,8
2022-07-01,10
2022-07-02,9
2022-07-03,8
2022-07-04,8
2022-07-05,8
2022-07-06,8
2022-07-07,8
2022-07-08,8
2022-07-09,8
2022-07-10,8
2022-07-11,8
2022-07-12,9
2022-07-13,8
2022-07-14,9
2022-07-15,8
2022-07-16,8
2022-07-17,7
2022-07-18,8
2022-07-19,8
2022-07-20,8
2022-07-21,8
2022-07-22,8
2022-07-23,7
2022-07-24,8
2022-07-25,8
2022-07-26,9
2022-07-27,8
2022-07-28,8
2022-07-29,8
2022-07-30,7
2022-07-31,8
2022-08-01,9
2022-08-02,8
2022-08-03,8
2022-08-04,8
2022-08-05,8
2022-08-06,7
2022-08-07,10
2022-08-08,14
2022-08-09,11
2022-08-10,8
2022-08-11,9
2022-08-12,8
2022-08-13,8
2022-08-14,9
2022-08-15,9
2022-08-16,8
2022-08-17,9
2022-08-18,8
2022-08-19,9
2022-08-20,9
2022-08-21,9
2022-08-22,9
2022-08-23,10
2022-08-24,9
2022-08-25,10
2022-08-26,9
2022-08-27,8
2022-08-28,9
2022-08-29,10
2022-08-30,10
2022-08-31,10
2022-09-01,9
2022-09-02,9
2022-09-03,7
2022-09-04,8
2022-09-05,9
2022-09-06,10
2022-09-07,10
2022-09-08,9
2022-09-09,9
2022-09-10,8
2022-09-11,8
2022-09-12,9
2022-09-13,9
2022-09-14,10
2022-09-15,10
2022-09-16,9
2022-09-17,8
2022-09-18,8
2022-09-19,9
2022-09-20,9
2022-09-21,9
2022-09-22,11
2022-09-23,10
2022-09-24,8
2022-09-25,9
2022-09-26,9
2022-09-27,10
