Time,ukraine
2023-12-22,48
2023-12-23,52
2023-12-24,49
2023-12-25,53
2023-12-26,65
2023-12-27,55
2023-12-28,50
2023-12-29,57
2023-12-30,52
2023-12-31,49
2024-01-01,49
2024-01-02,53
2024-01-03,50
2024-01-04,48
2024-01-05,45
2024-01-06,54
2024-01-07,44
2024-01-08,45
2024-01-09,45
2024-01-10,44
2024-01-11,44
2024-01-12,47
2024-01-13,43
2024-01-14,43
2024-01-15,48
2024-01-16,48
2024-01-17,49
2024-01-18,47
2024-01-19,46
2024-01-20,50
2024-01-21,44
2024-01-22,49
2024-01-23,50
2024-01-24,54
2024-01-25,50
2024-01-26,49
2024-01-27,44
2024-01-28,48
2024-01-29,44
2024-01-30,48
2024-01-31,49
2024-02-01,52
2024-02-02,46
2024-02-03,45
2024-02-04,47
2024-02-05,54
2024-02-06,62
2024-02-07,51
2024-02-08,59
2024-02-09,69
2024-02-10,54
2024-02-11,56
2024-02-12,52
2024-02-13,71
2024-02-14,64
2024-02-15,55
2024-02-16,57
2024-02-17,59
2024-02-18,64
2024-02-19,58
2024-02-20,59
2024-02-21,56
2024-02-22,61
2024-02-23,56
2024-02-24,67
2024-02-25,66
2024-02-26,71
2024-02-27,58
2024-02-28,60
2024-02-29,62
2024-03-01,53
2024-03-02,55
2024-03-03,57
2024-03-04,51
2024-03-05,47
2024-03-06,51
2024-03-07,55
2024-03-08,50
2024-03-09,47
2024-03-10,52
2024-03-11,58
2024-03-12,52
2024-03-13,52
2024-03-14,50
2024-03-15,47
2024-03-16,48
2024-03-17,52
2024-03-18,49
2024-03-19,48
2024-03-20,48
2024-03-21,54
2024-03-22,54
2024-03-23,52
2024-03-24,57
2024-03-25,50
2024-03-26,52
2024-03-27,46
2024-03-28,48
2024-03-29,52
2024-03-30,43
2024-03-31,56
2024-04-01,46
2024-04-02,44
2024-04-03,44
2024-04-04,49
2024-04-05,51
2024-04-06,44
2024-04-07,42
2024-04-08,43
2024-04-09,50
2024-04-10,45
2024-04-11,46
2024-04-12,47
2024-04-13,45
2024-04-14,48
2024-04-15,44
2024-04-16,46
2024-04-17,53
2024-04-18,51
2024-04-19,57
2024-04-20,87
2024-04-21,95
2024-04-22,69
2024-04-23,63
2024-04-24,74
2024-04-25,53
2024-04-26,50
2024-04-27,52
2024-04-28,47
2024-04-29,49
2024-04-30,48
2024-05-01,43
2024-05-02,47
2024-05-03,46
2024-05-04,46
2024-05-05,47
2024-05-06,51
2024-05-07,49
2024-05-08,47
2024-05-09,48
2024-05-10,46
2024-05-11,53
2024-05-12,51
2024-05-13,55
2024-05-14,50
2024-05-15,56
2024-05-16,53
2024-05-17,52
2024-05-18,48
2024-05-19,50
2024-05-20,48
2024-05-21,48
2024-05-22,46
2024-05-23,46
2024-05-24,48
2024-05-25,47
2024-05-26,46
2024-05-27,44
2024-05-28,45
2024-05-29,48
2024-05-30,51
2024-05-31,55
2024-06-01,50
2024-06-02,47
2024-06-03,57
2024-06-04,52
2024-06-05,50
2024-06-06,52
2024-06-07,55
2024-06-08,55
2024-06-09,47
2024-06-10,59
2024-06-11,50
2024-06-12,47
2024-06-13,53
2024-06-14,52
2024-06-15,50
2024-06-16,54
2024-06-17,100
2024-06-18,51
2024-06-19,46
2024-06-20,43
2024-06-21,85
2024-06-22,53
2024-06-23,49
2024-06-24,50
2024-06-25,48
2024-06-26,84
2024-06-27,84
2024-06-28,77
2024-06-29,47
2024-06-30,50
2024-07-01,43
2024-07-02,46
2024-07-03,45
2024-07-04,46
2024-07-05,48
2024-07-06,44
2024-07-07,43
2024-07-08,53
2024-07-09,51
2024-07-10,45
2024-07-11,55
2024-07-12,63
2024-07-13,43
2024-07-14,41
2024-07-15,46
2024-07-16,44
2024-07-17,48
2024-07-18,46
2024-07-19,44
2024-07-20,42
2024-07-21,50
2024-07-22,53
2024-07-23,46
2024-07-24,46
2024-07-25,46
2024-07-26,42
2024-07-27,57
2024-07-28,48
2024-07-29,54
2024-07-30,51
2024-07-31,44
2024-08-01,49
2024-08-02,40
2024-08-03,54
2024-08-04,65
2024-08-05,50
2024-08-06,45
2024-08-07,59
2024-08-08,74
2024-08-09,93
2024-08-10,79
2024-08-11,88
2024-08-12,95
2024-08-13,86
2024-08-14,87
2024-08-15,86
2024-08-16,76
2024-08-17,86
2024-08-18,78
2024-08-19,68
2024-08-20,63
2024-08-21,65
2024-08-22,64
2024-08-23,68
2024-08-24,70
2024-08-25,65
2024-08-26,64
2024-08-27,61
2024-08-28,57
2024-08-29,60
2024-08-30,56
2024-08-31,50
2024-09-01,50
2024-09-02,53
2024-09-03,56
2024-09-04,49
2024-09-05,48
2024-09-06,48
2024-09-07,49
2024-09-08,46
2024-09-09,46
2024-09-10,50
2024-09-11,97
2024-09-12,52
2024-09-13,54
2024-09-14,52
2024-09-15,56
2024-09-16,53
