Time,doctor strange
2022-08-29,75
2022-08-30,69
2022-08-31,70
2022-09-01,66
2022-09-02,66
2022-09-03,84
2022-09-04,100
2022-09-05,99
2022-09-06,69
2022-09-07,57
2022-09-08,71
2022-09-09,56
2022-09-10,85
2022-09-11,79
2022-09-12,61
2022-09-13,64
2022-09-14,55
2022-09-15,57
2022-09-16,58
2022-09-17,69
2022-09-18,75
2022-09-19,54
2022-09-20,55
2022-09-21,50
2022-09-22,50
2022-09-23,52
2022-09-24,72
2022-09-25,84
2022-09-26,54
2022-09-27,45
2022-09-28,48
2022-09-29,46
2022-09-30,48
2022-10-01,60
2022-10-02,61
2022-10-03,47
2022-10-04,49
2022-10-05,48
2022-10-06,58
2022-10-07,56
2022-10-08,64
2022-10-09,63
2022-10-10,59
2022-10-11,54
2022-10-12,51
2022-10-13,49
2022-10-14,43
2022-10-15,52
2022-10-16,66
2022-10-17,53
2022-10-18,46
2022-10-19,46
2022-10-20,43
2022-10-21,49
2022-10-22,62
2022-10-23,67
2022-10-24,49
2022-10-25,47
2022-10-26,49
2022-10-27,42
2022-10-28,48
2022-10-29,59
2022-10-30,63
2022-10-31,51
2022-11-01,40
2022-11-02,40
2022-11-03,39
2022-11-04,40
2022-11-05,53
2022-11-06,56
2022-11-07,43
2022-11-08,37
2022-11-09,39
2022-11-10,41
2022-11-11,60
2022-11-12,56
2022-11-13,64
2022-11-14,42
2022-11-15,47
2022-11-16,46
2022-11-17,48
2022-11-18,44
2022-11-19,57
2022-11-20,55
2022-11-21,40
2022-11-22,43
2022-11-23,51
2022-11-24,52
2022-11-25,58
2022-11-26,58
2022-11-27,57
2022-11-28,42
2022-11-29,36
2022-11-30,37
2022-12-01,38
2022-12-02,41
2022-12-03,34
2022-12-04,50
2022-12-05,44
2022-12-06,39
2022-12-07,39
2022-12-08,39
2022-12-09,38
2022-12-10,51
2022-12-11,56
2022-12-12,47
2022-12-13,43
2022-12-14,43
2022-12-15,44
2022-12-16,45
2022-12-17,54
2022-12-18,65
2022-12-19,57
2022-12-20,53
2022-12-21,44
2022-12-22,44
2022-12-23,46
2022-12-24,47
2022-12-25,62
2022-12-26,59
2022-12-27,59
2022-12-28,52
2022-12-29,59
2022-12-30,50
2022-12-31,65
2023-01-01,67
2023-01-02,65
2023-01-03,48
2023-01-04,52
2023-01-05,42
2023-01-06,48
2023-01-07,66
2023-01-08,56
2023-01-09,49
2023-01-10,41
2023-01-11,43
2023-01-12,46
2023-01-13,43
2023-01-14,53
2023-01-15,48
2023-01-16,51
2023-01-17,45
2023-01-18,41
2023-01-19,39
2023-01-20,43
2023-01-21,44
2023-01-22,44
2023-01-23,42
2023-01-24,37
2023-01-25,45
2023-01-26,36
2023-01-27,37
2023-01-28,41
2023-01-29,49
2023-01-30,42
2023-01-31,33
2023-02-01,36
2023-02-02,39
2023-02-03,38
2023-02-04,45
2023-02-05,51
2023-02-06,45
2023-02-07,32
2023-02-08,33
2023-02-09,34
2023-02-10,37
2023-02-11,46
2023-02-12,50
2023-02-13,28
2023-02-14,37
2023-02-15,36
2023-02-16,40
2023-02-17,47
2023-02-18,58
2023-02-19,67
2023-02-20,49
2023-02-21,40
2023-02-22,38
2023-02-23,40
2023-02-24,32
2023-02-25,44
2023-02-26,48
2023-02-27,46
2023-02-28,39
2023-03-01,39
2023-03-02,35
2023-03-03,35
2023-03-04,46
2023-03-05,46
2023-03-06,35
2023-03-07,33
2023-03-08,31
2023-03-09,33
2023-03-10,35
2023-03-11,34
2023-03-12,43
2023-03-13,34
2023-03-14,32
2023-03-15,29
2023-03-16,30
2023-03-17,32
2023-03-18,46
2023-03-19,43
2023-03-20,32
2023-03-21,34
2023-03-22,29
2023-03-23,30
2023-03-24,33
2023-03-25,38
2023-03-26,42
2023-03-27,34
2023-03-28,28
2023-03-29,25
2023-03-30,32
2023-03-31,32
2023-04-01,40
2023-04-02,32
2023-04-03,31
2023-04-04,31
2023-04-05,33
2023-04-06,30
2023-04-07,31
2023-04-08,35
2023-04-09,33
2023-04-10,29
2023-04-11,30
2023-04-12,26
2023-04-13,28
2023-04-14,31
2023-04-15,29
2023-04-16,35
2023-04-17,29
2023-04-18,28
2023-04-19,31
2023-04-20,27
2023-04-21,30
2023-04-22,33
2023-04-23,39
2023-04-24,33
2023-04-25,28
2023-04-26,33
2023-04-27,24
2023-04-28,28
2023-04-29,48
2023-04-30,52
2023-05-01,34
2023-05-02,31
2023-05-03,30
2023-05-04,33
2023-05-05,40
2023-05-06,41
2023-05-07,50
2023-05-08,38
2023-05-09,37
2023-05-10,35
2023-05-11,29
2023-05-12,32
2023-05-13,34
2023-05-14,45
2023-05-15,36
2023-05-16,39
2023-05-17,36
2023-05-18,32
2023-05-19,33
2023-05-20,57
2023-05-21,45
2023-05-22,37
2023-05-23,28
2023-05-24,34
2023-05-25,38
