Time,doctor strange
2023-12-22,48
2023-12-23,54
2023-12-24,54
2023-12-25,52
2023-12-26,51
2023-12-27,58
2023-12-28,51
2023-12-29,49
2023-12-30,69
2023-12-31,61
2024-01-01,52
2024-01-02,49
2024-01-03,54
2024-01-04,41
2024-01-05,47
2024-01-06,52
2024-01-07,56
2024-01-08,47
2024-01-09,41
2024-01-10,47
2024-01-11,42
2024-01-12,42
2024-01-13,58
2024-01-14,58
2024-01-15,55
2024-01-16,41
2024-01-17,43
2024-01-18,39
2024-01-19,44
2024-01-20,51
2024-01-21,46
2024-01-22,35
2024-01-23,36
2024-01-24,31
2024-01-25,34
2024-01-26,30
2024-01-27,43
2024-01-28,46
2024-01-29,46
2024-01-30,43
2024-01-31,34
2024-02-01,37
2024-02-02,32
2024-02-03,47
2024-02-04,47
2024-02-05,91
2024-02-06,37
2024-02-07,37
2024-02-08,40
2024-02-09,43
2024-02-10,40
2024-02-11,58
2024-02-12,40
2024-02-13,42
2024-02-14,43
2024-02-15,41
2024-02-16,45
2024-02-17,53
2024-02-18,58
2024-02-19,49
2024-02-20,41
2024-02-21,40
2024-02-22,36
2024-02-23,49
2024-02-24,49
2024-02-25,50
2024-02-26,69
2024-02-27,35
2024-02-28,34
2024-02-29,42
2024-03-01,48
2024-03-02,46
2024-03-03,45
2024-03-04,41
2024-03-05,45
2024-03-06,37
2024-03-07,37
2024-03-08,34
2024-03-09,42
2024-03-10,45
2024-03-11,32
2024-03-12,75
2024-03-13,39
2024-03-14,31
2024-03-15,37
2024-03-16,39
2024-03-17,57
2024-03-18,82
2024-03-19,37
2024-03-20,38
2024-03-21,38
2024-03-22,30
2024-03-23,36
2024-03-24,33
2024-03-25,41
2024-03-26,33
2024-03-27,38
2024-03-28,56
2024-03-29,38
2024-03-30,49
2024-03-31,47
2024-04-01,38
2024-04-02,45
2024-04-03,47
2024-04-04,33
2024-04-05,34
2024-04-06,42
2024-04-07,52
2024-04-08,63
2024-04-09,41
2024-04-10,42
2024-04-11,32
2024-04-12,27
2024-04-13,36
2024-04-14,45
2024-04-15,36
2024-04-16,35
2024-04-17,29
2024-04-18,38
2024-04-19,29
2024-04-20,34
2024-04-21,45
2024-04-22,41
2024-04-23,43
2024-04-24,33
2024-04-25,53
2024-04-26,33
2024-04-27,45
2024-04-28,41
2024-04-29,45
2024-04-30,34
2024-05-01,34
2024-05-02,38
2024-05-03,44
2024-05-04,36
2024-05-05,55
2024-05-06,59
2024-05-07,37
2024-05-08,42
2024-05-09,38
2024-05-10,50
2024-05-11,48
2024-05-12,46
2024-05-13,35
2024-05-14,34
2024-05-15,38
2024-05-16,37
2024-05-17,44
2024-05-18,45
2024-05-19,41
2024-05-20,38
2024-05-21,41
2024-05-22,36
2024-05-23,41
2024-05-24,41
2024-05-25,41
2024-05-26,51
2024-05-27,45
2024-05-28,54
2024-05-29,37
2024-05-30,35
2024-05-31,36
2024-06-01,37
2024-06-02,53
2024-06-03,48
2024-06-04,51
2024-06-05,42
2024-06-06,46
2024-06-07,37
2024-06-08,33
2024-06-09,40
2024-06-10,44
2024-06-11,44
2024-06-12,60
2024-06-13,42
2024-06-14,36
2024-06-15,43
2024-06-16,50
2024-06-17,37
2024-06-18,33
2024-06-19,33
2024-06-20,43
2024-06-21,31
2024-06-22,39
2024-06-23,41
2024-06-24,28
2024-06-25,39
2024-06-26,28
2024-06-27,38
2024-06-28,29
2024-06-29,35
2024-06-30,42
2024-07-01,29
2024-07-02,39
2024-07-03,42
2024-07-04,48
2024-07-05,36
2024-07-06,43
2024-07-07,46
2024-07-08,41
2024-07-09,36
2024-07-10,31
2024-07-11,34
2024-07-12,40
2024-07-13,54
2024-07-14,52
2024-07-15,40
2024-07-16,40
2024-07-17,36
2024-07-18,24
2024-07-19,38
2024-07-20,35
2024-07-21,48
2024-07-22,48
2024-07-23,36
2024-07-24,42
2024-07-25,41
2024-07-26,55
2024-07-27,74
2024-07-28,100
2024-07-29,74
2024-07-30,55
2024-07-31,73
2024-08-01,63
2024-08-02,67
2024-08-03,66
2024-08-04,70
2024-08-05,75
2024-08-06,67
2024-08-07,53
2024-08-08,55
2024-08-09,55
2024-08-10,67
2024-08-11,80
2024-08-12,62
2024-08-13,70
2024-08-14,54
2024-08-15,51
2024-08-16,75
2024-08-17,67
2024-08-18,75
2024-08-19,56
2024-08-20,57
2024-08-21,55
2024-08-22,55
2024-08-23,45
2024-08-24,69
2024-08-25,78
2024-08-26,58
2024-08-27,51
2024-08-28,50
2024-08-29,49
2024-08-30,62
2024-08-31,64
2024-09-01,67
2024-09-02,88
2024-09-03,50
2024-09-04,46
2024-09-05,48
2024-09-06,41
2024-09-07,52
2024-09-08,50
2024-09-09,41
2024-09-10,36
2024-09-11,37
2024-09-12,41
2024-09-13,47
2024-09-14,49
2024-09-15,70
2024-09-16,39
