Time,doctor strange
2023-04-26,58
2023-04-27,43
2023-04-28,50
2023-04-29,84
2023-04-30,92
2023-05-01,60
2023-05-02,54
2023-05-03,52
2023-05-04,57
2023-05-05,70
2023-05-06,71
2023-05-07,87
2023-05-08,67
2023-05-09,64
2023-05-10,61
2023-05-11,50
2023-05-12,55
2023-05-13,60
2023-05-14,78
2023-05-15,62
2023-05-16,68
2023-05-17,63
2023-05-18,56
2023-05-19,58
2023-05-20,100
2023-05-21,79
2023-05-22,64
2023-05-23,49
2023-05-24,59
2023-05-25,66
2023-05-26,65
2023-05-27,77
2023-05-28,76
2023-05-29,76
2023-05-30,67
2023-05-31,73
2023-06-01,66
2023-06-02,72
2023-06-03,77
2023-06-04,78
2023-06-05,70
2023-06-06,70
2023-06-07,60
2023-06-08,66
2023-06-09,72
2023-06-10,70
2023-06-11,70
2023-06-12,59
2023-06-13,65
2023-06-14,61
2023-06-15,64
2023-06-16,67
2023-06-17,65
2023-06-18,76
2023-06-19,70
2023-06-20,53
2023-06-21,57
2023-06-22,67
2023-06-23,72
2023-06-24,69
2023-06-25,73
2023-06-26,56
2023-06-27,73
2023-06-28,57
2023-06-29,62
2023-06-30,60
2023-07-01,69
2023-07-02,65
2023-07-03,90
2023-07-04,71
2023-07-05,76
2023-07-06,66
2023-07-07,63
2023-07-08,75
2023-07-09,73
2023-07-10,59
2023-07-11,52
2023-07-12,59
2023-07-13,53
2023-07-14,53
2023-07-15,71
2023-07-16,72
2023-07-17,62
2023-07-18,56
2023-07-19,48
2023-07-20,69
2023-07-21,61
2023-07-22,61
2023-07-23,75
2023-07-24,58
2023-07-25,51
2023-07-26,70
2023-07-27,55
2023-07-28,53
2023-07-29,58
2023-07-30,67
2023-07-31,65
2023-08-01,52
2023-08-02,57
2023-08-03,50
2023-08-04,43
2023-08-05,61
2023-08-06,74
2023-08-07,49
2023-08-08,57
2023-08-09,58
2023-08-10,43
2023-08-11,58
2023-08-12,60
2023-08-13,68
2023-08-14,61
2023-08-15,71
2023-08-16,86
2023-08-17,72
2023-08-18,65
2023-08-19,68
2023-08-20,73
2023-08-21,67
2023-08-22,60
2023-08-23,50
2023-08-24,54
2023-08-25,51
2023-08-26,67
2023-08-27,74
2023-08-28,52
2023-08-29,46
2023-08-30,49
2023-08-31,38
2023-09-01,44
2023-09-02,54
2023-09-03,49
2023-09-04,59
2023-09-05,48
2023-09-06,48
2023-09-07,48
2023-09-08,34
2023-09-09,79
2023-09-10,76
2023-09-11,42
2023-09-12,49
2023-09-13,47
2023-09-14,42
2023-09-15,52
2023-09-16,49
2023-09-17,42
2023-09-18,46
2023-09-19,54
2023-09-20,39
2023-09-21,40
2023-09-22,43
2023-09-23,47
2023-09-24,49
2023-09-25,45
2023-09-26,39
2023-09-27,75
2023-09-28,46
2023-09-29,50
2023-09-30,61
2023-10-01,56
2023-10-02,46
2023-10-03,50
2023-10-04,58
2023-10-05,56
2023-10-06,51
2023-10-07,52
2023-10-08,82
2023-10-09,61
2023-10-10,55
2023-10-11,63
2023-10-12,48
2023-10-13,44
2023-10-14,45
2023-10-15,79
2023-10-16,47
2023-10-17,55
2023-10-18,46
2023-10-19,48
2023-10-20,61
2023-10-21,60
2023-10-22,57
2023-10-23,61
2023-10-24,52
2023-10-25,76
2023-10-26,56
2023-10-27,57
2023-10-28,71
2023-10-29,52
2023-10-30,52
2023-10-31,60
2023-11-01,48
2023-11-02,51
2023-11-03,49
2023-11-04,73
2023-11-05,67
2023-11-06,59
2023-11-07,54
2023-11-08,51
2023-11-09,59
2023-11-10,76
2023-11-11,82
2023-11-12,89
2023-11-13,69
2023-11-14,55
2023-11-15,67
2023-11-16,64
2023-11-17,59
2023-11-18,84
2023-11-19,78
2023-11-20,60
2023-11-21,48
2023-11-22,83
2023-11-23,66
2023-11-24,63
2023-11-25,86
2023-11-26,85
2023-11-27,57
2023-11-28,55
2023-11-29,79
2023-11-30,57
2023-12-01,49
2023-12-02,58
2023-12-03,60
2023-12-04,50
2023-12-05,56
2023-12-06,68
2023-12-07,57
2023-12-08,50
2023-12-09,70
2023-12-10,70
2023-12-11,54
2023-12-12,49
2023-12-13,60
2023-12-14,47
2023-12-15,40
2023-12-16,44
2023-12-17,61
2023-12-18,42
2023-12-19,61
2023-12-20,62
2023-12-21,52
2023-12-22,57
2023-12-23,64
2023-12-24,63
2023-12-25,62
2023-12-26,61
2023-12-27,69
2023-12-28,61
2023-12-29,58
2023-12-30,82
2023-12-31,72
2024-01-01,61
2024-01-02,59
2024-01-03,64
2024-01-04,48
2024-01-05,55
2024-01-06,62
2024-01-07,66
2024-01-08,56
2024-01-09,48
2024-01-10,56
2024-01-11,50
2024-01-12,50
2024-01-13,68
2024-01-14,69
2024-01-15,66
2024-01-16,48
2024-01-17,51
2024-01-18,47
2024-01-19,52
2024-01-20,60
