Time,doctor strange
2025-12-11,69
2025-12-12,49
2025-12-13,49
2025-12-14,54
2025-12-15,40
2025-12-16,64
2025-12-17,56
2025-12-18,53
2025-12-19,47
2025-12-20,59
2025-12-21,51
2025-12-22,48
2025-12-23,48
2025-12-24,46
2025-12-25,51
2025-12-26,64
2025-12-27,81
2025-12-28,64
2025-12-29,60
2025-12-30,86
2025-12-31,65
2026-01-01,65
2026-01-02,74
2026-01-03,60
2026-01-04,80
2026-01-05,50
2026-01-06,60
2026-01-07,64
2026-01-08,54
2026-01-09,62
2026-01-10,78
2026-01-11,66
2026-01-12,55
2026-01-13,61
2026-01-14,57
2026-01-15,60
2026-01-16,67
2026-01-17,77
2026-01-18,75
2026-01-19,68
2026-01-20,70
2026-01-21,69
2026-01-22,62
2026-01-23,63
2026-01-24,88
2026-01-25,98
2026-01-26,72
2026-01-27,69
2026-01-28,65
2026-01-29,68
2026-01-30,72
2026-01-31,72
2026-02-01,89
2026-02-02,66
2026-02-03,70
2026-02-04,63
2026-02-05,61
2026-02-06,68
2026-02-07,69
2026-02-08,90
2026-02-09,64
2026-02-10,66
2026-02-11,55
2026-02-12,50
2026-02-13,62
2026-02-14,79
2026-02-15,78
2026-02-16,74
2026-02-17,62
2026-02-18,66
2026-02-19,69
2026-02-20,62
2026-02-21,67
2026-02-22,90
2026-02-23,66
2026-02-24,57
2026-02-25,57
2026-02-26,55
2026-02-27,59
2026-02-28,54
2026-03-01,50
2026-03-02,53
2026-03-03,57
2026-03-04,49
2026-03-05,48
2026-03-06,61
2026-03-07,49
2026-03-08,69
2026-03-09,55
2026-03-10,52
2026-03-11,37
2026-03-12,50
2026-03-13,51
2026-03-14,51
2026-03-15,60
2026-03-16,52
2026-03-17,59
2026-03-18,70
2026-03-19,91
2026-03-20,70
2026-03-21,92
2026-03-22,89
2026-03-23,82
2026-03-24,80
2026-03-25,69
2026-03-26,61
2026-03-27,59
2026-03-28,78
2026-03-29,78
2026-03-30,62
2026-03-31,47
2026-04-01,73
2026-04-02,64
2026-04-03,55
2026-04-04,83
2026-04-05,78
2026-04-06,60
2026-04-07,64
2026-04-08,63
2026-04-09,73
2026-04-10,59
2026-04-11,55
2026-04-12,59
2026-04-13,50
2026-04-14,54
2026-04-15,61
2026-04-16,58
2026-04-17,73
2026-04-18,87
2026-04-19,84
2026-04-20,66
2026-04-21,58
2026-04-22,60
2026-04-23,54
2026-04-24,63
2026-04-25,67
2026-04-26,100
2026-04-27,68
2026-04-28,51
2026-04-29,69
2026-04-30,54
2026-05-01,51
2026-05-02,57
2026-05-03,77
2026-05-04,53
2026-05-05,51
2026-05-06,58
2026-05-07,56
2026-05-08,55
2026-05-09,58
2026-05-10,76
2026-05-11,60
2026-05-12,56
2026-05-13,61
2026-05-14,76
2026-05-15,67
2026-05-16,89
2026-05-17,69
2026-05-18,53
2026-05-19,72
2026-05-20,47
2026-05-21,53
2026-05-22,62
2026-05-23,69
2026-05-24,74
2026-05-25,65
2026-05-26,56
2026-05-27,51
2026-05-28,58
2026-05-29,66
2026-05-30,63
2026-05-31,85
