Time,retro_bowl
2022-01-01,7.0
2022-01-02,5.0
2022-01-03,8.0
2022-01-04,12.0
2022-01-05,13.0
2022-01-06,11.0
2022-01-07,12.0
2022-01-08,9.0
2022-01-09,7.0
2022-01-10,11.0
2022-01-11,14.0
2022-01-12,13.0
2022-01-13,14.0
2022-01-14,12.0
2022-01-15,8.0
2022-01-16,6.0
2022-01-17,6.0
2022-01-18,11.0
2022-01-19,12.0
2022-01-20,14.0
2022-01-21,13.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,14.0
2022-01-25,12.0
2022-01-26,13.0
2022-01-27,12.0
2022-01-28,16.0
2022-01-29,8.0
2022-01-30,8.0
2022-01-31,14.0
2022-02-01,13.0
2022-02-02,13.0
2022-02-03,15.0
2022-02-04,14.0
2022-02-05,8.0
2022-02-06,8.0
2022-02-07,12.0
2022-02-08,15.0
2022-02-09,13.0
2022-02-10,14.0
2022-02-11,16.0
2022-02-12,11.0
2022-02-13,9.0
2022-02-14,12.0
2022-02-15,14.0
2022-02-16,13.0
2022-02-17,16.0
2022-02-18,15.0
2022-02-19,9.0
2022-02-20,8.0
2022-02-21,7.0
2022-02-22,10.0
2022-02-23,11.0
2022-02-24,9.0
2022-02-25,10.0
2022-02-26,7.0
2022-02-27,6.0
2022-02-28,9.0
2022-03-01,8.0
2022-03-02,9.0
2022-03-03,9.0
2022-03-04,9.0
2022-03-05,6.0
2022-03-06,5.0
2022-03-07,7.0
2022-03-08,8.0
2022-03-09,8.0
2022-03-10,9.0
2022-03-11,8.0
2022-03-12,5.0
2022-03-13,5.0
2022-03-14,6.0
2022-03-15,6.0
2022-03-16,6.0
2022-03-17,6.0
2022-03-18,6.0
2022-03-19,5.0
2022-03-20,4.0
2022-03-21,6.0
2022-03-22,6.0
2022-03-23,7.0
2022-03-24,7.0
2022-03-25,21.0
2022-03-26,7.0
2022-03-27,5.0
2022-03-28,17.0
2022-03-29,18.0
2022-03-30,6.0
2022-03-31,21.0
2022-04-01,21.0
2022-04-02,6.0
2022-04-03,4.0
2022-04-04,16.0
2022-04-05,17.0
2022-04-06,19.0
2022-04-07,18.0
2022-04-08,19.0
2022-04-09,5.0
2022-04-10,4.0
2022-04-11,14.0
2022-04-12,17.0
2022-04-13,17.0
2022-04-14,18.0
2022-04-15,9.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,11.0
2022-04-19,12.0
2022-04-20,15.0
2022-04-21,17.0
2022-04-22,19.0
2022-04-23,4.0
2022-04-24,3.0
2022-04-25,15.0
2022-04-26,19.0
2022-04-27,18.0
2022-04-28,19.0
2022-04-29,19.0
2022-04-30,4.0
2022-05-01,4.0
2022-05-02,17.0
2022-05-03,20.0
2022-05-04,21.0
2022-05-05,21.0
2022-05-06,22.0
2022-05-07,5.0
2022-05-08,5.0
2022-05-09,18.0
2022-05-10,20.0
2022-05-11,21.0
2022-05-12,22.0
2022-05-13,22.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,16.0
2022-05-17,18.0
2022-05-18,19.0
2022-05-19,19.0
2022-05-20,20.0
2022-05-21,4.0
2022-05-22,3.0
2022-05-23,14.0
2022-05-24,16.0
2022-05-25,15.0
2022-05-26,14.0
2022-05-27,11.0
2022-05-28,4.0
2022-05-29,2.0
2022-05-30,3.0
2022-05-31,9.0
2022-06-01,8.0
2022-06-02,9.0
2022-06-03,8.0
2022-06-04,3.0
2022-06-05,3.0
2022-06-06,7.0
2022-06-07,7.0
2022-06-08,7.0
2022-06-09,6.0
2022-06-10,6.0
2022-06-11,3.0
2022-06-12,2.0
2022-06-13,5.0
2022-06-14,5.0
2022-06-15,5.0
2022-06-16,4.0
2022-06-17,4.0
2022-06-18,3.0
2022-06-19,2.0
2022-06-20,2.0
2022-06-21,3.0
2022-06-22,2.0
2022-06-23,3.0
2022-06-24,2.0
2022-06-25,2.0
2022-06-26,2.0
2022-06-27,2.0
2022-06-28,2.0
2022-06-29,2.0
2022-06-30,2.0
2022-07-01,1.0
2022-07-02,2.0
2022-07-03,1.0
2022-07-04,1.0
2022-07-05,2.0
2022-07-06,2.0
2022-07-07,2.0
2022-07-08,2.0
2022-07-09,2.0
2022-07-10,2.0
2022-07-11,2.0
2022-07-12,2.0
2022-07-13,2.0
2022-07-14,2.0
2022-07-15,2.0
2022-07-16,2.0
2022-07-17,2.0
2022-07-18,2.0
2022-07-19,2.0
2022-07-20,2.0
2022-07-21,2.0
2022-07-22,2.0
2022-07-23,2.0
2022-07-24,1.0
2022-07-25,3.0
2022-07-26,2.0
2022-07-27,2.0
2022-07-28,2.0
2022-07-29,2.0
2022-07-30,2.0
2022-07-31,2.0
2022-08-01,2.0
2022-08-02,2.0
2022-08-03,3.0
2022-08-04,2.0
2022-08-05,3.0
2022-08-06,2.0
2022-08-07,2.0
2022-08-08,3.0
2022-08-09,3.0
2022-08-10,4.0
2022-08-11,5.0
2022-08-12,7.0
2022-08-13,3.0
2022-08-14,2.0
2022-08-15,6.0
2022-08-16,9.0
2022-08-17,11.0
2022-08-18,12.0
2022-08-19,16.0
2022-08-20,4.0
2022-08-21,3.0
2022-08-22,12.0
2022-08-23,16.0
2022-08-24,19.0
2022-08-25,21.0
2022-08-26,24.0
2022-08-27,5.0
2022-08-28,4.0
2022-08-29,21.11764705882353
2022-08-30,27.970588235294116
2022-08-31,32.205882352941174
2022-09-01,33.26470588235294
2022-09-02,38.0
2022-09-03,5.794117647058823
2022-09-04,5.794117647058823
2022-09-05,5.794117647058823
2022-09-06,30.088235294117645
2022-09-07,38.0
2022-09-08,40.11764705882353
2022-09-09,54.88235294117647
2022-09-10,8.970588235294118
2022-09-11,7.911764705882353
2022-09-12,46.970588235294116
2022-09-13,60.17647058823529
2022-09-14,65.97058823529412
2022-09-15,70.20588235294117
2022-09-16,73.88235294117646
2022-09-17,13.205882352941178
2022-09-18,12.147058823529413
2022-09-19,64.91176470588235
2022-09-20,86.02941176470588
2022-09-21,83.41176470588235
2022-09-22,88.14705882352942
2022-09-23,100.29411764705883
2022-09-24,16.88235294117647
2022-09-25,14.264705882352942
2022-09-26,71.76470588235294
2022-09-27,91.32352941176471
2022-09-28,107.29411764705883
2022-09-29,108.41176470588236
2022-09-30,109.52941176470588
2022-10-01,20.11764705882353
2022-10-02,19.0
2022-10-03,82.70588235294117
2022-10-04,95.0
2022-10-05,93.88235294117648
2022-10-06,107.29411764705883
2022-10-07,109.52941176470588
2022-10-08,21.235294117647058
2022-10-09,19.0
2022-10-10,63.70588235294118
2022-10-11,86.05882352941177
2022-10-12,97.23529411764706
2022-10-13,111.76470588235294
2022-10-14,105.05882352941177
2022-10-15,22.352941176470587
2022-10-16,19.0
2022-10-17,91.64705882352942
2022-10-18,96.11764705882354
2022-10-19,107.29411764705883
2022-10-20,98.3529411764706
2022-10-21,103.94117647058823
2022-10-22,20.11764705882353
2022-10-23,19.0
2022-10-24,84.94117647058823
2022-10-25,95.0
2022-10-26,98.3529411764706
2022-10-27,95.0
2022-10-28,105.05882352941177
2022-10-29,21.235294117647058
2022-10-30,19.0
2022-10-31,71.52941176470588
2022-11-01,84.94117647058823
2022-11-02,91.64705882352942
2022-11-03,97.23529411764706
2022-11-04,102.82352941176471
2022-11-05,24.58823529411765
2022-11-06,19.0
2022-11-07,78.23529411764706
2022-11-08,63.70588235294118
2022-11-09,82.70588235294117
2022-11-10,91.64705882352942
2022-11-11,72.64705882352942
2022-11-12,23.47058823529412
2022-11-13,20.11764705882353
2022-11-14,78.23529411764706
2022-11-15,83.82352941176471
2022-11-16,86.05882352941177
2022-11-17,95.0
2022-11-18,108.41176470588236
2022-11-19,30.176470588235293
2022-11-20,23.47058823529412
2022-11-21,54.76470588235294
2022-11-22,54.76470588235294
2022-11-23,27.941176470588236
2022-11-24,20.11764705882353
2022-11-25,19.0
2022-11-26,16.764705882352942
2022-11-27,16.764705882352942
2022-11-28,57.0
2022-11-29,65.94117647058823
2022-11-30,72.64705882352942
2022-12-01,79.3529411764706
2022-12-02,76.0
2022-12-03,21.235294117647058
2022-12-04,16.764705882352942
2022-12-05,62.58823529411765
2022-12-06,72.64705882352942
2022-12-07,73.76470588235294
2022-12-08,72.64705882352942
2022-12-09,78.23529411764706
2022-12-10,21.235294117647058
2022-12-11,16.764705882352942
2022-12-12,62.58823529411765
2022-12-13,67.05882352941177
2022-12-14,68.17647058823529
2022-12-15,72.64705882352942
2022-12-16,67.05882352941177
2022-12-17,20.11764705882353
2022-12-18,16.764705882352942
2022-12-19,42.470588235294116
2022-12-20,44.705882352941174
2022-12-21,38.0
2022-12-22,27.941176470588236
2022-12-23,17.88235294117647
2022-12-24,13.411764705882353
2022-12-25,13.411764705882353
2022-12-26,11.176470588235293
2022-12-27,10.058823529411764
2022-12-28,7.8235294117647065
2022-12-29,8.941176470588236
2022-12-30,8.941176470588236
2022-12-31,8.941176470588236
2023-01-01,7.8235294117647065
2023-01-02,10.058823529411764
2023-01-03,22.352941176470587
2023-01-04,33.529411764705884
2023-01-05,36.88235294117647
2023-01-06,44.705882352941174
2023-01-07,10.058823529411764
2023-01-08,10.058823529411764
2023-01-09,39.11764705882353
2023-01-10,46.94117647058824
2023-01-11,50.294117647058826
2023-01-12,54.76470588235294
2023-01-13,57.0
2023-01-14,14.529411764705882
2023-01-15,11.176470588235293
2023-01-16,11.176470588235293
2023-01-17,42.470588235294116
2023-01-18,48.05882352941177
2023-01-19,52.529411764705884
2023-01-20,55.88235294117647
2023-01-21,13.411764705882353
2023-01-22,11.176470588235293
2023-01-23,43.588235294117645
2023-01-24,51.411764705882355
2023-01-25,44.705882352941174
2023-01-26,52.529411764705884
2023-01-27,55.88235294117647
2023-01-28,14.529411764705882
2023-01-29,11.176470588235293
2023-01-30,45.82352941176471
