Time,mega millions
2023-04-26,3
2023-04-27,1
2023-04-28,1
2023-04-29,3
2023-04-30,2
2023-05-01,1
2023-05-02,1
2023-05-03,3
2023-05-04,1
2023-05-05,1
2023-05-06,3
2023-05-07,2
2023-05-08,1
2023-05-09,1
2023-05-10,3
2023-05-11,1
2023-05-12,1
2023-05-13,3
2023-05-14,2
2023-05-15,1
2023-05-16,1
2023-05-17,3
2023-05-18,1
2023-05-19,1
2023-05-20,4
2023-05-21,2
2023-05-22,1
2023-05-23,1
2023-05-24,3
2023-05-25,1
2023-05-26,1
2023-05-27,4
2023-05-28,2
2023-05-29,1
2023-05-30,1
2023-05-31,3
2023-06-01,1
2023-06-02,1
2023-06-03,4
2023-06-04,2
2023-06-05,1
2023-06-06,1
2023-06-07,4
2023-06-08,2
2023-06-09,2
2023-06-10,5
2023-06-11,2
2023-06-12,1
2023-06-13,1
2023-06-14,4
2023-06-15,2
2023-06-16,2
2023-06-17,5
2023-06-18,2
2023-06-19,1
2023-06-20,2
2023-06-21,5
2023-06-22,2
2023-06-23,2
2023-06-24,6
2023-06-25,3
2023-06-26,2
2023-06-27,2
2023-06-28,5
2023-06-29,2
2023-06-30,2
2023-07-01,6
2023-07-02,3
2023-07-03,2
2023-07-04,3
2023-07-05,7
2023-07-06,3
2023-07-07,3
2023-07-08,13
2023-07-09,6
2023-07-10,4
2023-07-11,6
2023-07-12,15
2023-07-13,7
2023-07-14,6
2023-07-15,19
2023-07-16,10
2023-07-17,7
2023-07-18,10
2023-07-19,28
2023-07-20,15
2023-07-21,9
2023-07-22,28
2023-07-23,10
2023-07-24,7
2023-07-25,9
2023-07-26,26
2023-07-27,9
2023-07-28,10
2023-07-29,42
2023-07-30,14
2023-07-31,11
2023-08-01,17
2023-08-02,64
2023-08-03,18
2023-08-04,20
2023-08-05,80
2023-08-06,22
2023-08-07,17
2023-08-08,27
2023-08-09,100
2023-08-10,13
2023-08-11,6
2023-08-12,8
2023-08-13,4
2023-08-14,3
2023-08-15,2
2023-08-16,6
2023-08-17,3
2023-08-18,2
2023-08-19,5
2023-08-20,2
2023-08-21,2
2023-08-22,2
2023-08-23,4
2023-08-24,2
2023-08-25,2
2023-08-26,4
2023-08-27,2
2023-08-28,1
2023-08-29,2
2023-08-30,3
2023-08-31,2
2023-09-01,1
2023-09-02,4
2023-09-03,2
2023-09-04,1
2023-09-05,2
2023-09-06,4
2023-09-07,2
2023-09-08,1
2023-09-09,4
2023-09-10,2
2023-09-11,2
2023-09-12,2
2023-09-13,4
2023-09-14,2
2023-09-15,2
2023-09-16,4
2023-09-17,2
2023-09-18,1
2023-09-19,2
2023-09-20,4
2023-09-21,2
2023-09-22,2
2023-09-23,5
2023-09-24,3
2023-09-25,2
2023-09-26,2
2023-09-27,5
2023-09-28,3
2023-09-29,2
2023-09-30,6
2023-10-01,3
2023-10-02,2
2023-10-03,3
2023-10-04,7
2023-10-05,3
2023-10-06,3
2023-10-07,10
2023-10-08,5
2023-10-09,3
2023-10-10,3
2023-10-11,6
2023-10-12,4
2023-10-13,2
2023-10-14,5
2023-10-15,2
2023-10-16,1
2023-10-17,2
2023-10-18,3
2023-10-19,2
2023-10-20,1
2023-10-21,4
2023-10-22,2
2023-10-23,1
2023-10-24,1
2023-10-25,3
2023-10-26,2
2023-10-27,1
2023-10-28,4
2023-10-29,2
2023-10-30,1
2023-10-31,1
2023-11-01,3
2023-11-02,2
2023-11-03,1
2023-11-04,4
2023-11-05,2
2023-11-06,1
2023-11-07,1
2023-11-08,4
2023-11-09,2
2023-11-10,1
2023-11-11,4
2023-11-12,2
2023-11-13,1
2023-11-14,1
2023-11-15,4
2023-11-16,2
2023-11-17,1
2023-11-18,4
2023-11-19,2
2023-11-20,1
2023-11-21,1
2023-11-22,4
2023-11-23,2
2023-11-24,2
2023-11-25,4
2023-11-26,2
2023-11-27,1
2023-11-28,1
2023-11-29,4
2023-11-30,2
2023-12-01,1
2023-12-02,5
2023-12-03,2
2023-12-04,2
2023-12-05,1
2023-12-06,4
2023-12-07,2
2023-12-08,2
2023-12-09,7
2023-12-10,3
2023-12-11,2
2023-12-12,2
2023-12-13,3
2023-12-14,1
2023-12-15,1
2023-12-16,3
2023-12-17,2
2023-12-18,1
2023-12-19,1
2023-12-20,3
2023-12-21,1
2023-12-22,1
2023-12-23,3
2023-12-24,2
2023-12-25,1
2023-12-26,2
2023-12-27,4
2023-12-28,2
2023-12-29,2
2023-12-30,4
2023-12-31,2
2024-01-01,2
2024-01-02,3
2024-01-03,5
2024-01-04,2
2024-01-05,2
2024-01-06,4
2024-01-07,2
2024-01-08,1
2024-01-09,1
2024-01-10,3
2024-01-11,2
2024-01-12,1
2024-01-13,4
2024-01-14,2
2024-01-15,1
2024-01-16,1
2024-01-17,3
2024-01-18,2
2024-01-19,1
2024-01-20,4
