Time,blooket
2023-12-22,33
2023-12-23,5
2023-12-24,3
2023-12-25,2
2023-12-26,2
2023-12-27,2
2023-12-28,2
2023-12-29,2
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,9
2024-01-03,20
2024-01-04,28
2024-01-05,39
2024-01-06,2
2024-01-07,2
2024-01-08,32
2024-01-09,37
2024-01-10,42
2024-01-11,50
2024-01-12,64
2024-01-13,5
2024-01-14,3
2024-01-15,4
2024-01-16,27
2024-01-17,41
2024-01-18,48
2024-01-19,54
2024-01-20,4
2024-01-21,3
2024-01-22,42
2024-01-23,45
2024-01-24,50
2024-01-25,58
2024-01-26,70
2024-01-27,5
2024-01-28,4
2024-01-29,40
2024-01-30,47
2024-01-31,50
2024-02-01,59
2024-02-02,72
2024-02-03,6
2024-02-04,3
2024-02-05,43
2024-02-06,49
2024-02-07,48
2024-02-08,58
2024-02-09,70
2024-02-10,6
2024-02-11,5
2024-02-12,37
2024-02-13,45
2024-02-14,59
2024-02-15,58
2024-02-16,57
2024-02-17,5
2024-02-18,3
2024-02-19,9
2024-02-20,35
2024-02-21,42
2024-02-22,49
2024-02-23,61
2024-02-24,5
2024-02-25,4
2024-02-26,40
2024-02-27,48
2024-02-28,55
2024-02-29,57
2024-03-01,73
2024-03-02,6
2024-03-03,4
2024-03-04,42
2024-03-05,46
2024-03-06,54
2024-03-07,58
2024-03-08,72
2024-03-09,6
2024-03-10,4
2024-03-11,34
2024-03-12,37
2024-03-13,40
2024-03-14,45
2024-03-15,48
2024-03-16,4
2024-03-17,4
2024-03-18,39
2024-03-19,45
2024-03-20,52
2024-03-21,53
2024-03-22,65
2024-03-23,5
2024-03-24,4
2024-03-25,35
2024-03-26,40
2024-03-27,46
2024-03-28,49
2024-03-29,18
2024-03-30,3
2024-03-31,3
2024-04-01,19
2024-04-02,33
2024-04-03,37
2024-04-04,42
2024-04-05,51
2024-04-06,4
2024-04-07,2
2024-04-08,35
2024-04-09,47
2024-04-10,47
2024-04-11,59
2024-04-12,72
2024-04-13,4
2024-04-14,3
2024-04-15,52
2024-04-16,54
2024-04-17,57
2024-04-18,63
2024-04-19,74
2024-04-20,5
2024-04-21,4
2024-04-22,51
2024-04-23,53
2024-04-24,57
2024-04-25,64
2024-04-26,70
2024-04-27,5
2024-04-28,3
2024-04-29,53
2024-04-30,56
2024-05-01,57
2024-05-02,64
2024-05-03,71
2024-05-04,5
2024-05-05,4
2024-05-06,52
2024-05-07,55
2024-05-08,59
2024-05-09,67
2024-05-10,72
2024-05-11,5
2024-05-12,4
2024-05-13,57
2024-05-14,63
2024-05-15,64
2024-05-16,67
2024-05-17,70
2024-05-18,5
2024-05-19,4
2024-05-20,54
2024-05-21,56
2024-05-22,53
2024-05-23,53
2024-05-24,41
2024-05-25,4
2024-05-26,2
2024-05-27,2
2024-05-28,30
2024-05-29,31
2024-05-30,32
2024-05-31,31
2024-06-01,3
2024-06-02,2
2024-06-03,23
2024-06-04,25
2024-06-05,26
2024-06-06,22
2024-06-07,20
2024-06-08,2
2024-06-09,2
2024-06-10,15
2024-06-11,16
2024-06-12,14
2024-06-13,13
2024-06-14,11
2024-06-15,2
2024-06-16,1
2024-06-17,9
2024-06-18,9
2024-06-19,3
2024-06-20,7
2024-06-21,6
2024-06-22,1
2024-06-23,1
2024-06-24,5
2024-06-25,6
2024-06-26,6
2024-06-27,5
2024-06-28,3
2024-06-29,1
2024-06-30,1
2024-07-01,2
2024-07-02,3
2024-07-03,3
2024-07-04,1
2024-07-05,1
2024-07-06,1
2024-07-07,1
2024-07-08,2
2024-07-09,2
2024-07-10,3
2024-07-11,3
2024-07-12,2
2024-07-13,1
2024-07-14,1
2024-07-15,2
2024-07-16,2
2024-07-17,3
2024-07-18,3
2024-07-19,2
2024-07-20,1
2024-07-21,1
2024-07-22,2
2024-07-23,2
2024-07-24,3
2024-07-25,3
2024-07-26,2
2024-07-27,1
2024-07-28,1
2024-07-29,2
2024-07-30,2
2024-07-31,2
2024-08-01,3
2024-08-02,4
2024-08-03,1
2024-08-04,1
2024-08-05,4
2024-08-06,5
2024-08-07,7
2024-08-08,9
2024-08-09,14
2024-08-10,1
2024-08-11,1
2024-08-12,11
2024-08-13,14
2024-08-14,21
2024-08-15,29
2024-08-16,45
2024-08-17,2
2024-08-18,2
2024-08-19,26
2024-08-20,36
2024-08-21,38
2024-08-22,50
2024-08-23,71
2024-08-24,4
2024-08-25,3
2024-08-26,38
2024-08-27,49
2024-08-28,55
2024-08-29,70
2024-08-30,78
2024-08-31,5
2024-09-01,3
2024-09-02,3
2024-09-03,46
2024-09-04,62
2024-09-05,72
2024-09-06,100
2024-09-07,6
2024-09-08,4
2024-09-09,55
2024-09-10,62
2024-09-11,64
2024-09-12,81
2024-09-13,99
2024-09-14,6
2024-09-15,5
2024-09-16,56
