Time,rangers
2024-08-18,45
2024-08-19,26
2024-08-20,34
2024-08-21,37
2024-08-22,24
2024-08-23,25
2024-08-24,35
2024-08-25,42
2024-08-26,23
2024-08-27,23
2024-08-28,36
2024-08-29,34
2024-08-30,26
2024-08-31,34
2024-09-01,43
2024-09-02,32
2024-09-03,41
2024-09-04,38
2024-09-05,41
2024-09-06,29
2024-09-07,34
2024-09-08,36
2024-09-09,23
2024-09-10,22
2024-09-11,31
2024-09-12,26
2024-09-13,32
2024-09-14,40
2024-09-15,40
2024-09-16,22
2024-09-17,22
2024-09-18,31
2024-09-19,34
2024-09-20,25
2024-09-21,39
2024-09-22,54
2024-09-23,22
2024-09-24,22
2024-09-25,32
2024-09-26,33
2024-09-27,27
2024-09-28,32
2024-09-29,33
2024-09-30,21
2024-10-01,23
2024-10-02,23
2024-10-03,22
2024-10-04,22
2024-10-05,24
2024-10-06,21
2024-10-07,19
2024-10-08,21
2024-10-09,28
2024-10-10,34
2024-10-11,23
2024-10-12,32
2024-10-13,38
2024-10-14,27
2024-10-15,31
2024-10-16,18
2024-10-17,24
2024-10-18,32
2024-10-19,26
2024-10-20,31
2024-10-21,21
2024-10-22,23
2024-10-23,27
2024-10-24,26
2024-10-25,28
2024-10-26,27
2024-10-27,31
2024-10-28,19
2024-10-29,24
2024-10-30,29
2024-10-31,23
2024-11-01,27
2024-11-02,29
2024-11-03,32
2024-11-04,18
2024-11-05,16
2024-11-06,12
2024-11-07,21
2024-11-08,27
2024-11-09,22
2024-11-10,29
2024-11-11,19
2024-11-12,20
2024-11-13,26
2024-11-14,19
2024-11-15,27
2024-11-16,19
2024-11-17,21
2024-11-18,25
2024-11-19,20
2024-11-20,27
2024-11-21,18
2024-11-22,23
2024-11-23,20
2024-11-24,26
2024-11-25,21
2024-11-26,28
2024-11-27,21
2024-11-28,30
2024-11-29,30
2024-11-30,33
2024-12-01,22
2024-12-02,20
2024-12-03,31
2024-12-04,21
2024-12-05,20
2024-12-06,30
2024-12-07,41
2024-12-08,33
2024-12-09,25
2024-12-10,31
2024-12-11,26
2024-12-12,36
2024-12-13,23
2024-12-14,35
2024-12-15,32
2024-12-16,27
2024-12-17,23
2024-12-18,31
2024-12-19,28
2024-12-20,25
2024-12-21,33
2024-12-22,33
2024-12-23,37
2024-12-24,27
2024-12-25,22
2024-12-26,22
2024-12-27,23
2024-12-28,27
2024-12-29,35
2024-12-30,24
2024-12-31,30
2025-01-01,21
2025-01-02,29
2025-01-03,32
2025-01-04,34
2025-01-05,33
2025-01-06,22
2025-01-07,23
2025-01-08,31
2025-01-09,23
2025-01-10,30
2025-01-11,25
2025-01-12,33
2025-01-13,21
2025-01-14,20
2025-01-15,30
2025-01-16,20
2025-01-17,27
2025-01-18,27
2025-01-19,34
2025-01-20,30
2025-01-21,22
2025-01-22,29
2025-01-23,46
2025-01-24,34
2025-01-25,25
2025-01-26,36
2025-01-27,21
2025-01-28,23
2025-01-29,28
2025-01-30,22
2025-01-31,21
2025-02-01,39
2025-02-02,34
2025-02-03,27
2025-02-04,20
2025-02-05,26
2025-02-06,30
2025-02-07,22
2025-02-08,33
2025-02-09,30
2025-02-10,18
2025-02-11,19
2025-02-12,19
2025-02-13,19
2025-02-14,19
2025-02-15,23
2025-02-16,30
2025-02-17,23
2025-02-18,24
2025-02-19,23
2025-02-20,22
2025-02-21,27
2025-02-22,32
2025-02-23,47
2025-02-24,28
2025-02-25,27
2025-02-26,32
2025-02-27,24
2025-02-28,28
2025-03-01,35
2025-03-02,32
2025-03-03,34
2025-03-04,33
2025-03-05,27
2025-03-06,45
2025-03-07,36
2025-03-08,41
2025-03-09,43
2025-03-10,30
2025-03-11,36
2025-03-12,39
2025-03-13,38
2025-03-14,34
2025-03-15,35
2025-03-16,43
2025-03-17,29
2025-03-18,30
2025-03-19,33
2025-03-20,30
2025-03-21,31
2025-03-22,36
2025-03-23,30
2025-03-24,25
2025-03-25,31
2025-03-26,36
2025-03-27,85
2025-03-28,53
2025-03-29,84
2025-03-30,90
2025-03-31,43
2025-04-01,44
2025-04-02,57
2025-04-03,38
2025-04-04,31
2025-04-05,77
2025-04-06,68
2025-04-07,41
2025-04-08,53
2025-04-09,61
2025-04-10,50
2025-04-11,37
2025-04-12,60
2025-04-13,55
2025-04-14,33
2025-04-15,34
2025-04-16,39
2025-04-17,61
2025-04-18,66
2025-04-19,100
2025-04-20,87
2025-04-21,34
2025-04-22,30
2025-04-23,36
2025-04-24,35
2025-04-25,35
2025-04-26,52
2025-04-27,37
2025-04-28,30
2025-04-29,34
2025-04-30,36
2025-05-01,42
2025-05-02,33
2025-05-03,48
2025-05-04,58
2025-05-05,28
2025-05-06,30
2025-05-07,35
2025-05-08,40
2025-05-09,30
2025-05-10,41
2025-05-11,48
2025-05-12,27
2025-05-13,38
2025-05-14,34
