Time,cnbc
2023-12-22,45
2023-12-23,12
2023-12-24,10
2023-12-25,13
2023-12-26,45
2023-12-27,43
2023-12-28,41
2023-12-29,43
2023-12-30,11
2023-12-31,10
2024-01-01,14
2024-01-02,49
2024-01-03,51
2024-01-04,44
2024-01-05,43
2024-01-06,12
2024-01-07,12
2024-01-08,46
2024-01-09,46
2024-01-10,49
2024-01-11,51
2024-01-12,46
2024-01-13,11
2024-01-14,11
2024-01-15,24
2024-01-16,45
2024-01-17,45
2024-01-18,45
2024-01-19,43
2024-01-20,12
2024-01-21,11
2024-01-22,47
2024-01-23,43
2024-01-24,45
2024-01-25,46
2024-01-26,37
2024-01-27,11
2024-01-28,11
2024-01-29,42
2024-01-30,45
2024-01-31,47
2024-02-01,43
2024-02-02,41
2024-02-03,13
2024-02-04,13
2024-02-05,42
2024-02-06,40
2024-02-07,41
2024-02-08,37
2024-02-09,38
2024-02-10,12
2024-02-11,11
2024-02-12,37
2024-02-13,46
2024-02-14,43
2024-02-15,43
2024-02-16,41
2024-02-17,11
2024-02-18,11
2024-02-19,24
2024-02-20,42
2024-02-21,47
2024-02-22,47
2024-02-23,39
2024-02-24,13
2024-02-25,13
2024-02-26,41
2024-02-27,39
2024-02-28,40
2024-02-29,42
2024-03-01,39
2024-03-02,13
2024-03-03,13
2024-03-04,41
2024-03-05,43
2024-03-06,42
2024-03-07,40
2024-03-08,42
2024-03-09,12
2024-03-10,12
2024-03-11,44
2024-03-12,45
2024-03-13,41
2024-03-14,40
2024-03-15,36
2024-03-16,12
2024-03-17,13
2024-03-18,42
2024-03-19,40
2024-03-20,47
2024-03-21,42
2024-03-22,38
2024-03-23,12
2024-03-24,12
2024-03-25,41
2024-03-26,42
2024-03-27,43
2024-03-28,39
2024-03-29,26
2024-03-30,10
2024-03-31,12
2024-04-01,43
2024-04-02,43
2024-04-03,43
2024-04-04,47
2024-04-05,45
2024-04-06,11
2024-04-07,12
2024-04-08,38
2024-04-09,42
2024-04-10,49
2024-04-11,44
2024-04-12,46
2024-04-13,13
2024-04-14,19
2024-04-15,50
2024-04-16,47
2024-04-17,44
2024-04-18,43
2024-04-19,47
2024-04-20,12
2024-04-21,15
2024-04-22,46
2024-04-23,46
2024-04-24,45
2024-04-25,51
2024-04-26,40
2024-04-27,12
2024-04-28,14
2024-04-29,43
2024-04-30,45
2024-05-01,49
2024-05-02,42
2024-05-03,40
2024-05-04,12
2024-05-05,14
2024-05-06,44
2024-05-07,44
2024-05-08,40
2024-05-09,40
2024-05-10,38
2024-05-11,11
2024-05-12,12
2024-05-13,40
2024-05-14,43
2024-05-15,44
2024-05-16,42
2024-05-17,38
2024-05-18,16
2024-05-19,14
2024-05-20,42
2024-05-21,41
2024-05-22,47
2024-05-23,45
2024-05-24,39
2024-05-25,12
2024-05-26,9
2024-05-27,14
2024-05-28,44
2024-05-29,44
2024-05-30,48
2024-05-31,46
2024-06-01,12
2024-06-02,12
2024-06-03,45
2024-06-04,44
2024-06-05,43
2024-06-06,43
2024-06-07,44
2024-06-08,12
2024-06-09,13
2024-06-10,43
2024-06-11,44
2024-06-12,53
2024-06-13,47
2024-06-14,40
2024-06-15,12
2024-06-16,11
2024-06-17,43
2024-06-18,41
2024-06-19,29
2024-06-20,39
2024-06-21,39
2024-06-22,13
2024-06-23,14
2024-06-24,40
2024-06-25,40
2024-06-26,38
2024-06-27,39
2024-06-28,42
2024-06-29,11
2024-06-30,13
2024-07-01,42
2024-07-02,42
2024-07-03,36
2024-07-04,14
2024-07-05,36
2024-07-06,10
2024-07-07,12
2024-07-08,40
2024-07-09,40
2024-07-10,43
2024-07-11,52
2024-07-12,46
2024-07-13,14
2024-07-14,20
2024-07-15,49
2024-07-16,45
2024-07-17,50
2024-07-18,45
2024-07-19,50
2024-07-20,13
2024-07-21,20
2024-07-22,51
2024-07-23,48
2024-07-24,49
2024-07-25,51
2024-07-26,44
2024-07-27,17
2024-07-28,17
2024-07-29,46
2024-07-30,46
2024-07-31,48
2024-08-01,51
2024-08-02,61
2024-08-03,16
2024-08-04,18
2024-08-05,100
2024-08-06,70
2024-08-07,59
2024-08-08,55
2024-08-09,47
2024-08-10,13
2024-08-11,15
2024-08-12,49
2024-08-13,48
2024-08-14,52
2024-08-15,47
2024-08-16,44
2024-08-17,13
2024-08-18,14
2024-08-19,45
2024-08-20,47
2024-08-21,50
2024-08-22,47
2024-08-23,49
2024-08-24,15
2024-08-25,14
2024-08-26,48
2024-08-27,42
2024-08-28,54
2024-08-29,46
2024-08-30,38
2024-08-31,10
2024-09-01,11
2024-09-02,16
2024-09-03,46
2024-09-04,46
2024-09-05,47
2024-09-06,45
2024-09-07,11
2024-09-08,12
2024-09-09,45
2024-09-10,43
2024-09-11,49
2024-09-12,44
2024-09-13,40
2024-09-14,11
2024-09-15,12
2024-09-16,44
