Time,sabrina carpenter
2023-12-22,11
2023-12-23,8
2023-12-24,7
2023-12-25,7
2023-12-26,6
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,5
2023-12-31,6
2024-01-01,34
2024-01-02,8
2024-01-03,7
2024-01-04,6
2024-01-05,5
2024-01-06,6
2024-01-07,8
2024-01-08,7
2024-01-09,6
2024-01-10,5
2024-01-11,6
2024-01-12,6
2024-01-13,7
2024-01-14,9
2024-01-15,8
2024-01-16,6
2024-01-17,6
2024-01-18,5
2024-01-19,6
2024-01-20,7
2024-01-21,7
2024-01-22,6
2024-01-23,6
2024-01-24,6
2024-01-25,5
2024-01-26,5
2024-01-27,6
2024-01-28,6
2024-01-29,4
2024-01-30,4
2024-01-31,4
2024-02-01,4
2024-02-02,4
2024-02-03,5
2024-02-04,5
2024-02-05,6
2024-02-06,7
2024-02-07,6
2024-02-08,5
2024-02-09,5
2024-02-10,5
2024-02-11,5
2024-02-12,4
2024-02-13,4
2024-02-14,6
2024-02-15,8
2024-02-16,6
2024-02-17,9
2024-02-18,10
2024-02-19,7
2024-02-20,7
2024-02-21,6
2024-02-22,5
2024-02-23,10
2024-02-24,19
2024-02-25,12
2024-02-26,7
2024-02-27,6
2024-02-28,5
2024-02-29,5
2024-03-01,5
2024-03-02,6
2024-03-03,7
2024-03-04,11
2024-03-05,7
2024-03-06,6
2024-03-07,6
2024-03-08,6
2024-03-09,8
2024-03-10,8
2024-03-11,11
2024-03-12,12
2024-03-13,10
2024-03-14,8
2024-03-15,6
2024-03-16,8
2024-03-17,8
2024-03-18,6
2024-03-19,4
2024-03-20,4
2024-03-21,4
2024-03-22,4
2024-03-23,5
2024-03-24,5
2024-03-25,5
2024-03-26,4
2024-03-27,5
2024-03-28,5
2024-03-29,5
2024-03-30,5
2024-03-31,4
2024-04-01,10
2024-04-02,12
2024-04-03,7
2024-04-04,6
2024-04-05,5
2024-04-06,5
2024-04-07,6
2024-04-08,5
2024-04-09,4
2024-04-10,5
2024-04-11,5
2024-04-12,17
2024-04-13,32
2024-04-14,30
2024-04-15,19
2024-04-16,16
2024-04-17,15
2024-04-18,17
2024-04-19,16
2024-04-20,26
2024-04-21,22
2024-04-22,15
2024-04-23,15
2024-04-24,15
2024-04-25,15
2024-04-26,15
2024-04-27,15
2024-04-28,14
2024-04-29,11
2024-04-30,12
2024-05-01,12
2024-05-02,15
2024-05-03,16
2024-05-04,16
2024-05-05,15
2024-05-06,12
2024-05-07,21
2024-05-08,14
2024-05-09,15
2024-05-10,14
2024-05-11,18
2024-05-12,21
2024-05-13,15
2024-05-14,12
2024-05-15,11
2024-05-16,10
2024-05-17,12
2024-05-18,15
2024-05-19,46
2024-05-20,25
2024-05-21,17
2024-05-22,15
2024-05-23,15
2024-05-24,14
2024-05-25,17
2024-05-26,16
2024-05-27,19
2024-05-28,18
2024-05-29,15
2024-05-30,14
2024-05-31,13
2024-06-01,16
2024-06-02,17
2024-06-03,17
2024-06-04,17
2024-06-05,17
2024-06-06,16
2024-06-07,66
2024-06-08,58
2024-06-09,55
2024-06-10,49
2024-06-11,38
2024-06-12,36
2024-06-13,37
2024-06-14,35
2024-06-15,34
2024-06-16,34
2024-06-17,36
2024-06-18,34
2024-06-19,38
2024-06-20,72
2024-06-21,56
2024-06-22,52
2024-06-23,43
2024-06-24,49
2024-06-25,88
2024-06-26,49
2024-06-27,37
2024-06-28,48
2024-06-29,35
2024-06-30,32
2024-07-01,28
2024-07-02,25
2024-07-03,24
2024-07-04,29
2024-07-05,25
2024-07-06,26
2024-07-07,29
2024-07-08,22
2024-07-09,23
2024-07-10,24
2024-07-11,28
2024-07-12,28
2024-07-13,26
2024-07-14,23
2024-07-15,19
2024-07-16,19
2024-07-17,20
2024-07-18,21
2024-07-19,21
2024-07-20,24
2024-07-21,22
2024-07-22,17
2024-07-23,17
2024-07-24,19
2024-07-25,23
2024-07-26,22
2024-07-27,21
2024-07-28,21
2024-07-29,15
2024-07-30,18
2024-07-31,17
2024-08-01,16
2024-08-02,17
2024-08-03,20
2024-08-04,19
2024-08-05,15
2024-08-06,15
2024-08-07,19
2024-08-08,17
2024-08-09,17
2024-08-10,20
2024-08-11,24
2024-08-12,20
2024-08-13,19
2024-08-14,16
2024-08-15,15
2024-08-16,18
2024-08-17,22
2024-08-18,23
2024-08-19,19
2024-08-20,17
2024-08-21,19
2024-08-22,22
2024-08-23,100
2024-08-24,98
2024-08-25,76
2024-08-26,53
2024-08-27,40
2024-08-28,38
2024-08-29,39
2024-08-30,40
2024-08-31,36
2024-09-01,35
2024-09-02,37
2024-09-03,30
2024-09-04,30
2024-09-05,28
2024-09-06,32
2024-09-07,33
2024-09-08,32
2024-09-09,25
2024-09-10,24
2024-09-11,23
2024-09-12,69
2024-09-13,47
2024-09-14,41
2024-09-15,35
2024-09-16,30
