Time,nba scores
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,0
2022-09-04,0
2022-09-05,0
2022-09-06,0
2022-09-07,0
2022-09-08,0
2022-09-09,1
2022-09-10,0
2022-09-11,1
2022-09-12,1
2022-09-13,1
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,0
2022-09-18,1
2022-09-19,0
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,1
2022-09-25,1
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,1
2022-10-01,1
2022-10-02,2
2022-10-03,2
2022-10-04,5
2022-10-05,4
2022-10-06,5
2022-10-07,5
2022-10-08,4
2022-10-09,3
2022-10-10,5
2022-10-11,4
2022-10-12,4
2022-10-13,7
2022-10-14,4
2022-10-15,8
2022-10-16,3
2022-10-17,2
2022-10-18,5
2022-10-19,32
2022-10-20,31
2022-10-21,25
2022-10-22,32
2022-10-23,29
2022-10-24,18
2022-10-25,25
2022-10-26,23
2022-10-27,26
2022-10-28,24
2022-10-29,30
2022-10-30,27
2022-10-31,21
2022-11-01,19
2022-11-02,21
2022-11-03,26
2022-11-04,18
2022-11-05,32
2022-11-06,25
2022-11-07,15
2022-11-08,23
2022-11-09,9
2022-11-10,25
2022-11-11,16
2022-11-12,28
2022-11-13,22
2022-11-14,19
2022-11-15,17
2022-11-16,18
2022-11-17,22
2022-11-18,17
2022-11-19,29
2022-11-20,21
2022-11-21,18
2022-11-22,18
2022-11-23,23
2022-11-24,23
2022-11-25,9
2022-11-26,25
2022-11-27,23
2022-11-28,13
2022-11-29,20
2022-11-30,16
2022-12-01,21
2022-12-02,12
2022-12-03,29
2022-12-04,21
2022-12-05,15
2022-12-06,19
2022-12-07,17
2022-12-08,21
2022-12-09,15
2022-12-10,25
2022-12-11,26
2022-12-12,13
2022-12-13,17
2022-12-14,22
2022-12-15,19
2022-12-16,17
2022-12-17,27
2022-12-18,21
2022-12-19,17
2022-12-20,19
2022-12-21,19
2022-12-22,23
2022-12-23,13
2022-12-24,26
2022-12-25,28
2022-12-26,28
2022-12-27,19
2022-12-28,25
2022-12-29,23
2022-12-30,18
2022-12-31,27
2023-01-01,21
2023-01-02,17
2023-01-03,22
2023-01-04,15
2023-01-05,23
2023-01-06,18
2023-01-07,28
2023-01-08,27
2023-01-09,14
2023-01-10,18
2023-01-11,20
2023-01-12,18
2023-01-13,22
2023-01-14,24
2023-01-15,24
2023-01-16,24
2023-01-17,16
2023-01-18,17
2023-01-19,22
2023-01-20,21
2023-01-21,28
2023-01-22,23
2023-01-23,19
2023-01-24,18
2023-01-25,21
2023-01-26,26
2023-01-27,20
2023-01-28,26
2023-01-29,30
2023-01-30,12
2023-01-31,21
2023-02-01,22
2023-02-02,21
2023-02-03,24
2023-02-04,23
2023-02-05,30
2023-02-06,14
2023-02-07,21
2023-02-08,28
2023-02-09,24
2023-02-10,21
2023-02-11,29
2023-02-12,34
2023-02-13,9
2023-02-14,23
2023-02-15,22
2023-02-16,24
2023-02-17,18
2023-02-18,7
2023-02-19,6
2023-02-20,11
2023-02-21,4
2023-02-22,5
2023-02-23,6
2023-02-24,26
2023-02-25,34
2023-02-26,38
2023-02-27,24
2023-02-28,18
2023-03-01,26
2023-03-02,27
2023-03-03,22
2023-03-04,34
2023-03-05,39
2023-03-06,25
2023-03-07,22
2023-03-08,26
2023-03-09,25
2023-03-10,24
2023-03-11,31
2023-03-12,38
2023-03-13,20
2023-03-14,24
2023-03-15,26
2023-03-16,27
2023-03-17,20
2023-03-18,33
2023-03-19,30
2023-03-20,22
2023-03-21,22
2023-03-22,21
2023-03-23,28
2023-03-24,21
2023-03-25,36
2023-03-26,42
2023-03-27,19
2023-03-28,25
2023-03-29,25
2023-03-30,31
2023-03-31,22
2023-04-01,35
2023-04-02,35
2023-04-03,25
2023-04-04,13
2023-04-05,34
2023-04-06,31
2023-04-07,27
2023-04-08,42
2023-04-09,41
2023-04-10,14
2023-04-11,10
2023-04-12,43
2023-04-13,31
2023-04-14,15
2023-04-15,56
2023-04-16,80
2023-04-17,53
2023-04-18,53
2023-04-19,67
2023-04-20,52
2023-04-21,61
2023-04-22,80
2023-04-23,100
2023-04-24,44
2023-04-25,60
2023-04-26,59
2023-04-27,73
2023-04-28,45
2023-04-29,76
2023-04-30,87
2023-05-01,25
2023-05-02,50
2023-05-03,63
2023-05-04,44
2023-05-05,52
2023-05-06,83
2023-05-07,90
2023-05-08,45
2023-05-09,64
2023-05-10,60
2023-05-11,71
2023-05-12,71
2023-05-13,97
2023-05-14,54
2023-05-15,18
2023-05-16,15
2023-05-17,48
2023-05-18,44
2023-05-19,52
2023-05-20,54
2023-05-21,67
2023-05-22,46
2023-05-23,57
2023-05-24,43
2023-05-25,11
