Time,yellowstone national park
2023-12-22,9
2023-12-23,11
2023-12-24,11
2023-12-25,12
2023-12-26,13
2023-12-27,15
2023-12-28,16
2023-12-29,16
2023-12-30,17
2023-12-31,17
2024-01-01,19
2024-01-02,18
2024-01-03,14
2024-01-04,15
2024-01-05,15
2024-01-06,16
2024-01-07,19
2024-01-08,15
2024-01-09,14
2024-01-10,15
2024-01-11,15
2024-01-12,19
2024-01-13,14
2024-01-14,17
2024-01-15,16
2024-01-16,13
2024-01-17,15
2024-01-18,16
2024-01-19,13
2024-01-20,16
2024-01-21,17
2024-01-22,15
2024-01-23,14
2024-01-24,15
2024-01-25,14
2024-01-26,15
2024-01-27,14
2024-01-28,17
2024-01-29,16
2024-01-30,17
2024-01-31,16
2024-02-01,14
2024-02-02,14
2024-02-03,15
2024-02-04,17
2024-02-05,15
2024-02-06,14
2024-02-07,14
2024-02-08,14
2024-02-09,13
2024-02-10,16
2024-02-11,15
2024-02-12,13
2024-02-13,16
2024-02-14,14
2024-02-15,14
2024-02-16,16
2024-02-17,16
2024-02-18,19
2024-02-19,17
2024-02-20,15
2024-02-21,16
2024-02-22,15
2024-02-23,15
2024-02-24,14
2024-02-25,18
2024-02-26,17
2024-02-27,17
2024-02-28,14
2024-02-29,15
2024-03-01,15
2024-03-02,16
2024-03-03,18
2024-03-04,18
2024-03-05,15
2024-03-06,15
2024-03-07,15
2024-03-08,13
2024-03-09,14
2024-03-10,17
2024-03-11,17
2024-03-12,14
2024-03-13,17
2024-03-14,15
2024-03-15,13
2024-03-16,18
2024-03-17,23
2024-03-18,17
2024-03-19,16
2024-03-20,15
2024-03-21,15
2024-03-22,14
2024-03-23,14
2024-03-24,18
2024-03-25,16
2024-03-26,13
2024-03-27,15
2024-03-28,14
2024-03-29,13
2024-03-30,14
2024-03-31,18
2024-04-01,16
2024-04-02,16
2024-04-03,17
2024-04-04,16
2024-04-05,16
2024-04-06,15
2024-04-07,20
2024-04-08,14
2024-04-09,15
2024-04-10,16
2024-04-11,18
2024-04-12,16
2024-04-13,16
2024-04-14,19
2024-04-15,17
2024-04-16,20
2024-04-17,19
2024-04-18,18
2024-04-19,18
2024-04-20,17
2024-04-21,20
2024-04-22,22
2024-04-23,21
2024-04-24,17
2024-04-25,19
2024-04-26,17
2024-04-27,16
2024-04-28,20
2024-04-29,22
2024-04-30,21
2024-05-01,21
2024-05-02,21
2024-05-03,19
2024-05-04,17
2024-05-05,23
2024-05-06,24
2024-05-07,22
2024-05-08,21
2024-05-09,19
2024-05-10,19
2024-05-11,18
2024-05-12,23
2024-05-13,24
2024-05-14,25
2024-05-15,25
2024-05-16,25
2024-05-17,22
2024-05-18,20
2024-05-19,23
2024-05-20,26
2024-05-21,25
2024-05-22,23
2024-05-23,26
2024-05-24,28
2024-05-25,27
2024-05-26,26
2024-05-27,31
2024-05-28,26
2024-05-29,25
2024-05-30,24
2024-05-31,23
2024-06-01,22
2024-06-02,29
2024-06-03,26
2024-06-04,26
2024-06-05,27
2024-06-06,25
2024-06-07,21
2024-06-08,26
2024-06-09,30
2024-06-10,29
2024-06-11,26
2024-06-12,24
2024-06-13,24
2024-06-14,22
2024-06-15,25
2024-06-16,30
2024-06-17,27
2024-06-18,27
2024-06-19,25
2024-06-20,22
2024-06-21,23
2024-06-22,25
2024-06-23,31
2024-06-24,28
2024-06-25,24
2024-06-26,21
2024-06-27,26
2024-06-28,21
2024-06-29,23
2024-06-30,27
2024-07-01,25
2024-07-02,24
2024-07-03,23
2024-07-04,35
2024-07-05,49
2024-07-06,32
2024-07-07,36
2024-07-08,28
2024-07-09,25
2024-07-10,24
2024-07-11,24
2024-07-12,21
2024-07-13,27
2024-07-14,23
2024-07-15,22
2024-07-16,21
2024-07-17,20
2024-07-18,22
2024-07-19,21
2024-07-20,23
2024-07-21,26
2024-07-22,21
2024-07-23,76
2024-07-24,100
2024-07-25,36
2024-07-26,27
2024-07-27,26
2024-07-28,30
2024-07-29,21
2024-07-30,21
2024-07-31,20
2024-08-01,20
2024-08-02,17
2024-08-03,21
2024-08-04,22
2024-08-05,19
2024-08-06,18
2024-08-07,17
2024-08-08,15
2024-08-09,15
2024-08-10,19
2024-08-11,21
2024-08-12,19
2024-08-13,21
2024-08-14,19
2024-08-15,19
2024-08-16,16
2024-08-17,21
2024-08-18,22
2024-08-19,19
2024-08-20,19
2024-08-21,18
2024-08-22,18
2024-08-23,18
2024-08-24,20
2024-08-25,24
2024-08-26,22
2024-08-27,20
2024-08-28,19
2024-08-29,19
2024-08-30,18
2024-08-31,21
2024-09-01,21
2024-09-02,20
2024-09-03,19
2024-09-04,19
2024-09-05,19
2024-09-06,16
2024-09-07,15
2024-09-08,20
2024-09-09,19
2024-09-10,18
2024-09-11,15
2024-09-12,17
2024-09-13,17
2024-09-14,16
2024-09-15,16
2024-09-16,20
