Time,yahoo mail
2023-12-22,95
2023-12-23,74
2023-12-24,66
2023-12-25,63
2023-12-26,87
2023-12-27,95
2023-12-28,91
2023-12-29,92
2023-12-30,74
2023-12-31,65
2024-01-01,69
2024-01-02,92
2024-01-03,100
2024-01-04,98
2024-01-05,91
2024-01-06,76
2024-01-07,70
2024-01-08,94
2024-01-09,95
2024-01-10,98
2024-01-11,96
2024-01-12,93
2024-01-13,70
2024-01-14,66
2024-01-15,78
2024-01-16,91
2024-01-17,98
2024-01-18,91
2024-01-19,92
2024-01-20,75
2024-01-21,67
2024-01-22,91
2024-01-23,98
2024-01-24,98
2024-01-25,94
2024-01-26,80
2024-01-27,62
2024-01-28,55
2024-01-29,72
2024-01-30,83
2024-01-31,81
2024-02-01,79
2024-02-02,76
2024-02-03,57
2024-02-04,53
2024-02-05,74
2024-02-06,78
2024-02-07,80
2024-02-08,76
2024-02-09,73
2024-02-10,59
2024-02-11,52
2024-02-12,68
2024-02-13,79
2024-02-14,77
2024-02-15,77
2024-02-16,77
2024-02-17,56
2024-02-18,54
2024-02-19,72
2024-02-20,80
2024-02-21,76
2024-02-22,77
2024-02-23,74
2024-02-24,58
2024-02-25,53
2024-02-26,76
2024-02-27,75
2024-02-28,74
2024-02-29,76
2024-03-01,78
2024-03-02,59
2024-03-03,54
2024-03-04,71
2024-03-05,89
2024-03-06,80
2024-03-07,74
2024-03-08,72
2024-03-09,56
2024-03-10,56
2024-03-11,74
2024-03-12,73
2024-03-13,75
2024-03-14,72
2024-03-15,68
2024-03-16,59
2024-03-17,55
2024-03-18,75
2024-03-19,74
2024-03-20,78
2024-03-21,76
2024-03-22,70
2024-03-23,55
2024-03-24,54
2024-03-25,76
2024-03-26,76
2024-03-27,76
2024-03-28,76
2024-03-29,66
2024-03-30,53
2024-03-31,50
2024-04-01,76
2024-04-02,76
2024-04-03,76
2024-04-04,72
2024-04-05,73
2024-04-06,54
2024-04-07,51
2024-04-08,68
2024-04-09,71
2024-04-10,77
2024-04-11,73
2024-04-12,73
2024-04-13,56
2024-04-14,51
2024-04-15,74
2024-04-16,76
2024-04-17,75
2024-04-18,71
2024-04-19,68
2024-04-20,56
2024-04-21,54
2024-04-22,73
2024-04-23,72
2024-04-24,72
2024-04-25,74
2024-04-26,69
2024-04-27,54
2024-04-28,54
2024-04-29,73
2024-04-30,73
2024-05-01,75
2024-05-02,72
2024-05-03,71
2024-05-04,53
2024-05-05,51
2024-05-06,73
2024-05-07,75
2024-05-08,75
2024-05-09,72
2024-05-10,68
2024-05-11,54
2024-05-12,49
2024-05-13,71
2024-05-14,75
2024-05-15,73
2024-05-16,71
2024-05-17,69
2024-05-18,56
2024-05-19,50
2024-05-20,71
2024-05-21,76
2024-05-22,74
2024-05-23,72
2024-05-24,69
2024-05-25,52
2024-05-26,49
2024-05-27,57
2024-05-28,74
2024-05-29,75
2024-05-30,75
2024-05-31,72
2024-06-01,57
2024-06-02,53
2024-06-03,70
2024-06-04,73
2024-06-05,77
2024-06-06,75
2024-06-07,72
2024-06-08,54
2024-06-09,52
2024-06-10,80
2024-06-11,76
2024-06-12,75
2024-06-13,76
2024-06-14,73
2024-06-15,54
2024-06-16,51
2024-06-17,74
2024-06-18,73
2024-06-19,69
2024-06-20,73
2024-06-21,70
2024-06-22,53
2024-06-23,48
2024-06-24,73
2024-06-25,73
2024-06-26,74
2024-06-27,74
2024-06-28,70
2024-06-29,56
2024-06-30,51
2024-07-01,75
2024-07-02,74
2024-07-03,69
2024-07-04,53
2024-07-05,64
2024-07-06,52
2024-07-07,50
2024-07-08,71
2024-07-09,72
2024-07-10,71
2024-07-11,74
2024-07-12,72
2024-07-13,52
2024-07-14,48
2024-07-15,71
2024-07-16,74
2024-07-17,69
2024-07-18,75
2024-07-19,68
2024-07-20,54
2024-07-21,51
2024-07-22,72
2024-07-23,75
2024-07-24,72
2024-07-25,74
2024-07-26,69
2024-07-27,53
2024-07-28,50
2024-07-29,69
2024-07-30,71
2024-07-31,73
2024-08-01,74
2024-08-02,69
2024-08-03,54
2024-08-04,51
2024-08-05,68
2024-08-06,70
2024-08-07,75
2024-08-08,74
2024-08-09,71
2024-08-10,54
2024-08-11,50
2024-08-12,77
2024-08-13,78
2024-08-14,73
2024-08-15,74
2024-08-16,71
2024-08-17,55
2024-08-18,50
2024-08-19,73
2024-08-20,77
2024-08-21,72
2024-08-22,71
2024-08-23,72
2024-08-24,55
2024-08-25,52
2024-08-26,77
2024-08-27,75
2024-08-28,69
2024-08-29,72
2024-08-30,68
2024-08-31,51
2024-09-01,49
2024-09-02,53
2024-09-03,71
2024-09-04,70
2024-09-05,70
2024-09-06,69
2024-09-07,52
2024-09-08,48
2024-09-09,65
2024-09-10,69
2024-09-11,65
2024-09-12,64
2024-09-13,63
2024-09-14,48
2024-09-15,44
2024-09-16,62
