Time,tiempo
2024-08-18,64
2024-08-19,51
2024-08-20,43
2024-08-21,39
2024-08-22,43
2024-08-23,47
2024-08-24,40
2024-08-25,39
2024-08-26,53
2024-08-27,55
2024-08-28,54
2024-08-29,58
2024-08-30,67
2024-08-31,57
2024-09-01,64
2024-09-02,54
2024-09-03,53
2024-09-04,54
2024-09-05,54
2024-09-06,56
2024-09-07,62
2024-09-08,45
2024-09-09,49
2024-09-10,50
2024-09-11,54
2024-09-12,53
2024-09-13,51
2024-09-14,45
2024-09-15,45
2024-09-16,51
2024-09-17,56
2024-09-18,54
2024-09-19,45
2024-09-20,44
2024-09-21,43
2024-09-22,43
2024-09-23,55
2024-09-24,65
2024-09-25,74
2024-09-26,71
2024-09-27,69
2024-09-28,61
2024-09-29,49
2024-09-30,48
2024-10-01,43
2024-10-02,37
2024-10-03,38
2024-10-04,46
2024-10-05,38
2024-10-06,42
2024-10-07,50
2024-10-08,45
2024-10-09,50
2024-10-10,43
2024-10-11,38
2024-10-12,42
2024-10-13,40
2024-10-14,42
2024-10-15,44
2024-10-16,49
2024-10-17,51
2024-10-18,46
2024-10-19,44
2024-10-20,38
2024-10-21,39
2024-10-22,35
2024-10-23,35
2024-10-24,36
2024-10-25,36
2024-10-26,38
2024-10-27,36
2024-10-28,40
2024-10-29,52
2024-10-30,59
2024-10-31,62
2024-11-01,54
2024-11-02,66
2024-11-03,61
2024-11-04,72
2024-11-05,62
2024-11-06,48
2024-11-07,56
2024-11-08,56
2024-11-09,49
2024-11-10,56
2024-11-11,58
2024-11-12,44
2024-11-13,59
2024-11-14,62
2024-11-15,48
2024-11-16,44
2024-11-17,52
2024-11-18,66
2024-11-19,57
2024-11-20,71
2024-11-21,72
2024-11-22,75
2024-11-23,59
2024-11-24,53
2024-11-25,65
2024-11-26,74
2024-11-27,61
2024-11-28,88
2024-11-29,53
2024-11-30,49
2024-12-01,48
2024-12-02,49
2024-12-03,52
2024-12-04,68
2024-12-05,62
2024-12-06,53
2024-12-07,66
2024-12-08,61
2024-12-09,76
2024-12-10,68
2024-12-11,73
2024-12-12,64
2024-12-13,60
2024-12-14,73
2024-12-15,70
2024-12-16,76
2024-12-17,58
2024-12-18,73
2024-12-19,57
2024-12-20,68
2024-12-21,58
2024-12-22,59
2024-12-23,58
2024-12-24,88
2024-12-25,52
2024-12-26,71
2024-12-27,71
2024-12-28,90
2024-12-29,78
2024-12-30,60
2024-12-31,64
2025-01-01,49
2025-01-02,53
2025-01-03,65
2025-01-04,67
2025-01-05,82
2025-01-06,97
2025-01-07,71
2025-01-08,69
2025-01-09,90
2025-01-10,100
2025-01-11,78
2025-01-12,63
2025-01-13,55
2025-01-14,57
2025-01-15,56
2025-01-16,56
2025-01-17,59
2025-01-18,90
2025-01-19,85
2025-01-20,86
2025-01-21,95
2025-01-22,77
2025-01-23,63
2025-01-24,56
2025-01-25,72
2025-01-26,79
2025-01-27,67
2025-01-28,50
2025-01-29,63
2025-01-30,66
2025-01-31,75
2025-02-01,50
2025-02-02,53
2025-02-03,53
2025-02-04,56
2025-02-05,67
2025-02-06,78
2025-02-07,58
2025-02-08,67
2025-02-09,62
2025-02-10,59
2025-02-11,82
2025-02-12,85
2025-02-13,85
2025-02-14,70
2025-02-15,92
2025-02-16,74
2025-02-17,63
2025-02-18,75
2025-02-19,90
2025-02-20,70
2025-02-21,62
2025-02-22,59
2025-02-23,53
2025-02-24,58
2025-02-25,52
2025-02-26,46
2025-02-27,61
2025-02-28,45
2025-03-01,47
2025-03-02,58
2025-03-03,60
2025-03-04,76
2025-03-05,90
2025-03-06,63
2025-03-07,59
2025-03-08,59
2025-03-09,51
2025-03-10,62
2025-03-11,56
2025-03-12,62
2025-03-13,67
2025-03-14,76
2025-03-15,78
2025-03-16,75
2025-03-17,65
2025-03-18,50
2025-03-19,59
2025-03-20,58
2025-03-21,47
2025-03-22,46
2025-03-23,64
2025-03-24,64
2025-03-25,58
2025-03-26,62
2025-03-27,61
2025-03-28,68
2025-03-29,77
2025-03-30,79
2025-03-31,87
2025-04-01,65
2025-04-02,70
2025-04-03,75
2025-04-04,69
2025-04-05,70
2025-04-06,69
2025-04-07,69
2025-04-08,51
2025-04-09,46
2025-04-10,63
2025-04-11,56
2025-04-12,51
2025-04-13,45
2025-04-14,42
2025-04-15,48
2025-04-16,44
2025-04-17,59
2025-04-18,57
2025-04-19,65
2025-04-20,63
2025-04-21,58
2025-04-22,61
2025-04-23,67
2025-04-24,65
2025-04-25,66
2025-04-26,75
2025-04-27,52
2025-04-28,55
2025-04-29,59
2025-04-30,60
2025-05-01,64
2025-05-02,71
2025-05-03,78
2025-05-04,78
2025-05-05,78
2025-05-06,74
2025-05-07,67
2025-05-08,70
2025-05-09,71
2025-05-10,64
2025-05-11,66
2025-05-12,75
2025-05-13,73
2025-05-14,63
