Time,tiempo
2022-01-01,57
2022-01-02,67
2022-01-03,87
2022-01-04,71
2022-01-05,72
2022-01-06,63
2022-01-07,80
2022-01-08,64
2022-01-09,63
2022-01-10,55
2022-01-11,53
2022-01-12,55
2022-01-13,65
2022-01-14,50
2022-01-15,71
2022-01-16,79
2022-01-17,69
2022-01-18,53
2022-01-19,65
2022-01-20,89
2022-01-21,77
2022-01-22,66
2022-01-23,57
2022-01-24,74
2022-01-25,52
2022-01-26,56
2022-01-27,61
2022-01-28,86
2022-01-29,82
2022-01-30,63
2022-01-31,70
2022-02-01,70
2022-02-02,84
2022-02-03,100
2022-02-04,88
2022-02-05,65
2022-02-06,57
2022-02-07,67
2022-02-08,48
2022-02-09,49
2022-02-10,44
2022-02-11,52
2022-02-12,64
2022-02-13,64
2022-02-14,49
2022-02-15,55
2022-02-16,58
2022-02-17,71
2022-02-18,62
2022-02-19,54
2022-02-20,51
2022-02-21,67
2022-02-22,83
2022-02-23,85
2022-02-24,78
2022-02-25,71
2022-02-26,58
2022-02-27,51
2022-02-28,50
2022-03-01,46
2022-03-02,47
2022-03-03,50
2022-03-04,54
2022-03-05,54
2022-03-06,61
2022-03-07,74
2022-03-08,74
2022-03-09,74
2022-03-10,62
2022-03-11,79
2022-03-12,77
2022-03-13,57
2022-03-14,56
2022-03-15,61
2022-03-16,64
2022-03-17,64
2022-03-18,63
2022-03-19,63
2022-03-20,52
2022-03-21,66
2022-03-22,63
2022-03-23,66
2022-03-24,62
2022-03-25,45
2022-03-26,50
2022-03-27,45
2022-03-28,60
2022-03-29,53
2022-03-30,66
2022-03-31,62
2022-04-01,50
2022-04-02,53
2022-04-03,53
2022-04-04,56
2022-04-05,64
2022-04-06,62
2022-04-07,63
2022-04-08,53
2022-04-09,54
2022-04-10,49
2022-04-11,67
2022-04-12,71
2022-04-13,68
2022-04-14,63
2022-04-15,55
2022-04-16,66
2022-04-17,59
2022-04-18,62
2022-04-19,53
2022-04-20,52
2022-04-21,52
2022-04-22,51
2022-04-23,45
2022-04-24,48
2022-04-25,61
2022-04-26,57
2022-04-27,40
2022-04-28,44
2022-04-29,44
2022-04-30,51
2022-05-01,53
2022-05-02,61
2022-05-03,52
2022-05-04,61
2022-05-05,58
2022-05-06,71
2022-05-07,54
2022-05-08,49
2022-05-09,43
2022-05-10,39
2022-05-11,35
2022-05-12,49
2022-05-13,56
2022-05-14,60
2022-05-15,53
2022-05-16,56
2022-05-17,41
2022-05-18,44
2022-05-19,52
2022-05-20,61
2022-05-21,70
2022-05-22,69
2022-05-23,65
2022-05-24,80
2022-05-25,67
2022-05-26,63
2022-05-27,70
2022-05-28,59
2022-05-29,50
2022-05-30,52
2022-05-31,49
2022-06-01,57
2022-06-02,69
2022-06-03,62
2022-06-04,59
2022-06-05,50
2022-06-06,55
2022-06-07,56
2022-06-08,62
2022-06-09,60
2022-06-10,53
2022-06-11,61
2022-06-12,62
2022-06-13,52
2022-06-14,56
2022-06-15,47
2022-06-16,61
2022-06-17,57
2022-06-18,51
2022-06-19,49
2022-06-20,45
2022-06-21,51
2022-06-22,64
2022-06-23,57
2022-06-24,51
2022-06-25,52
2022-06-26,57
2022-06-27,80
2022-06-28,56
2022-06-29,57
2022-06-30,54
2022-07-01,63
2022-07-02,64
2022-07-03,56
2022-07-04,51
2022-07-05,60
2022-07-06,58
2022-07-07,55
2022-07-08,57
2022-07-09,58
2022-07-10,46
2022-07-11,50
2022-07-12,55
2022-07-13,54
2022-07-14,53
2022-07-15,53
2022-07-16,58
2022-07-17,54
2022-07-18,61
2022-07-19,52
2022-07-20,48
2022-07-21,61
2022-07-22,48
2022-07-23,53
2022-07-24,51
2022-07-25,64
2022-07-26,57
2022-07-27,53
2022-07-28,59
2022-07-29,58
2022-07-30,48
2022-07-31,55
2022-08-01,60
2022-08-02,52
2022-08-03,46
2022-08-04,54
2022-08-05,60
2022-08-06,58
2022-08-07,55
2022-08-08,58
2022-08-09,63
2022-08-10,57
2022-08-11,62
2022-08-12,54
2022-08-13,50
2022-08-14,51
2022-08-15,56
2022-08-16,51
2022-08-17,60
2022-08-18,58
2022-08-19,67
2022-08-20,67
2022-08-21,68
2022-08-22,77
2022-08-23,66
2022-08-24,55
2022-08-25,54
2022-08-26,56
2022-08-27,50
2022-08-28,52
2022-08-29,63
2022-08-30,68
2022-08-31,52
2022-09-01,51
2022-09-02,54
2022-09-03,64
2022-09-04,63
2022-09-05,70
2022-09-06,71
2022-09-07,63
2022-09-08,49
2022-09-09,60
2022-09-10,66
2022-09-11,67
2022-09-12,62
2022-09-13,53
2022-09-14,43
2022-09-15,44
2022-09-16,44
2022-09-17,46
2022-09-18,54
2022-09-19,55
2022-09-20,45
2022-09-21,45
2022-09-22,62
2022-09-23,44
2022-09-24,46
2022-09-25,58
2022-09-26,52
2022-09-27,53
