Time,nasdaq
2025-04-15,78
2025-04-16,82
2025-04-17,81
2025-04-18,42
2025-04-19,15
2025-04-20,14
2025-04-21,86
2025-04-22,82
2025-04-23,80
2025-04-24,74
2025-04-25,66
2025-04-26,17
2025-04-27,15
2025-04-28,69
2025-04-29,67
2025-04-30,71
2025-05-01,74
2025-05-02,67
2025-05-03,17
2025-05-04,14
2025-05-05,64
2025-05-06,58
2025-05-07,61
2025-05-08,61
2025-05-09,58
2025-05-10,14
2025-05-11,15
2025-05-12,94
2025-05-13,78
2025-05-14,70
2025-05-15,65
2025-05-16,59
2025-05-17,17
2025-05-18,15
2025-05-19,65
2025-05-20,57
2025-05-21,57
2025-05-22,60
2025-05-23,52
2025-05-24,14
2025-05-25,11
2025-05-26,16
2025-05-27,60
2025-05-28,60
2025-05-29,64
2025-05-30,57
2025-05-31,13
2025-06-01,12
2025-06-02,51
2025-06-03,53
2025-06-04,54
2025-06-05,60
2025-06-06,64
2025-06-07,15
2025-06-08,14
2025-06-09,57
2025-06-10,58
2025-06-11,60
2025-06-12,55
2025-06-13,56
2025-06-14,13
2025-06-15,13
2025-06-16,50
2025-06-17,49
2025-06-18,50
2025-06-19,30
2025-06-20,46
2025-06-21,13
2025-06-22,20
2025-06-23,59
2025-06-24,56
2025-06-25,56
2025-06-26,60
2025-06-27,67
2025-06-28,19
2025-06-29,13
2025-06-30,57
2025-07-01,65
2025-07-02,61
2025-07-03,64
2025-07-04,19
2025-07-05,10
2025-07-06,15
2025-07-07,57
2025-07-08,56
2025-07-09,57
2025-07-10,59
2025-07-11,56
2025-07-12,17
2025-07-13,15
2025-07-14,61
2025-07-15,61
2025-07-16,62
2025-07-17,73
2025-07-18,56
2025-07-19,30
2025-07-20,31
2025-07-21,73
2025-07-22,69
2025-07-23,72
2025-07-24,77
2025-07-25,64
2025-07-26,25
2025-07-27,27
2025-07-28,77
2025-07-29,80
2025-07-30,92
2025-07-31,100
2025-08-01,85
2025-08-02,18
2025-08-03,17
2025-08-04,66
2025-08-05,69
2025-08-06,69
2025-08-07,72
2025-08-08,66
2025-08-09,23
2025-08-10,23
2025-08-11,66
2025-08-12,65
2025-08-13,64
2025-08-14,59
2025-08-15,63
2025-08-16,16
2025-08-17,14
2025-08-18,53
2025-08-19,66
2025-08-20,65
2025-08-21,52
2025-08-22,65
2025-08-23,18
2025-08-24,14
2025-08-25,56
2025-08-26,52
2025-08-27,54
2025-08-28,55
2025-08-29,50
2025-08-30,14
2025-08-31,11
2025-09-01,15
2025-09-02,55
2025-09-03,57
2025-09-04,53
2025-09-05,52
2025-09-06,15
2025-09-07,11
2025-09-08,57
2025-09-09,59
2025-09-10,54
2025-09-11,51
2025-09-12,57
2025-09-13,14
2025-09-14,11
2025-09-15,56
2025-09-16,56
2025-09-17,63
2025-09-18,61
2025-09-19,59
2025-09-20,17
2025-09-21,14
2025-09-22,59
2025-09-23,58
2025-09-24,55
2025-09-25,52
2025-09-26,53
2025-09-27,15
2025-09-28,13
2025-09-29,52
2025-09-30,53
2025-10-01,59
2025-10-02,55
2025-10-03,58
2025-10-04,14
2025-10-05,11
2025-10-06,53
2025-10-07,58
2025-10-08,55
2025-10-09,56
2025-10-10,72
2025-10-11,26
2025-10-12,20
2025-10-13,78
2025-10-14,67
2025-10-15,63
2025-10-16,60
2025-10-17,60
2025-10-18,16
2025-10-19,13
2025-10-20,60
2025-10-21,63
2025-10-22,60
2025-10-23,54
2025-10-24,58
2025-10-25,14
2025-10-26,14
2025-10-27,61
2025-10-28,63
2025-10-29,69
2025-10-30,73
2025-10-31,74
2025-11-01,22
2025-11-02,19
2025-11-03,69
2025-11-04,70
2025-11-05,73
2025-11-06,70
2025-11-07,75
2025-11-08,23
2025-11-09,20
2025-11-10,71
2025-11-11,74
2025-11-12,72
2025-11-13,79
2025-11-14,80
2025-11-15,22
2025-11-16,19
2025-11-17,66
2025-11-18,73
2025-11-19,77
2025-11-20,89
2025-11-21,87
2025-11-22,23
2025-11-23,20
2025-11-24,70
2025-11-25,74
2025-11-26,77
2025-11-27,32
2025-11-28,59
2025-11-29,22
2025-11-30,21
2025-12-01,63
2025-12-02,66
2025-12-03,65
2025-12-04,64
2025-12-05,61
2025-12-06,22
2025-12-07,20
2025-12-08,58
2025-12-09,64
2025-12-10,69
2025-12-11,76
2025-12-12,73
2025-12-13,29
2025-12-14,20
2025-12-15,65
2025-12-16,79
2025-12-17,77
2025-12-18,72
2025-12-19,68
2025-12-20,23
2025-12-21,21
2025-12-22,66
2025-12-23,64
2025-12-24,57
2025-12-25,22
2025-12-26,55
2025-12-27,21
2025-12-28,19
2025-12-29,56
2025-12-30,61
2025-12-31,58
2026-01-01,24
2026-01-02,60
2026-01-03,25
2026-01-04,25
2026-01-05,63
2026-01-06,65
2026-01-07,66
2026-01-08,62
2026-01-09,63
