Time,msnbc
2025-12-11,61
2025-12-12,63
2025-12-13,51
2025-12-14,52
2025-12-15,78
2025-12-16,66
2025-12-17,63
2025-12-18,83
2025-12-19,68
2025-12-20,53
2025-12-21,42
2025-12-22,53
2025-12-23,64
2025-12-24,49
2025-12-25,45
2025-12-26,53
2025-12-27,42
2025-12-28,41
2025-12-29,60
2025-12-30,63
2025-12-31,48
2026-01-01,42
2026-01-02,50
2026-01-03,100
2026-01-04,67
2026-01-05,63
2026-01-06,63
2026-01-07,70
2026-01-08,78
2026-01-09,67
2026-01-10,50
2026-01-11,49
2026-01-12,59
2026-01-13,63
2026-01-14,57
2026-01-15,60
2026-01-16,54
2026-01-17,45
2026-01-18,39
2026-01-19,57
2026-01-20,62
2026-01-21,65
2026-01-22,59
2026-01-23,54
2026-01-24,67
2026-01-25,60
2026-01-26,61
2026-01-27,69
2026-01-28,71
2026-01-29,70
2026-01-30,72
2026-01-31,62
2026-02-01,52
2026-02-02,56
2026-02-03,63
2026-02-04,66
2026-02-05,62
2026-02-06,64
2026-02-07,55
2026-02-08,47
2026-02-09,61
2026-02-10,61
2026-02-11,73
2026-02-12,63
2026-02-13,55
2026-02-14,47
2026-02-15,43
2026-02-16,51
2026-02-17,53
2026-02-18,54
2026-02-19,55
2026-02-20,64
2026-02-21,45
2026-02-22,45
2026-02-23,62
2026-02-24,56
2026-02-25,88
2026-02-26,56
2026-02-27,57
2026-02-28,100
2026-03-01,85
2026-03-02,87
2026-03-03,84
2026-03-04,88
2026-03-05,76
2026-03-06,63
2026-03-07,49
2026-03-08,48
2026-03-09,66
2026-03-10,62
2026-03-11,62
2026-03-12,64
2026-03-13,56
2026-03-14,48
2026-03-15,49
2026-03-16,59
2026-03-17,61
2026-03-18,62
2026-03-19,60
2026-03-20,54
2026-03-21,53
2026-03-22,46
2026-03-23,63
2026-03-24,56
2026-03-25,60
2026-03-26,44
2026-03-27,55
2026-03-28,44
2026-03-29,49
2026-03-30,54
2026-03-31,57
2026-04-01,57
2026-04-02,68
2026-04-03,51
2026-04-04,47
2026-04-05,49
2026-04-06,63
2026-04-07,78
2026-04-08,69
2026-04-09,55
2026-04-10,49
2026-04-11,43
2026-04-12,42
2026-04-13,54
2026-04-14,53
2026-04-15,50
2026-04-16,46
2026-04-17,50
2026-04-18,39
2026-04-19,40
2026-04-20,52
2026-04-21,55
2026-04-22,52
2026-04-23,45
2026-04-24,43
2026-04-25,37
2026-04-26,73
2026-04-27,47
2026-04-28,47
2026-04-29,46
2026-04-30,44
2026-05-01,38
2026-05-02,33
2026-05-03,34
2026-05-04,47
2026-05-05,44
2026-05-06,45
2026-05-07,44
2026-05-08,43
2026-05-09,32
2026-05-10,29
2026-05-11,44
2026-05-12,43
2026-05-13,40
2026-05-14,41
2026-05-15,42
2026-05-16,31
2026-05-17,34
2026-05-18,41
2026-05-19,44
2026-05-20,47
2026-05-21,42
2026-05-22,43
2026-05-23,38
2026-05-24,36
2026-05-25,37
2026-05-26,47
2026-05-27,47
2026-05-28,45
2026-05-29,45
2026-05-30,34
2026-05-31,36
