Time,msnbc
2022-01-01,27
2022-01-02,21
2022-01-03,28
2022-01-04,37
2022-01-05,38
2022-01-06,40
2022-01-07,39
2022-01-08,30
2022-01-09,21
2022-01-10,31
2022-01-11,36
2022-01-12,33
2022-01-13,41
2022-01-14,31
2022-01-15,28
2022-01-16,21
2022-01-17,26
2022-01-18,30
2022-01-19,33
2022-01-20,36
2022-01-21,34
2022-01-22,27
2022-01-23,23
2022-01-24,40
2022-01-25,31
2022-01-26,34
2022-01-27,39
2022-01-28,41
2022-01-29,29
2022-01-30,24
2022-01-31,29
2022-02-01,44
2022-02-02,40
2022-02-03,35
2022-02-04,35
2022-02-05,27
2022-02-06,24
2022-02-07,31
2022-02-08,33
2022-02-09,31
2022-02-10,29
2022-02-11,34
2022-02-12,27
2022-02-13,26
2022-02-14,33
2022-02-15,43
2022-02-16,42
2022-02-17,42
2022-02-18,37
2022-02-19,32
2022-02-20,27
2022-02-21,34
2022-02-22,44
2022-02-23,40
2022-02-24,100
2022-02-25,72
2022-02-26,63
2022-02-27,55
2022-02-28,59
2022-03-01,60
2022-03-02,64
2022-03-03,49
2022-03-04,49
2022-03-05,39
2022-03-06,35
2022-03-07,40
2022-03-08,46
2022-03-09,42
2022-03-10,39
2022-03-11,37
2022-03-12,31
2022-03-13,29
2022-03-14,37
2022-03-15,38
2022-03-16,41
2022-03-17,36
2022-03-18,32
2022-03-19,27
2022-03-20,25
2022-03-21,32
2022-03-22,35
2022-03-23,38
2022-03-24,38
2022-03-25,33
2022-03-26,30
2022-03-27,26
2022-03-28,31
2022-03-29,33
2022-03-30,36
2022-03-31,37
2022-04-01,44
2022-04-02,36
2022-04-03,27
2022-04-04,34
2022-04-05,34
2022-04-06,34
2022-04-07,40
2022-04-08,39
2022-04-09,27
2022-04-10,22
2022-04-11,27
2022-04-12,64
2022-04-13,44
2022-04-14,44
2022-04-15,31
2022-04-16,30
2022-04-17,28
2022-04-18,28
2022-04-19,32
2022-04-20,31
2022-04-21,29
2022-04-22,32
2022-04-23,26
2022-04-24,22
2022-04-25,29
2022-04-26,31
2022-04-27,32
2022-04-28,28
2022-04-29,26
2022-04-30,22
2022-05-01,23
2022-05-02,26
2022-05-03,40
2022-05-04,56
2022-05-05,38
2022-05-06,39
2022-05-07,53
2022-05-08,31
2022-05-09,29
2022-05-10,33
2022-05-11,32
2022-05-12,31
2022-05-13,29
2022-05-14,25
2022-05-15,25
2022-05-16,28
2022-05-17,30
2022-05-18,37
2022-05-19,30
2022-05-20,26
2022-05-21,23
2022-05-22,20
2022-05-23,25
2022-05-24,45
2022-05-25,55
2022-05-26,41
2022-05-27,37
2022-05-28,29
2022-05-29,24
2022-05-30,24
2022-05-31,29
2022-06-01,31
2022-06-02,31
2022-06-03,29
2022-06-04,24
2022-06-05,21
2022-06-06,28
2022-06-07,30
2022-06-08,35
2022-06-09,43
2022-06-10,57
2022-06-11,27
2022-06-12,28
2022-06-13,52
2022-06-14,43
2022-06-15,37
2022-06-16,50
2022-06-17,37
2022-06-18,28
2022-06-19,22
2022-06-20,30
2022-06-21,47
2022-06-22,40
2022-06-23,51
2022-06-24,65
2022-06-25,39
2022-06-26,26
2022-06-27,50
2022-06-28,79
2022-06-29,55
2022-06-30,42
2022-07-01,35
2022-07-02,27
2022-07-03,25
2022-07-04,35
2022-07-05,39
2022-07-06,34
2022-07-07,34
2022-07-08,35
2022-07-09,27
2022-07-10,25
2022-07-11,32
2022-07-12,53
2022-07-13,42
2022-07-14,36
2022-07-15,34
2022-07-16,25
2022-07-17,26
2022-07-18,34
2022-07-19,39
2022-07-20,37
2022-07-21,45
2022-07-22,54
2022-07-23,28
2022-07-24,24
2022-07-25,28
2022-07-26,35
2022-07-27,35
2022-07-28,36
2022-07-29,35
2022-07-30,27
2022-07-31,25
2022-08-01,31
2022-08-02,36
2022-08-03,41
2022-08-04,35
2022-08-05,35
2022-08-06,27
2022-08-07,25
2022-08-08,39
2022-08-09,74
2022-08-10,51
2022-08-11,54
2022-08-12,69
2022-08-13,49
2022-08-14,36
2022-08-15,46
2022-08-16,55
2022-08-17,56
2022-08-18,52
2022-08-19,44
2022-08-20,31
2022-08-21,28
2022-08-22,34
2022-08-23,41
2022-08-24,44
2022-08-25,41
2022-08-26,49
2022-08-27,36
2022-08-28,28
2022-08-29,36
2022-08-30,39
2022-08-31,47
2022-09-01,45
2022-09-02,47
2022-09-03,35
2022-09-04,32
2022-09-05,38
2022-09-06,43
2022-09-07,40
2022-09-08,60
2022-09-09,43
2022-09-10,36
2022-09-11,31
2022-09-12,40
2022-09-13,42
2022-09-14,43
2022-09-15,39
2022-09-16,37
2022-09-17,29
2022-09-18,27
2022-09-19,42
2022-09-20,40
2022-09-21,47
2022-09-22,47
2022-09-23,41
2022-09-24,32
2022-09-25,26
2022-09-26,34
2022-09-27,39
