Time,nearpod
2023-04-26,50
2023-04-27,47
2023-04-28,39
2023-04-29,2
2023-04-30,2
2023-05-01,53
2023-05-02,45
2023-05-03,43
2023-05-04,43
2023-05-05,37
2023-05-06,2
2023-05-07,1
2023-05-08,49
2023-05-09,42
2023-05-10,38
2023-05-11,37
2023-05-12,29
2023-05-13,1
2023-05-14,2
2023-05-15,41
2023-05-16,34
2023-05-17,30
2023-05-18,29
2023-05-19,22
2023-05-20,1
2023-05-21,1
2023-05-22,29
2023-05-23,23
2023-05-24,21
2023-05-25,19
2023-05-26,13
2023-05-27,1
2023-05-28,1
2023-05-29,1
2023-05-30,17
2023-05-31,16
2023-06-01,13
2023-06-02,11
2023-06-03,1
2023-06-04,1
2023-06-05,13
2023-06-06,12
2023-06-07,11
2023-06-08,9
2023-06-09,7
2023-06-10,1
2023-06-11,1
2023-06-12,9
2023-06-13,8
2023-06-14,7
2023-06-15,7
2023-06-16,4
2023-06-17,1
2023-06-18,1
2023-06-19,3
2023-06-20,6
2023-06-21,6
2023-06-22,5
2023-06-23,3
2023-06-24,1
2023-06-25,1
2023-06-26,5
2023-06-27,5
2023-06-28,4
2023-06-29,3
2023-06-30,2
2023-07-01,1
2023-07-02,0
2023-07-03,2
2023-07-04,0
2023-07-05,3
2023-07-06,3
2023-07-07,2
2023-07-08,1
2023-07-09,0
2023-07-10,4
2023-07-11,4
2023-07-12,5
2023-07-13,3
2023-07-14,2
2023-07-15,1
2023-07-16,1
2023-07-17,4
2023-07-18,4
2023-07-19,3
2023-07-20,3
2023-07-21,2
2023-07-22,0
2023-07-23,0
2023-07-24,5
2023-07-25,5
2023-07-26,4
2023-07-27,4
2023-07-28,3
2023-07-29,1
2023-07-30,0
2023-07-31,7
2023-08-01,8
2023-08-02,9
2023-08-03,15
2023-08-04,15
2023-08-05,1
2023-08-06,2
2023-08-07,17
2023-08-08,23
2023-08-09,22
2023-08-10,28
2023-08-11,26
2023-08-12,1
2023-08-13,1
2023-08-14,42
2023-08-15,51
2023-08-16,54
2023-08-17,57
2023-08-18,45
2023-08-19,2
2023-08-20,3
2023-08-21,68
2023-08-22,74
2023-08-23,75
2023-08-24,74
2023-08-25,58
2023-08-26,2
2023-08-27,2
2023-08-28,80
2023-08-29,83
2023-08-30,76
2023-08-31,78
2023-09-01,54
2023-09-02,1
2023-09-03,1
2023-09-04,4
2023-09-05,90
2023-09-06,95
2023-09-07,92
2023-09-08,77
2023-09-09,2
2023-09-10,3
2023-09-11,96
2023-09-12,95
2023-09-13,100
2023-09-14,87
2023-09-15,67
2023-09-16,2
2023-09-17,3
2023-09-18,94
2023-09-19,90
2023-09-20,87
2023-09-21,83
2023-09-22,61
2023-09-23,2
2023-09-24,3
2023-09-25,71
2023-09-26,84
2023-09-27,77
2023-09-28,78
2023-09-29,62
2023-09-30,2
2023-10-01,3
2023-10-02,78
2023-10-03,76
2023-10-04,74
2023-10-05,67
2023-10-06,44
2023-10-07,2
2023-10-08,2
2023-10-09,38
2023-10-10,69
2023-10-11,60
2023-10-12,62
2023-10-13,40
2023-10-14,2
2023-10-15,2
2023-10-16,72
2023-10-17,80
2023-10-18,73
2023-10-19,66
2023-10-20,51
2023-10-21,1
2023-10-22,2
2023-10-23,75
2023-10-24,76
2023-10-25,68
2023-10-26,63
2023-10-27,45
2023-10-28,2
2023-10-29,2
2023-10-30,72
2023-10-31,58
2023-11-01,70
2023-11-02,72
2023-11-03,48
2023-11-04,2
2023-11-05,1
2023-11-06,74
2023-11-07,61
2023-11-08,67
2023-11-09,62
2023-11-10,33
2023-11-11,2
2023-11-12,2
2023-11-13,75
2023-11-14,67
2023-11-15,61
2023-11-16,56
2023-11-17,37
2023-11-18,1
2023-11-19,1
2023-11-20,24
2023-11-21,16
2023-11-22,4
2023-11-23,1
2023-11-24,1
2023-11-25,1
2023-11-26,2
2023-11-27,78
2023-11-28,73
2023-11-29,70
2023-11-30,64
2023-12-01,48
2023-12-02,2
2023-12-03,2
2023-12-04,64
2023-12-05,59
2023-12-06,57
2023-12-07,53
2023-12-08,43
2023-12-09,2
2023-12-10,1
2023-12-11,51
2023-12-12,48
2023-12-13,41
2023-12-14,38
2023-12-15,29
2023-12-16,1
2023-12-17,1
2023-12-18,28
2023-12-19,24
2023-12-20,17
2023-12-21,10
2023-12-22,4
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,1
2023-12-27,1
2023-12-28,1
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,15
2024-01-03,33
2024-01-04,46
2024-01-05,37
2024-01-06,2
2024-01-07,1
2024-01-08,62
2024-01-09,60
2024-01-10,73
2024-01-11,75
2024-01-12,53
2024-01-13,1
2024-01-14,1
2024-01-15,3
2024-01-16,39
2024-01-17,57
2024-01-18,67
2024-01-19,45
2024-01-20,2
