Time,nearpod
2022-01-01,1
2022-01-02,1
2022-01-03,19
2022-01-04,41
2022-01-05,43
2022-01-06,35
2022-01-07,26
2022-01-08,2
2022-01-09,2
2022-01-10,46
2022-01-11,52
2022-01-12,39
2022-01-13,40
2022-01-14,24
2022-01-15,2
2022-01-16,1
2022-01-17,4
2022-01-18,37
2022-01-19,42
2022-01-20,37
2022-01-21,28
2022-01-22,3
2022-01-23,2
2022-01-24,41
2022-01-25,36
2022-01-26,35
2022-01-27,38
2022-01-28,31
2022-01-29,2
2022-01-30,3
2022-01-31,45
2022-02-01,40
2022-02-02,40
2022-02-03,35
2022-02-04,24
2022-02-05,2
2022-02-06,2
2022-02-07,42
2022-02-08,42
2022-02-09,38
2022-02-10,32
2022-02-11,27
2022-02-12,2
2022-02-13,2
2022-02-14,31
2022-02-15,37
2022-02-16,33
2022-02-17,31
2022-02-18,19
2022-02-19,1
2022-02-20,1
2022-02-21,7
2022-02-22,28
2022-02-23,29
2022-02-24,24
2022-02-25,20
2022-02-26,3
2022-02-27,2
2022-02-28,35
2022-03-01,33
2022-03-02,29
2022-03-03,28
2022-03-04,23
2022-03-05,2
2022-03-06,2
2022-03-07,29
2022-03-08,28
2022-03-09,27
2022-03-10,25
2022-03-11,16
2022-03-12,2
2022-03-13,2
2022-03-14,19
2022-03-15,23
2022-03-16,20
2022-03-17,19
2022-03-18,12
2022-03-19,2
2022-03-20,2
2022-03-21,28
2022-03-22,34
2022-03-23,27
2022-03-24,26
2022-03-25,59
2022-03-26,2
2022-03-27,2
2022-03-28,78
2022-03-29,77
2022-03-30,26
2022-03-31,66
2022-04-01,54
2022-04-02,3
2022-04-03,3
2022-04-04,75
2022-04-05,64
2022-04-06,68
2022-04-07,64
2022-04-08,49
2022-04-09,2
2022-04-10,2
2022-04-11,79
2022-04-12,72
2022-04-13,61
2022-04-14,48
2022-04-15,16
2022-04-16,2
2022-04-17,1
2022-04-18,50
2022-04-19,68
2022-04-20,64
2022-04-21,61
2022-04-22,48
2022-04-23,2
2022-04-24,2
2022-04-25,80
2022-04-26,71
2022-04-27,67
2022-04-28,61
2022-04-29,50
2022-04-30,3
2022-05-01,3
2022-05-02,56
2022-05-03,56
2022-05-04,53
2022-05-05,55
2022-05-06,45
2022-05-07,2
2022-05-08,1
2022-05-09,56
2022-05-10,50
2022-05-11,45
2022-05-12,52
2022-05-13,36
2022-05-14,2
2022-05-15,3
2022-05-16,52
2022-05-17,43
2022-05-18,40
2022-05-19,36
2022-05-20,29
2022-05-21,2
2022-05-22,2
2022-05-23,36
2022-05-24,31
2022-05-25,25
2022-05-26,26
2022-05-27,16
2022-05-28,1
2022-05-29,1
2022-05-30,2
2022-05-31,23
2022-06-01,20
2022-06-02,19
2022-06-03,15
2022-06-04,1
2022-06-05,2
2022-06-06,18
2022-06-07,18
2022-06-08,16
2022-06-09,13
2022-06-10,10
2022-06-11,1
2022-06-12,1
2022-06-13,13
2022-06-14,13
2022-06-15,10
2022-06-16,9
2022-06-17,6
2022-06-18,1
2022-06-19,1
2022-06-20,5
2022-06-21,7
2022-06-22,8
2022-06-23,6
2022-06-24,4
2022-06-25,1
2022-06-26,1
2022-06-27,7
2022-06-28,5
2022-06-29,6
2022-06-30,4
2022-07-01,2
2022-07-02,1
2022-07-03,1
2022-07-04,1
2022-07-05,4
2022-07-06,4
2022-07-07,4
2022-07-08,3
2022-07-09,1
2022-07-10,1
2022-07-11,6
2022-07-12,5
2022-07-13,6
2022-07-14,6
2022-07-15,2
2022-07-16,1
2022-07-17,1
2022-07-18,4
2022-07-19,4
2022-07-20,5
2022-07-21,4
2022-07-22,3
2022-07-23,1
2022-07-24,1
2022-07-25,5
2022-07-26,6
2022-07-27,6
2022-07-28,5
2022-07-29,3
2022-07-30,1
2022-07-31,1
2022-08-01,8
2022-08-02,10
2022-08-03,15
2022-08-04,29
2022-08-05,29
2022-08-06,1
2022-08-07,1
2022-08-08,28
2022-08-09,33
2022-08-10,39
2022-08-11,42
2022-08-12,41
2022-08-13,2
2022-08-14,2
2022-08-15,57
2022-08-16,63
2022-08-17,67
2022-08-18,70
2022-08-19,58
2022-08-20,2
2022-08-21,3
2022-08-22,81
2022-08-23,86
2022-08-24,78
2022-08-25,82
2022-08-26,63
2022-08-27,2
2022-08-28,3
2022-08-29,85
2022-08-30,82
2022-08-31,88
2022-09-01,87
2022-09-02,60
2022-09-03,1
2022-09-04,1
2022-09-05,5
2022-09-06,86
2022-09-07,90
2022-09-08,89
2022-09-09,76
2022-09-10,3
2022-09-11,4
2022-09-12,99
2022-09-13,100
2022-09-14,93
2022-09-15,91
2022-09-16,73
2022-09-17,3
2022-09-18,4
2022-09-19,93
2022-09-20,97
2022-09-21,85
2022-09-22,85
2022-09-23,68
2022-09-24,3
2022-09-25,3
2022-09-26,77
2022-09-27,80
