Time,zoom
2023-12-22,41
2023-12-23,34
2023-12-24,30
2023-12-25,34
2023-12-26,36
2023-12-27,41
2023-12-28,42
2023-12-29,39
2023-12-30,34
2023-12-31,30
2024-01-01,30
2024-01-02,57
2024-01-03,70
2024-01-04,76
2024-01-05,66
2024-01-06,39
2024-01-07,37
2024-01-08,77
2024-01-09,90
2024-01-10,85
2024-01-11,84
2024-01-12,77
2024-01-13,41
2024-01-14,38
2024-01-15,55
2024-01-16,97
2024-01-17,94
2024-01-18,90
2024-01-19,84
2024-01-20,43
2024-01-21,41
2024-01-22,80
2024-01-23,87
2024-01-24,90
2024-01-25,88
2024-01-26,76
2024-01-27,41
2024-01-28,42
2024-01-29,77
2024-01-30,86
2024-01-31,87
2024-02-01,85
2024-02-02,74
2024-02-03,41
2024-02-04,42
2024-02-05,80
2024-02-06,89
2024-02-07,89
2024-02-08,86
2024-02-09,76
2024-02-10,42
2024-02-11,36
2024-02-12,73
2024-02-13,100
2024-02-14,83
2024-02-15,85
2024-02-16,77
2024-02-17,40
2024-02-18,40
2024-02-19,68
2024-02-20,84
2024-02-21,82
2024-02-22,85
2024-02-23,75
2024-02-24,40
2024-02-25,41
2024-02-26,80
2024-02-27,86
2024-02-28,84
2024-02-29,81
2024-03-01,73
2024-03-02,41
2024-03-03,43
2024-03-04,77
2024-03-05,77
2024-03-06,84
2024-03-07,84
2024-03-08,72
2024-03-09,39
2024-03-10,39
2024-03-11,73
2024-03-12,81
2024-03-13,84
2024-03-14,79
2024-03-15,65
2024-03-16,38
2024-03-17,42
2024-03-18,77
2024-03-19,81
2024-03-20,86
2024-03-21,80
2024-03-22,68
2024-03-23,37
2024-03-24,42
2024-03-25,73
2024-03-26,78
2024-03-27,78
2024-03-28,75
2024-03-29,57
2024-03-30,34
2024-03-31,32
2024-04-01,70
2024-04-02,76
2024-04-03,79
2024-04-04,76
2024-04-05,64
2024-04-06,37
2024-04-07,38
2024-04-08,71
2024-04-09,86
2024-04-10,82
2024-04-11,77
2024-04-12,67
2024-04-13,38
2024-04-14,43
2024-04-15,74
2024-04-16,82
2024-04-17,81
2024-04-18,82
2024-04-19,67
2024-04-20,38
2024-04-21,39
2024-04-22,79
2024-04-23,79
2024-04-24,81
2024-04-25,74
2024-04-26,70
2024-04-27,36
2024-04-28,38
2024-04-29,72
2024-04-30,76
2024-05-01,75
2024-05-02,74
2024-05-03,66
2024-05-04,34
2024-05-05,37
2024-05-06,76
2024-05-07,74
2024-05-08,75
2024-05-09,74
2024-05-10,61
2024-05-11,35
2024-05-12,37
2024-05-13,71
2024-05-14,81
2024-05-15,76
2024-05-16,73
2024-05-17,62
2024-05-18,37
2024-05-19,40
2024-05-20,72
2024-05-21,72
2024-05-22,76
2024-05-23,75
2024-05-24,57
2024-05-25,32
2024-05-26,33
2024-05-27,37
2024-05-28,70
2024-05-29,73
2024-05-30,78
2024-05-31,62
2024-06-01,36
2024-06-02,36
2024-06-03,71
2024-06-04,75
2024-06-05,76
2024-06-06,78
2024-06-07,65
2024-06-08,35
2024-06-09,36
2024-06-10,72
2024-06-11,77
2024-06-12,74
2024-06-13,73
2024-06-14,58
2024-06-15,33
2024-06-16,32
2024-06-17,71
2024-06-18,77
2024-06-19,59
2024-06-20,68
2024-06-21,60
2024-06-22,32
2024-06-23,36
2024-06-24,70
2024-06-25,76
2024-06-26,77
2024-06-27,72
2024-06-28,60
2024-06-29,34
2024-06-30,36
2024-07-01,65
2024-07-02,68
2024-07-03,64
2024-07-04,33
2024-07-05,38
2024-07-06,32
2024-07-07,33
2024-07-08,67
2024-07-09,71
2024-07-10,75
2024-07-11,71
2024-07-12,60
2024-07-13,32
2024-07-14,35
2024-07-15,63
2024-07-16,72
2024-07-17,74
2024-07-18,70
2024-07-19,58
2024-07-20,33
2024-07-21,34
2024-07-22,78
2024-07-23,75
2024-07-24,73
2024-07-25,74
2024-07-26,64
2024-07-27,35
2024-07-28,36
2024-07-29,70
2024-07-30,77
2024-07-31,72
2024-08-01,66
2024-08-02,58
2024-08-03,36
2024-08-04,37
2024-08-05,70
2024-08-06,75
2024-08-07,75
2024-08-08,69
2024-08-09,60
2024-08-10,33
2024-08-11,37
2024-08-12,71
2024-08-13,73
2024-08-14,79
2024-08-15,74
2024-08-16,65
2024-08-17,36
2024-08-18,38
2024-08-19,73
2024-08-20,78
2024-08-21,77
2024-08-22,78
2024-08-23,64
2024-08-24,36
2024-08-25,40
2024-08-26,80
2024-08-27,80
2024-08-28,80
2024-08-29,78
2024-08-30,61
2024-08-31,35
2024-09-01,34
2024-09-02,35
2024-09-03,79
2024-09-04,83
2024-09-05,81
2024-09-06,66
2024-09-07,38
2024-09-08,39
2024-09-09,78
2024-09-10,79
2024-09-11,80
2024-09-12,82
2024-09-13,68
2024-09-14,37
2024-09-15,37
2024-09-16,72
