Time,zoom
2022-01-01,31
2022-01-02,36
2022-01-03,63
2022-01-04,92
2022-01-05,92
2022-01-06,73
2022-01-07,80
2022-01-08,48
2022-01-09,50
2022-01-10,87
2022-01-11,100
2022-01-12,100
2022-01-13,98
2022-01-14,68
2022-01-15,50
2022-01-16,42
2022-01-17,53
2022-01-18,87
2022-01-19,98
2022-01-20,93
2022-01-21,80
2022-01-22,46
2022-01-23,48
2022-01-24,99
2022-01-25,82
2022-01-26,84
2022-01-27,86
2022-01-28,81
2022-01-29,53
2022-01-30,50
2022-01-31,77
2022-02-01,89
2022-02-02,90
2022-02-03,94
2022-02-04,79
2022-02-05,51
2022-02-06,48
2022-02-07,76
2022-02-08,90
2022-02-09,81
2022-02-10,73
2022-02-11,71
2022-02-12,45
2022-02-13,42
2022-02-14,60
2022-02-15,81
2022-02-16,83
2022-02-17,84
2022-02-18,67
2022-02-19,44
2022-02-20,45
2022-02-21,58
2022-02-22,80
2022-02-23,78
2022-02-24,73
2022-02-25,63
2022-02-26,45
2022-02-27,42
2022-02-28,71
2022-03-01,73
2022-03-02,71
2022-03-03,71
2022-03-04,62
2022-03-05,44
2022-03-06,40
2022-03-07,65
2022-03-08,70
2022-03-09,74
2022-03-10,72
2022-03-11,62
2022-03-12,40
2022-03-13,40
2022-03-14,61
2022-03-15,68
2022-03-16,68
2022-03-17,67
2022-03-18,54
2022-03-19,37
2022-03-20,38
2022-03-21,62
2022-03-22,70
2022-03-23,69
2022-03-24,67
2022-03-25,61
2022-03-26,40
2022-03-27,39
2022-03-28,71
2022-03-29,72
2022-03-30,66
2022-03-31,71
2022-04-01,61
2022-04-02,40
2022-04-03,40
2022-04-04,70
2022-04-05,75
2022-04-06,76
2022-04-07,71
2022-04-08,59
2022-04-09,40
2022-04-10,40
2022-04-11,71
2022-04-12,74
2022-04-13,77
2022-04-14,72
2022-04-15,56
2022-04-16,37
2022-04-17,32
2022-04-18,65
2022-04-19,74
2022-04-20,77
2022-04-21,73
2022-04-22,61
2022-04-23,42
2022-04-24,39
2022-04-25,72
2022-04-26,73
2022-04-27,73
2022-04-28,75
2022-04-29,58
2022-04-30,38
2022-05-01,38
2022-05-02,66
2022-05-03,71
2022-05-04,72
2022-05-05,74
2022-05-06,61
2022-05-07,38
2022-05-08,33
2022-05-09,68
2022-05-10,73
2022-05-11,72
2022-05-12,69
2022-05-13,59
2022-05-14,35
2022-05-15,36
2022-05-16,67
2022-05-17,72
2022-05-18,71
2022-05-19,69
2022-05-20,58
2022-05-21,34
2022-05-22,34
2022-05-23,70
2022-05-24,71
2022-05-25,69
2022-05-26,66
2022-05-27,54
2022-05-28,29
2022-05-29,28
2022-05-30,28
2022-05-31,65
2022-06-01,69
2022-06-02,66
2022-06-03,54
2022-06-04,31
2022-06-05,34
2022-06-06,67
2022-06-07,73
2022-06-08,70
2022-06-09,68
2022-06-10,54
2022-06-11,32
2022-06-12,31
2022-06-13,63
2022-06-14,67
2022-06-15,68
2022-06-16,66
2022-06-17,52
2022-06-18,31
2022-06-19,27
2022-06-20,51
2022-06-21,81
2022-06-22,69
2022-06-23,67
2022-06-24,54
2022-06-25,29
2022-06-26,29
2022-06-27,65
2022-06-28,61
2022-06-29,65
2022-06-30,60
2022-07-01,47
2022-07-02,25
2022-07-03,24
2022-07-04,25
2022-07-05,55
2022-07-06,64
2022-07-07,62
2022-07-08,53
2022-07-09,27
2022-07-10,31
2022-07-11,66
2022-07-12,67
2022-07-13,67
2022-07-14,66
2022-07-15,50
2022-07-16,30
2022-07-17,34
2022-07-18,61
2022-07-19,69
2022-07-20,70
2022-07-21,65
2022-07-22,52
2022-07-23,29
2022-07-24,30
2022-07-25,63
2022-07-26,70
2022-07-27,65
2022-07-28,66
2022-07-29,50
2022-07-30,28
2022-07-31,29
2022-08-01,59
2022-08-02,66
2022-08-03,66
2022-08-04,62
2022-08-05,53
2022-08-06,29
2022-08-07,30
2022-08-08,62
2022-08-09,65
2022-08-10,68
2022-08-11,66
2022-08-12,55
2022-08-13,29
2022-08-14,30
2022-08-15,63
2022-08-16,70
2022-08-17,68
2022-08-18,67
2022-08-19,55
2022-08-20,32
2022-08-21,35
2022-08-22,66
2022-08-23,77
2022-08-24,73
2022-08-25,70
2022-08-26,56
2022-08-27,33
2022-08-28,34
2022-08-29,66
2022-08-30,72
2022-08-31,70
2022-09-01,69
2022-09-02,56
2022-09-03,25
2022-09-04,28
2022-09-05,32
2022-09-06,70
2022-09-07,70
2022-09-08,69
2022-09-09,60
2022-09-10,33
2022-09-11,34
2022-09-12,70
2022-09-13,74
2022-09-14,75
2022-09-15,93
2022-09-16,58
2022-09-17,30
2022-09-18,32
2022-09-19,68
2022-09-20,72
2022-09-21,73
2022-09-22,71
2022-09-23,58
2022-09-24,34
2022-09-25,32
2022-09-26,64
2022-09-27,68
