Time,candy montgomery
2023-12-22,34
2023-12-23,33
2023-12-24,30
2023-12-25,14
2023-12-26,44
2023-12-27,35
2023-12-28,35
2023-12-29,31
2023-12-30,45
2023-12-31,54
2024-01-01,43
2024-01-02,48
2024-01-03,54
2024-01-04,44
2024-01-05,44
2024-01-06,67
2024-01-07,75
2024-01-08,55
2024-01-09,43
2024-01-10,48
2024-01-11,35
2024-01-12,30
2024-01-13,41
2024-01-14,58
2024-01-15,61
2024-01-16,50
2024-01-17,47
2024-01-18,34
2024-01-19,35
2024-01-20,31
2024-01-21,48
2024-01-22,31
2024-01-23,24
2024-01-24,27
2024-01-25,20
2024-01-26,17
2024-01-27,26
2024-01-28,33
2024-01-29,31
2024-01-30,58
2024-01-31,38
2024-02-01,26
2024-02-02,20
2024-02-03,24
2024-02-04,44
2024-02-05,29
2024-02-06,25
2024-02-07,23
2024-02-08,21
2024-02-09,19
2024-02-10,23
2024-02-11,35
2024-02-12,25
2024-02-13,17
2024-02-14,13
2024-02-15,13
2024-02-16,16
2024-02-17,22
2024-02-18,25
2024-02-19,33
2024-02-20,17
2024-02-21,21
2024-02-22,12
2024-02-23,14
2024-02-24,0
2024-02-25,24
2024-02-26,26
2024-02-27,16
2024-02-28,17
2024-02-29,13
2024-03-01,0
2024-03-02,20
2024-03-03,25
2024-03-04,23
2024-03-05,26
2024-03-06,19
2024-03-07,14
2024-03-08,13
2024-03-09,31
2024-03-10,22
2024-03-11,16
2024-03-12,0
2024-03-13,16
2024-03-14,14
2024-03-15,17
2024-03-16,15
2024-03-17,22
2024-03-18,11
2024-03-19,10
2024-03-20,16
2024-03-21,14
2024-03-22,0
2024-03-23,14
2024-03-24,18
2024-03-25,17
2024-03-26,11
2024-03-27,12
2024-03-28,0
2024-03-29,0
2024-03-30,13
2024-03-31,18
2024-04-01,14
2024-04-02,0
2024-04-03,13
2024-04-04,11
2024-04-05,11
2024-04-06,18
2024-04-07,15
2024-04-08,12
2024-04-09,15
2024-04-10,11
2024-04-11,10
2024-04-12,0
2024-04-13,12
2024-04-14,0
2024-04-15,0
2024-04-16,11
2024-04-17,21
2024-04-18,0
2024-04-19,11
2024-04-20,0
2024-04-21,23
2024-04-22,13
2024-04-23,15
2024-04-24,12
2024-04-25,0
2024-04-26,0
2024-04-27,16
2024-04-28,17
2024-04-29,20
2024-04-30,11
2024-05-01,13
2024-05-02,0
2024-05-03,11
2024-05-04,0
2024-05-05,13
2024-05-06,0
2024-05-07,12
2024-05-08,13
2024-05-09,14
2024-05-10,12
2024-05-11,0
2024-05-12,15
2024-05-13,11
2024-05-14,13
2024-05-15,15
2024-05-16,12
2024-05-17,0
2024-05-18,21
2024-05-19,0
2024-05-20,14
2024-05-21,0
2024-05-22,13
2024-05-23,0
2024-05-24,17
2024-05-25,18
2024-05-26,20
2024-05-27,21
2024-05-28,17
2024-05-29,16
2024-05-30,37
2024-05-31,67
2024-06-01,100
2024-06-02,68
2024-06-03,51
2024-06-04,32
2024-06-05,20
2024-06-06,13
2024-06-07,20
2024-06-08,16
2024-06-09,25
2024-06-10,22
2024-06-11,37
2024-06-12,27
2024-06-13,20
2024-06-14,20
2024-06-15,16
2024-06-16,20
2024-06-17,0
2024-06-18,21
2024-06-19,24
2024-06-20,27
2024-06-21,12
2024-06-22,20
2024-06-23,17
2024-06-24,13
2024-06-25,13
2024-06-26,14
2024-06-27,16
2024-06-28,0
2024-06-29,15
2024-06-30,26
2024-07-01,15
2024-07-02,0
2024-07-03,12
2024-07-04,13
2024-07-05,18
2024-07-06,20
2024-07-07,37
2024-07-08,15
2024-07-09,0
2024-07-10,16
2024-07-11,14
2024-07-12,0
2024-07-13,17
2024-07-14,15
2024-07-15,19
2024-07-16,16
2024-07-17,16
2024-07-18,0
2024-07-19,0
2024-07-20,0
2024-07-21,17
2024-07-22,12
2024-07-23,17
2024-07-24,12
2024-07-25,14
2024-07-26,15
2024-07-27,13
2024-07-28,0
2024-07-29,18
2024-07-30,12
2024-07-31,13
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,18
2024-08-05,13
2024-08-06,0
2024-08-07,0
2024-08-08,14
2024-08-09,12
2024-08-10,13
2024-08-11,16
2024-08-12,0
2024-08-13,14
2024-08-14,0
2024-08-15,11
2024-08-16,0
2024-08-17,0
2024-08-18,17
2024-08-19,14
2024-08-20,0
2024-08-21,22
2024-08-22,16
2024-08-23,0
2024-08-24,0
2024-08-25,0
2024-08-26,0
2024-08-27,11
2024-08-28,17
2024-08-29,0
2024-08-30,14
2024-08-31,0
2024-09-01,0
2024-09-02,0
2024-09-03,12
2024-09-04,0
2024-09-05,13
2024-09-06,0
2024-09-07,0
2024-09-08,26
2024-09-09,11
2024-09-10,0
2024-09-11,0
2024-09-12,0
2024-09-13,12
2024-09-14,16
2024-09-15,12
2024-09-16,0
