Time,biden
2022-01-01,11.0
2022-01-02,9.0
2022-01-03,9.0
2022-01-04,16.0
2022-01-05,15.0
2022-01-06,21.0
2022-01-07,19.0
2022-01-08,14.0
2022-01-09,10.0
2022-01-10,10.0
2022-01-11,15.0
2022-01-12,17.0
2022-01-13,23.0
2022-01-14,17.0
2022-01-15,14.0
2022-01-16,12.0
2022-01-17,11.0
2022-01-18,16.0
2022-01-19,25.0
2022-01-20,26.0
2022-01-21,18.0
2022-01-22,14.0
2022-01-23,14.0
2022-01-24,23.0
2022-01-25,34.0
2022-01-26,22.0
2022-01-27,20.0
2022-01-28,23.0
2022-01-29,16.0
2022-01-30,13.0
2022-01-31,13.0
2022-02-01,12.0
2022-02-02,13.0
2022-02-03,16.0
2022-02-04,15.0
2022-02-05,11.0
2022-02-06,9.0
2022-02-07,12.0
2022-02-08,18.0
2022-02-09,44.0
2022-02-10,31.0
2022-02-11,30.0
2022-02-12,23.0
2022-02-13,18.0
2022-02-14,13.0
2022-02-15,14.0
2022-02-16,13.0
2022-02-17,14.0
2022-02-18,16.0
2022-02-19,12.0
2022-02-20,11.0
2022-02-21,14.0
2022-02-22,25.0
2022-02-23,18.0
2022-02-24,93.0
2022-02-25,45.0
2022-02-26,32.0
2022-02-27,27.0
2022-02-28,24.0
2022-03-01,32.0
2022-03-02,100.0
2022-03-03,32.0
2022-03-04,24.0
2022-03-05,21.0
2022-03-06,20.0
2022-03-07,23.0
2022-03-08,40.0
2022-03-09,36.0
2022-03-10,28.0
2022-03-11,24.0
2022-03-12,21.0
2022-03-13,19.0
2022-03-14,16.0
2022-03-15,19.0
2022-03-16,24.0
2022-03-17,21.0
2022-03-18,24.0
2022-03-19,19.0
2022-03-20,16.0
2022-03-21,19.0
2022-03-22,20.0
2022-03-23,19.0
2022-03-24,22.0
2022-03-25,22.0
2022-03-26,27.0
2022-03-27,24.0
2022-03-28,21.0
2022-03-29,21.0
2022-03-30,23.0
2022-03-31,24.0
2022-04-01,19.0
2022-04-02,18.0
2022-04-03,14.0
2022-04-04,17.0
2022-04-05,18.0
2022-04-06,22.0
2022-04-07,19.0
2022-04-08,16.0
2022-04-09,14.0
2022-04-10,14.0
2022-04-11,17.0
2022-04-12,19.0
2022-04-13,19.0
2022-04-14,17.0
2022-04-15,19.0
2022-04-16,18.0
2022-04-17,15.0
2022-04-18,15.0
2022-04-19,19.0
2022-04-20,16.0
2022-04-21,17.0
2022-04-22,17.0
2022-04-23,13.0
2022-04-24,13.0
2022-04-25,14.0
2022-04-26,14.0
2022-04-27,16.0
2022-04-28,17.0
2022-04-29,17.0
2022-04-30,13.0
2022-05-01,15.0
2022-05-02,14.0
2022-05-03,15.0
2022-05-04,14.0
2022-05-05,15.0
2022-05-06,15.0
2022-05-07,13.0
2022-05-08,12.0
2022-05-09,16.0
2022-05-10,18.0
2022-05-11,17.0
2022-05-12,16.0
2022-05-13,14.0
2022-05-14,12.0
2022-05-15,11.0
2022-05-16,13.0
2022-05-17,16.0
2022-05-18,17.0
2022-05-19,18.0
2022-05-20,16.0
2022-05-21,14.0
2022-05-22,13.0
2022-05-23,17.0
2022-05-24,18.0
2022-05-25,27.0
2022-05-26,14.0
2022-05-27,13.0
2022-05-28,13.0
2022-05-29,13.0
2022-05-30,14.0
2022-05-31,17.0
2022-06-01,19.0
2022-06-02,21.0
2022-06-03,22.0
2022-06-04,16.0
2022-06-05,15.0
2022-06-06,16.0
2022-06-07,18.0
2022-06-08,16.0
2022-06-09,21.0
2022-06-10,20.0
2022-06-11,16.0
2022-06-12,16.0
2022-06-13,16.0
2022-06-14,20.0
2022-06-15,19.0
2022-06-16,20.0
2022-06-17,17.0
2022-06-18,56.0
2022-06-19,53.0
2022-06-20,33.0
2022-06-21,25.0
2022-06-22,22.0
2022-06-23,19.0
2022-06-24,30.0
2022-06-25,23.0
2022-06-26,17.0
2022-06-27,15.0
2022-06-28,16.0
2022-06-29,15.0
2022-06-30,19.0
2022-07-01,16.0
2022-07-02,13.0
2022-07-03,14.0
2022-07-04,16.0
2022-07-05,16.0
2022-07-06,17.0
2022-07-07,20.0
2022-07-08,39.0
2022-07-09,30.0
2022-07-10,25.0
2022-07-11,43.0
2022-07-12,46.0
2022-07-13,40.0
2022-07-14,31.0
2022-07-15,23.0
2022-07-16,22.0
2022-07-17,19.0
2022-07-18,17.0
2022-07-19,18.0
2022-07-20,24.0
2022-07-21,84.0
2022-07-22,41.0
