Time,productive
2022-01-01,50.0
2022-01-02,47.0
2022-01-03,60.0
2022-01-04,84.0
2022-01-05,77.0
2022-01-06,57.0
2022-01-07,70.0
2022-01-08,53.0
2022-01-09,54.0
2022-01-10,78.0
2022-01-11,73.0
2022-01-12,74.0
2022-01-13,81.0
2022-01-14,56.0
2022-01-15,44.0
2022-01-16,44.0
2022-01-17,60.0
2022-01-18,64.0
2022-01-19,69.0
2022-01-20,71.0
2022-01-21,64.0
2022-01-22,49.0
2022-01-23,59.0
2022-01-24,100.0
2022-01-25,82.0
2022-01-26,64.0
2022-01-27,68.0
2022-01-28,71.0
2022-01-29,49.0
2022-01-30,50.0
2022-01-31,72.0
2022-02-01,64.0
2022-02-02,70.0
2022-02-03,74.0
2022-02-04,66.0
2022-02-05,46.0
2022-02-06,56.0
2022-02-07,76.0
2022-02-08,79.0
2022-02-09,72.0
2022-02-10,64.0
2022-02-11,61.0
2022-02-12,48.0
2022-02-13,50.0
2022-02-14,77.0
2022-02-15,77.0
2022-02-16,71.0
2022-02-17,77.0
2022-02-18,62.0
2022-02-19,53.0
2022-02-20,51.0
2022-02-21,65.0
2022-02-22,76.0
2022-02-23,80.0
2022-02-24,65.0
2022-02-25,50.0
2022-02-26,52.0
2022-02-27,54.0
2022-02-28,78.0
2022-03-01,73.0
2022-03-02,69.0
2022-03-03,77.0
2022-03-04,75.0
2022-03-05,45.0
2022-03-06,48.0
2022-03-07,74.0
2022-03-08,76.0
2022-03-09,63.0
2022-03-10,75.0
2022-03-11,62.0
2022-03-12,49.0
2022-03-13,51.0
2022-03-14,74.0
2022-03-15,61.0
2022-03-16,67.0
2022-03-17,70.0
2022-03-18,61.0
2022-03-19,48.0
2022-03-20,55.0
2022-03-21,70.0
2022-03-22,74.0
2022-03-23,68.0
2022-03-24,53.0
2022-03-25,70.0
2022-03-26,56.0
2022-03-27,56.0
2022-03-28,82.0
2022-03-29,82.0
2022-03-30,79.0
2022-03-31,81.0
2022-04-01,72.0
2022-04-02,56.0
2022-04-03,64.0
2022-04-04,93.0
2022-04-05,78.0
2022-04-06,77.0
2022-04-07,77.0
2022-04-08,69.0
2022-04-09,49.0
2022-04-10,60.0
2022-04-11,83.0
2022-04-12,85.0
2022-04-13,79.0
2022-04-14,74.0
2022-04-15,65.0
2022-04-16,53.0
2022-04-17,48.0
2022-04-18,84.0
2022-04-19,85.0
2022-04-20,76.0
2022-04-21,86.0
2022-04-22,73.0
2022-04-23,59.0
2022-04-24,62.0
2022-04-25,84.0
2022-04-26,86.0
2022-04-27,81.0
2022-04-28,81.0
2022-04-29,65.0
2022-04-30,59.0
2022-05-01,59.0
2022-05-02,88.0
2022-05-03,77.0
2022-05-04,83.0
2022-05-05,71.0
2022-05-06,74.0
2022-05-07,57.0
2022-05-08,46.0
2022-05-09,78.0
2022-05-10,70.0
2022-05-11,81.0
2022-05-12,65.0
2022-05-13,62.0
2022-05-14,45.0
2022-05-15,50.0
2022-05-16,66.0
2022-05-17,69.0
2022-05-18,56.0
2022-05-19,56.0
2022-05-20,56.0
2022-05-21,51.0
2022-05-22,45.0
2022-05-23,60.0
2022-05-24,70.0
2022-05-25,57.0
2022-05-26,58.0
2022-05-27,51.0
2022-05-28,36.0
2022-05-29,42.0
2022-05-30,40.0
2022-05-31,57.0
2022-06-01,58.0
2022-06-02,56.0
2022-06-03,53.0
2022-06-04,40.0
2022-06-05,48.0
2022-06-06,61.0
2022-06-07,56.0
2022-06-08,61.0
2022-06-09,63.0
2022-06-10,53.0
2022-06-11,46.0
2022-06-12,39.0
2022-06-13,57.0
2022-06-14,60.0
2022-06-15,55.0
2022-06-16,56.0
2022-06-17,48.0
2022-06-18,42.0
2022-06-19,45.0
2022-06-20,51.0
2022-06-21,61.0
2022-06-22,59.0
2022-06-23,60.0
2022-06-24,52.0
2022-06-25,38.0
2022-06-26,45.0
2022-06-27,59.0
2022-06-28,56.0
2022-06-29,59.0
2022-06-30,57.0
2022-07-01,45.0
2022-07-02,36.0
