Time,afloat
2022-01-01,36.0
2022-01-02,37.0
2022-01-03,36.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,27.0
2022-01-07,25.0
2022-01-08,41.0
2022-01-09,52.0
2022-01-10,27.0
2022-01-11,32.0
2022-01-12,35.0
2022-01-13,35.0
2022-01-14,0.0
2022-01-15,45.0
2022-01-16,36.0
2022-01-17,0.0
2022-01-18,31.0
2022-01-19,35.0
2022-01-20,36.0
2022-01-21,29.0
2022-01-22,59.0
2022-01-23,51.0
2022-01-24,29.0
2022-01-25,36.0
2022-01-26,22.0
2022-01-27,0.0
2022-01-28,35.0
2022-01-29,28.0
2022-01-30,30.0
2022-01-31,29.0
2022-02-01,49.0
2022-02-02,28.0
2022-02-03,38.0
2022-02-04,34.0
2022-02-05,33.0
2022-02-06,34.0
2022-02-07,38.0
2022-02-08,42.0
2022-02-09,29.0
2022-02-10,33.0
2022-02-11,40.0
2022-02-12,30.0
2022-02-13,23.0
2022-02-14,36.0
2022-02-15,40.0
2022-02-16,28.0
2022-02-17,30.0
2022-02-18,43.0
2022-02-19,29.0
2022-02-20,30.0
2022-02-21,42.0
2022-02-22,52.0
2022-02-23,57.0
2022-02-24,40.0
2022-02-25,43.0
2022-02-26,42.0
2022-02-27,26.0
2022-02-28,30.0
2022-03-01,64.0
2022-03-02,0.0
2022-03-03,49.0
2022-03-04,36.0
2022-03-05,52.0
2022-03-06,32.0
2022-03-07,43.0
2022-03-08,31.0
2022-03-09,64.0
2022-03-10,41.0
2022-03-11,26.0
2022-03-12,23.0
2022-03-13,28.0
2022-03-14,47.0
2022-03-15,40.0
2022-03-16,24.0
2022-03-17,53.0
2022-03-18,0.0
2022-03-19,37.0
2022-03-20,30.0
2022-03-21,23.0
2022-03-22,34.0
2022-03-23,38.0
2022-03-24,35.0
2022-03-25,34.0
2022-03-26,24.0
2022-03-27,50.0
2022-03-28,34.0
2022-03-29,43.0
2022-03-30,42.0
2022-03-31,54.0
2022-04-01,41.0
2022-04-02,35.0
2022-04-03,33.0
2022-04-04,40.0
2022-04-05,44.0
2022-04-06,47.0
2022-04-07,30.0
2022-04-08,46.0
2022-04-09,24.0
2022-04-10,31.0
2022-04-11,47.0
2022-04-12,39.0
2022-04-13,70.0
2022-04-14,48.0
2022-04-15,41.0
2022-04-16,35.0
2022-04-17,32.0
2022-04-18,38.0
2022-04-19,55.0
2022-04-20,22.0
2022-04-21,47.0
2022-04-22,27.0
2022-04-23,35.0
2022-04-24,32.0
2022-04-25,49.0
2022-04-26,49.0
2022-04-27,59.0
2022-04-28,63.0
2022-04-29,58.0
2022-04-30,46.0
2022-05-01,36.0
2022-05-02,33.0
2022-05-03,31.0
2022-05-04,35.0
2022-05-05,45.0
2022-05-06,49.0
2022-05-07,57.0
2022-05-08,47.0
2022-05-09,30.0
2022-05-10,44.0
2022-05-11,38.0
2022-05-12,44.0
2022-05-13,41.0
2022-05-14,0.0
2022-05-15,40.0
2022-05-16,34.0
2022-05-17,29.0
2022-05-18,35.0
2022-05-19,40.0
2022-05-20,51.0
2022-05-21,35.0
