Time,tiktok
2022-01-01,87.0
2022-01-02,76.0
2022-01-03,74.0
2022-01-04,88.0
2022-01-05,76.0
2022-01-06,67.0
2022-01-07,78.0
2022-01-08,91.0
2022-01-09,84.0
2022-01-10,70.0
2022-01-11,72.0
2022-01-12,73.0
2022-01-13,73.0
2022-01-14,63.0
2022-01-15,83.0
2022-01-16,78.0
2022-01-17,77.0
2022-01-18,66.0
2022-01-19,66.0
2022-01-20,68.0
2022-01-21,72.0
2022-01-22,90.0
2022-01-23,89.0
2022-01-24,90.0
2022-01-25,66.0
2022-01-26,68.0
2022-01-27,68.0
2022-01-28,75.0
2022-01-29,83.0
2022-01-30,92.0
2022-01-31,71.0
2022-02-01,69.0
2022-02-02,71.0
2022-02-03,78.0
2022-02-04,84.0
2022-02-05,88.0
2022-02-06,85.0
2022-02-07,73.0
2022-02-08,72.0
2022-02-09,73.0
2022-02-10,63.0
2022-02-11,73.0
2022-02-12,84.0
2022-02-13,79.0
2022-02-14,62.0
2022-02-15,65.0
2022-02-16,69.0
2022-02-17,75.0
2022-02-18,77.0
2022-02-19,83.0
2022-02-20,84.0
2022-02-21,78.0
2022-02-22,75.0
2022-02-23,73.0
2022-02-24,68.0
2022-02-25,71.0
2022-02-26,82.0
2022-02-27,80.0
2022-02-28,68.0
2022-03-01,70.0
2022-03-02,73.0
2022-03-03,70.0
2022-03-04,72.0
2022-03-05,77.0
2022-03-06,83.0
2022-03-07,72.0
2022-03-08,67.0
2022-03-09,69.0
2022-03-10,84.0
2022-03-11,68.0
2022-03-12,82.0
2022-03-13,85.0
2022-03-14,73.0
2022-03-15,72.0
2022-03-16,71.0
2022-03-17,72.0
2022-03-18,74.0
2022-03-19,80.0
2022-03-20,80.0
2022-03-21,68.0
2022-03-22,69.0
2022-03-23,72.0
2022-03-24,71.0
2022-03-25,76.0
2022-03-26,78.0
2022-03-27,85.0
2022-03-28,69.0
2022-03-29,72.0
2022-03-30,71.0
2022-03-31,84.0
2022-04-01,79.0
2022-04-02,80.0
2022-04-03,80.0
2022-04-04,72.0
2022-04-05,70.0
2022-04-06,71.0
2022-04-07,72.0
2022-04-08,73.0
2022-04-09,81.0
2022-04-10,83.0
2022-04-11,75.0
2022-04-12,74.0
2022-04-13,74.0
2022-04-14,79.0
2022-04-15,82.0
2022-04-16,83.0
2022-04-17,84.0
2022-04-18,80.0
2022-04-19,77.0
2022-04-20,75.0
2022-04-21,74.0
2022-04-22,72.0
2022-04-23,80.0
2022-04-24,87.0
2022-04-25,75.0
2022-04-26,74.0
2022-04-27,73.0
2022-04-28,69.0
2022-04-29,69.0
2022-04-30,80.0
2022-05-01,82.0
2022-05-02,70.0
2022-05-03,68.0
2022-05-04,69.0
2022-05-05,71.0
2022-05-06,77.0
2022-05-07,87.0
2022-05-08,86.0
2022-05-09,71.0
2022-05-10,73.0
2022-05-11,72.0
2022-05-12,72.0
2022-05-13,73.0
2022-05-14,79.0
2022-05-15,78.0
2022-05-16,69.0
2022-05-17,67.0
2022-05-18,72.0
2022-05-19,72.0
2022-05-20,73.0
2022-05-21,80.0
2022-05-22,79.0
2022-05-23,72.0
2022-05-24,78.0
2022-05-25,71.0
2022-05-26,74.0
2022-05-27,78.0
2022-05-28,78.0
2022-05-29,73.0
2022-05-30,83.0
2022-05-31,68.0
2022-06-01,73.0
2022-06-02,69.0
2022-06-03,74.0
2022-06-04,78.0
2022-06-05,80.0
2022-06-06,69.0
2022-06-07,72.0
2022-06-08,78.0
2022-06-09,76.0
2022-06-10,74.0
2022-06-11,78.0
2022-06-12,81.0
2022-06-13,74.0
2022-06-14,77.0
2022-06-15,79.0
2022-06-16,77.0
2022-06-17,76.0
2022-06-18,80.0
2022-06-19,83.0
2022-06-20,83.0
2022-06-21,77.0
2022-06-22,81.0
2022-06-23,83.0
2022-06-24,78.0
2022-06-25,83.0
2022-06-26,83.0
2022-06-27,78.0
2022-06-28,79.0
2022-06-29,85.0
2022-06-30,83.0
2022-07-01,84.0
2022-07-02,80.0
2022-07-03,83.0
2022-07-04,89.0
2022-07-05,80.0
2022-07-06,81.0
2022-07-07,84.0
2022-07-08,87.0
2022-07-09,100.0
2022-07-10,98.0
2022-07-11,88.0
2022-07-12,88.0
2022-07-13,87.0
2022-07-14,86.0
2022-07-15,84.0
2022-07-16,81.0
2022-07-17,88.0
2022-07-18,81.0
2022-07-19,82.0
2022-07-20,86.0
2022-07-21,83.0
2022-07-22,85.0
2022-07-23,88.0
2022-07-24,89.0
2022-07-25,86.0
2022-07-26,86.0
2022-07-27,85.0
2022-07-28,85.0
2022-07-29,84.0
2022-07-30,79.0
2022-07-31,86.0
2022-08-01,77.0
2022-08-02,83.0
2022-08-03,83.0
2022-08-04,82.0
2022-08-05,82.0
2022-08-06,87.0
2022-08-07,85.0
2022-08-08,82.0
2022-08-09,81.0
2022-08-10,81.0
2022-08-11,81.0
2022-08-12,79.0
2022-08-13,83.0
2022-08-14,90.0
2022-08-15,82.0
2022-08-16,81.0
2022-08-17,80.0
2022-08-18,78.0
2022-08-19,81.0
2022-08-20,88.0
2022-08-21,89.0
2022-08-22,74.0
2022-08-23,76.0
2022-08-24,77.0
2022-08-25,78.0
2022-08-26,78.0
2022-08-27,81.0
2022-08-28,87.0
2022-08-29,72.29677601013657
2022-08-30,71.5987610868647
2022-08-31,75.19280585668028
2022-09-01,73.99479093340841
2022-09-02,76.89082077995214
2022-09-03,83.88089539631142
2022-09-04,85.07891031958329
2022-09-05,80.9848655497677
2022-09-06,72.79677601013657
2022-09-07,70.5987610868647
2022-09-08,71.5987610868647
2022-09-09,69.90074616359286
2022-09-10,76.89082077995214
2022-09-11,72.79677601013657
2022-09-12,67.00471631704914
2022-09-13,67.00471631704914
