Time,thrifty
2022-01-01,82.0
2022-01-02,71.0
2022-01-03,92.0
2022-01-04,100.0
2022-01-05,90.0
2022-01-06,77.0
2022-01-07,83.0
2022-01-08,75.0
2022-01-09,71.0
2022-01-10,79.0
2022-01-11,89.0
2022-01-12,78.0
2022-01-13,95.0
2022-01-14,69.0
2022-01-15,75.0
2022-01-16,64.0
2022-01-17,71.0
2022-01-18,72.0
2022-01-19,67.0
2022-01-20,70.0
2022-01-21,70.0
2022-01-22,76.0
2022-01-23,71.0
2022-01-24,74.0
2022-01-25,71.0
2022-01-26,67.0
2022-01-27,77.0
2022-01-28,70.0
2022-01-29,72.0
2022-01-30,70.0
2022-01-31,69.0
2022-02-01,81.0
2022-02-02,71.0
2022-02-03,74.0
2022-02-04,78.0
2022-02-05,86.0
2022-02-06,74.0
2022-02-07,85.0
2022-02-08,81.0
2022-02-09,75.0
2022-02-10,64.0
2022-02-11,79.0
2022-02-12,85.0
2022-02-13,66.0
2022-02-14,73.0
2022-02-15,84.0
2022-02-16,86.0
2022-02-17,84.0
2022-02-18,84.0
2022-02-19,90.0
2022-02-20,88.0
2022-02-21,100.0
2022-02-22,80.0
2022-02-23,83.0
2022-02-24,89.0
2022-02-25,87.0
2022-02-26,88.0
2022-02-27,83.0
2022-02-28,91.0
2022-03-01,78.0
2022-03-02,78.0
2022-03-03,87.0
2022-03-04,88.0
2022-03-05,99.0
2022-03-06,92.0
2022-03-07,87.0
2022-03-08,90.0
2022-03-09,97.0
2022-03-10,92.0
2022-03-11,98.0
2022-03-12,96.0
2022-03-13,90.0
2022-03-14,90.0
2022-03-15,87.0
2022-03-16,84.0
2022-03-17,89.0
2022-03-18,86.0
2022-03-19,90.0
2022-03-20,80.0
2022-03-21,98.0
2022-03-22,88.0
2022-03-23,74.0
2022-03-24,86.0
2022-03-25,82.0
2022-03-26,81.0
2022-03-27,82.0
2022-03-28,74.0
2022-03-29,73.0
2022-03-30,79.0
2022-03-31,86.0
2022-04-01,91.0
2022-04-02,98.0
2022-04-03,99.0
2022-04-04,82.0
2022-04-05,78.0
2022-04-06,77.0
2022-04-07,83.0
2022-04-08,93.0
2022-04-09,77.0
2022-04-10,80.0
2022-04-11,79.0
2022-04-12,77.0
2022-04-13,76.0
2022-04-14,80.0
2022-04-15,85.0
2022-04-16,83.0
2022-04-17,76.0
2022-04-18,84.0
2022-04-19,84.0
2022-04-20,77.0
2022-04-21,76.0
2022-04-22,78.0
2022-04-23,81.0
2022-04-24,81.0
2022-04-25,77.0
2022-04-26,78.0
2022-04-27,76.0
2022-04-28,77.0
2022-04-29,80.0
2022-04-30,83.0
2022-05-01,74.0
2022-05-02,82.0
2022-05-03,83.0
2022-05-04,75.0
2022-05-05,74.0
2022-05-06,72.0
2022-05-07,82.0
2022-05-08,69.0
2022-05-09,82.0
2022-05-10,77.0
2022-05-11,78.0
2022-05-12,71.0
2022-05-13,86.0
2022-05-14,69.0
2022-05-15,75.0
2022-05-16,72.0
2022-05-17,69.0
2022-05-18,78.0
2022-05-19,76.0
2022-05-20,76.0
2022-05-21,81.0
2022-05-22,74.0
2022-05-23,84.0
2022-05-24,77.0
2022-05-25,72.0
2022-05-26,76.0
2022-05-27,85.0
2022-05-28,83.0
2022-05-29,77.0
2022-05-30,81.0
2022-05-31,79.0
2022-06-01,86.0
2022-06-02,82.0
2022-06-03,73.0
2022-06-04,81.0
2022-06-05,75.0
2022-06-06,81.0
2022-06-07,81.0
2022-06-08,81.0
2022-06-09,97.0
2022-06-10,99.0
2022-06-11,89.0
2022-06-12,96.0
2022-06-13,90.0
2022-06-14,88.0
2022-06-15,89.0
2022-06-16,85.0
2022-06-17,95.0
2022-06-18,95.0
2022-06-19,82.0
2022-06-20,90.0
2022-06-21,79.0
2022-06-22,86.0
2022-06-23,88.0
2022-06-24,87.0
2022-06-25,85.0
2022-06-26,75.0
2022-06-27,84.0
2022-06-28,94.0
2022-06-29,86.0
2022-06-30,90.0
2022-07-01,96.0
2022-07-02,91.0
2022-07-03,89.0
2022-07-04,86.0
2022-07-05,88.0
2022-07-06,86.0
2022-07-07,82.0
2022-07-08,89.0
2022-07-09,88.0
2022-07-10,88.0
2022-07-11,77.0
2022-07-12,81.0
2022-07-13,87.0
2022-07-14,82.0
2022-07-15,89.0
2022-07-16,100.0
2022-07-17,94.0
2022-07-18,95.0
2022-07-19,100.0
2022-07-20,87.0
2022-07-21,87.0
2022-07-22,91.0
2022-07-23,88.0
2022-07-24,92.0
2022-07-25,88.0
2022-07-26,91.0
2022-07-27,91.0
2022-07-28,87.0
2022-07-29,97.0
2022-07-30,86.0
2022-07-31,73.0
2022-08-01,81.0
2022-08-02,97.0
2022-08-03,88.0
2022-08-04,86.0
2022-08-05,90.0
2022-08-06,85.0
2022-08-07,86.0
2022-08-08,81.0
2022-08-09,78.0
2022-08-10,83.0
2022-08-11,81.0
2022-08-12,91.0
2022-08-13,84.0
2022-08-14,75.0
2022-08-15,83.0
2022-08-16,84.0
2022-08-17,84.0
2022-08-18,78.0
2022-08-19,82.0
2022-08-20,83.0
2022-08-21,80.0
2022-08-22,79.0
2022-08-23,83.0
2022-08-24,81.0
2022-08-25,75.0
2022-08-26,85.0
2022-08-27,75.0
2022-08-28,72.0
2022-08-29,76.6492537313433
2022-08-30,70.96268656716418
2022-08-31,75.11194029850746
2022-09-01,73.03731343283582
2022-09-02,79.76119402985074
2022-09-03,78.22388059701493
2022-09-04,74.07462686567163
2022-09-05,80.29850746268656
2022-09-06,77.68656716417911
2022-09-07,78.22388059701493
2022-09-08,73.53731343283582
2022-09-09,82.87313432835822
2022-09-10,69.92537313432837
2022-09-11,66.81343283582089
2022-09-12,75.11194029850746
2022-09-13,78.22388059701493
2022-09-14,62.16417910447761
2022-09-15,74.07462686567163
2022-09-16,83.91044776119404
2022-09-17,70.96268656716418
2022-09-18,68.38805970149254
2022-09-19,76.1492537313433
2022-09-20,73.03731343283582
2022-09-21,72.0
2022-09-22,72.0
2022-09-23,73.53731343283582
2022-09-24,66.81343283582089
2022-09-25,63.70149253731343
2022-09-26,77.68656716417911
2022-09-27,69.85074626865672
2022-09-28,77.3731343283582
2022-09-29,70.92537313432835
2022-09-30,68.77611940298507
2022-10-01,78.44776119402985
2022-10-02,64.4776119402985
2022-10-03,68.77611940298507
2022-10-04,74.14925373134328
2022-10-05,80.59701492537313
2022-10-06,78.44776119402985
2022-10-07,77.3731343283582
2022-10-08,76.29850746268657
2022-10-09,73.07462686567165
2022-10-10,72.0
2022-10-11,67.70149253731343
2022-10-12,75.22388059701493
2022-10-13,73.07462686567165
2022-10-14,69.85074626865672
2022-10-15,70.92537313432835
2022-10-16,72.0
2022-10-17,72.0
2022-10-18,73.07462686567165
2022-10-19,70.92537313432835
2022-10-20,79.5223880597015
2022-10-21,73.07462686567165
2022-10-22,70.92537313432835
2022-10-23,60.17910447761194
2022-10-24,67.70149253731343
2022-10-25,73.07462686567165
2022-10-26,68.77611940298507
2022-10-27,73.07462686567165
2022-10-28,67.70149253731343
2022-10-29,69.85074626865672
2022-10-30,63.40298507462686
2022-10-31,62.32835820895522
2022-11-01,66.6268656716418
2022-11-02,64.4776119402985
2022-11-03,69.85074626865672
2022-11-04,69.85074626865672
2022-11-05,64.4776119402985
2022-11-06,59.1044776119403
2022-11-07,67.70149253731343
2022-11-08,64.4776119402985
2022-11-09,61.25373134328358
2022-11-10,67.70149253731343
2022-11-11,68.77611940298507
2022-11-12,69.85074626865672
2022-11-13,69.85074626865672
2022-11-14,73.07462686567165
2022-11-15,68.77611940298507
2022-11-16,70.92537313432835
2022-11-17,67.70149253731343
2022-11-18,67.70149253731343
2022-11-19,70.92537313432835
2022-11-20,61.25373134328358
2022-11-21,70.92537313432835
2022-11-22,80.59701492537313
2022-11-23,78.44776119402985
2022-11-24,60.17910447761194
2022-11-25,75.22388059701493
2022-11-26,66.6268656716418
2022-11-27,64.4776119402985
2022-11-28,63.40298507462686
2022-11-29,61.25373134328358
2022-11-30,61.25373134328358
2022-12-01,68.77611940298507
2022-12-02,66.6268656716418
2022-12-03,55.88059701492537
2022-12-04,58.02985074626866
2022-12-05,62.32835820895522
2022-12-06,70.92537313432835
2022-12-07,66.6268656716418
2022-12-08,62.32835820895522
2022-12-09,68.77611940298507
2022-12-10,70.92537313432835
2022-12-11,60.17910447761194
2022-12-12,67.70149253731343
