Time,cooperative
2022-01-01,30.0
2022-01-02,30.0
2022-01-03,92.0
2022-01-04,100.0
2022-01-05,85.0
2022-01-06,72.0
2022-01-07,70.0
2022-01-08,44.0
2022-01-09,32.0
2022-01-10,68.0
2022-01-11,71.0
2022-01-12,72.0
2022-01-13,76.0
2022-01-14,58.0
2022-01-15,41.0
2022-01-16,38.0
2022-01-17,54.0
2022-01-18,65.0
2022-01-19,71.0
2022-01-20,70.0
2022-01-21,64.0
2022-01-22,43.0
2022-01-23,34.0
2022-01-24,87.0
2022-01-25,68.0
2022-01-26,61.0
2022-01-27,65.0
2022-01-28,72.0
2022-01-29,42.0
2022-01-30,40.0
2022-01-31,70.0
2022-02-01,85.0
2022-02-02,91.0
2022-02-03,78.0
2022-02-04,77.0
2022-02-05,48.0
2022-02-06,38.0
2022-02-07,82.0
2022-02-08,81.0
2022-02-09,79.0
2022-02-10,68.0
2022-02-11,72.0
2022-02-12,46.0
2022-02-13,38.0
2022-02-14,75.0
2022-02-15,76.0
2022-02-16,77.0
2022-02-17,77.0
2022-02-18,74.0
2022-02-19,47.0
2022-02-20,46.0
2022-02-21,68.0
2022-02-22,74.0
2022-02-23,71.0
2022-02-24,77.0
2022-02-25,67.0
2022-02-26,50.0
2022-02-27,46.0
2022-02-28,86.0
2022-03-01,75.0
2022-03-02,74.0
2022-03-03,87.0
2022-03-04,77.0
2022-03-05,44.0
2022-03-06,43.0
2022-03-07,80.0
2022-03-08,76.0
2022-03-09,75.0
2022-03-10,74.0
2022-03-11,72.0
2022-03-12,49.0
2022-03-13,41.0
2022-03-14,75.0
2022-03-15,79.0
2022-03-16,73.0
2022-03-17,70.0
2022-03-18,66.0
2022-03-19,40.0
2022-03-20,37.0
2022-03-21,79.0
2022-03-22,86.0
2022-03-23,71.0
2022-03-24,75.0
2022-03-25,78.0
2022-03-26,44.0
2022-03-27,43.0
2022-03-28,81.0
2022-03-29,78.0
2022-03-30,74.0
2022-03-31,79.0
2022-04-01,79.0
2022-04-02,49.0
2022-04-03,46.0
2022-04-04,86.0
2022-04-05,90.0
2022-04-06,89.0
2022-04-07,78.0
2022-04-08,78.0
2022-04-09,46.0
2022-04-10,48.0
2022-04-11,75.0
2022-04-12,77.0
2022-04-13,73.0
2022-04-14,81.0
2022-04-15,64.0
2022-04-16,42.0
2022-04-17,37.0
2022-04-18,82.0
2022-04-19,84.0
2022-04-20,78.0
2022-04-21,80.0
2022-04-22,75.0
2022-04-23,44.0
2022-04-24,43.0
2022-04-25,84.0
2022-04-26,83.0
2022-04-27,78.0
2022-04-28,80.0
2022-04-29,77.0
2022-04-30,46.0
2022-05-01,42.0
2022-05-02,85.0
2022-05-03,80.0
2022-05-04,75.0
2022-05-05,75.0
2022-05-06,66.0
2022-05-07,41.0
2022-05-08,38.0
2022-05-09,81.0
2022-05-10,80.0
2022-05-11,80.0
2022-05-12,72.0
2022-05-13,65.0
2022-05-14,38.0
2022-05-15,33.0
2022-05-16,71.0
2022-05-17,66.0
2022-05-18,69.0
2022-05-19,67.0
2022-05-20,65.0
2022-05-21,44.0
2022-05-22,36.0
2022-05-23,75.0
2022-05-24,78.0
2022-05-25,69.0
2022-05-26,67.0
2022-05-27,63.0
2022-05-28,32.0
2022-05-29,35.0
2022-05-30,39.0
2022-05-31,71.0
2022-06-01,72.0
2022-06-02,75.0
2022-06-03,67.0
2022-06-04,44.0
2022-06-05,35.0
2022-06-06,72.0
2022-06-07,65.0
2022-06-08,71.0
2022-06-09,67.0
2022-06-10,66.0
2022-06-11,42.0
2022-06-12,36.0
2022-06-13,74.0
2022-06-14,78.0
2022-06-15,73.0
