Time,prosperity
2022-01-01,100.0
2022-01-02,40.0
2022-01-03,41.0
2022-01-04,41.0
2022-01-05,39.0
2022-01-06,33.0
2022-01-07,32.0
2022-01-08,27.0
2022-01-09,23.0
2022-01-10,30.0
2022-01-11,35.0
2022-01-12,36.0
2022-01-13,41.0
2022-01-14,29.0
2022-01-15,28.0
2022-01-16,19.0
2022-01-17,26.0
2022-01-18,32.0
2022-01-19,31.0
2022-01-20,35.0
2022-01-21,34.0
2022-01-22,25.0
2022-01-23,23.0
2022-01-24,44.0
2022-01-25,35.0
2022-01-26,33.0
2022-01-27,35.0
2022-01-28,36.0
2022-01-29,29.0
2022-01-30,23.0
2022-01-31,37.0
2022-02-01,48.0
2022-02-02,38.0
2022-02-03,35.0
2022-02-04,35.0
2022-02-05,25.0
2022-02-06,25.0
2022-02-07,35.0
2022-02-08,36.0
2022-02-09,32.0
2022-02-10,31.0
2022-02-11,34.0
2022-02-12,27.0
2022-02-13,20.0
2022-02-14,33.0
2022-02-15,34.0
2022-02-16,35.0
2022-02-17,35.0
2022-02-18,32.0
2022-02-19,28.0
2022-02-20,25.0
2022-02-21,30.0
2022-02-22,34.0
2022-02-23,39.0
2022-02-24,36.0
2022-02-25,34.0
2022-02-26,26.0
2022-02-27,21.0
2022-02-28,34.0
2022-03-01,36.0
2022-03-02,34.0
2022-03-03,33.0
2022-03-04,33.0
2022-03-05,25.0
2022-03-06,22.0
2022-03-07,30.0
2022-03-08,32.0
2022-03-09,33.0
2022-03-10,34.0
2022-03-11,33.0
2022-03-12,25.0
2022-03-13,21.0
2022-03-14,31.0
2022-03-15,32.0
2022-03-16,31.0
2022-03-17,32.0
2022-03-18,31.0
2022-03-19,24.0
2022-03-20,20.0
2022-03-21,32.0
2022-03-22,34.0
2022-03-23,30.0
2022-03-24,33.0
2022-03-25,35.0
2022-03-26,24.0
2022-03-27,22.0
2022-03-28,37.0
2022-03-29,32.0
2022-03-30,32.0
2022-03-31,35.0
2022-04-01,39.0
2022-04-02,28.0
2022-04-03,24.0
2022-04-04,40.0
2022-04-05,39.0
2022-04-06,35.0
2022-04-07,36.0
2022-04-08,34.0
2022-04-09,25.0
2022-04-10,22.0
2022-04-11,57.0
2022-04-12,41.0
2022-04-13,36.0
2022-04-14,34.0
2022-04-15,35.0
2022-04-16,24.0
2022-04-17,20.0
2022-04-18,36.0
2022-04-19,34.0
2022-04-20,34.0
2022-04-21,35.0
2022-04-22,32.0
2022-04-23,25.0
2022-04-24,21.0
2022-04-25,36.0
2022-04-26,33.0
2022-04-27,33.0
2022-04-28,34.0
2022-04-29,33.0
2022-04-30,26.0
2022-05-01,24.0
2022-05-02,38.0
2022-05-03,34.0
2022-05-04,34.0
2022-05-05,34.0
2022-05-06,34.0
2022-05-07,23.0
2022-05-08,19.0
2022-05-09,32.0
2022-05-10,32.0
2022-05-11,33.0
2022-05-12,34.0
2022-05-13,33.0
2022-05-14,24.0
2022-05-15,22.0
2022-05-16,33.0
2022-05-17,30.0
2022-05-18,31.0
2022-05-19,30.0
2022-05-20,32.0
2022-05-21,24.0
2022-05-22,23.0
2022-05-23,33.0
2022-05-24,30.0
2022-05-25,29.0
2022-05-26,32.0
2022-05-27,31.0
2022-05-28,26.0
2022-05-29,19.0
2022-05-30,21.0
2022-05-31,35.0
2022-06-01,32.0
2022-06-02,30.0
2022-06-03,31.0
2022-06-04,26.0
2022-06-05,20.0
2022-06-06,29.0
2022-06-07,27.0
2022-06-08,30.0
2022-06-09,29.0
2022-06-10,32.0
2022-06-11,25.0
2022-06-12,21.0
2022-06-13,31.0
2022-06-14,32.0
2022-06-15,31.0
2022-06-16,30.0
2022-06-17,28.0
2022-06-18,25.0
2022-06-19,21.0
2022-06-20,30.0
2022-06-21,29.0
2022-06-22,31.0
2022-06-23,30.0
2022-06-24,30.0
2022-06-25,24.0
2022-06-26,22.0
2022-06-27,29.0
2022-06-28,30.0
2022-06-29,30.0
2022-06-30,28.0
2022-07-01,35.0
2022-07-02,25.0
2022-07-03,19.0
2022-07-04,21.0
2022-07-05,34.0
2022-07-06,30.0
2022-07-07,31.0
2022-07-08,31.0
2022-07-09,24.0
2022-07-10,22.0
2022-07-11,29.0
2022-07-12,29.0
2022-07-13,30.0
2022-07-14,31.0
2022-07-15,31.0
2022-07-16,26.0
2022-07-17,19.0
2022-07-18,31.0
2022-07-19,32.0
2022-07-20,31.0
2022-07-21,30.0
2022-07-22,30.0
2022-07-23,24.0
2022-07-24,23.0
2022-07-25,30.0
2022-07-26,29.0
2022-07-27,31.0
2022-07-28,30.0
2022-07-29,33.0
2022-07-30,23.0
2022-07-31,18.0
2022-08-01,35.0
2022-08-02,33.0
2022-08-03,29.0
2022-08-04,28.0
2022-08-05,29.0
2022-08-06,23.0
2022-08-07,22.0
2022-08-08,31.0
2022-08-09,28.0
2022-08-10,32.0
2022-08-11,30.0
2022-08-12,31.0
2022-08-13,23.0
2022-08-14,19.0
2022-08-15,30.0
2022-08-16,29.0
2022-08-17,29.0
2022-08-18,28.0
2022-08-19,30.0
2022-08-20,21.0
2022-08-21,21.0
2022-08-22,30.0
2022-08-23,30.0
2022-08-24,33.0
2022-08-25,31.0
2022-08-26,31.0
2022-08-27,24.0
2022-08-28,21.0
2022-08-29,30.93548387096774
2022-08-30,28.870967741935484
2022-08-31,36.596774193548384
2022-09-01,38.16129032258064
2022-09-02,36.096774193548384
2022-09-03,26.806451612903224
2022-09-04,19.58064516129032
2022-09-05,23.70967741935484
2022-09-06,34.03225806451613
2022-09-07,31.967741935483872
2022-09-08,31.467741935483872
2022-09-09,33.0
2022-09-10,25.274193548387096
2022-09-11,17.016129032258064
2022-09-12,35.064516129032256
2022-09-13,34.03225806451613
2022-09-14,33.0
2022-09-15,37.12903225806451
2022-09-16,37.62903225806451
2022-09-17,22.177419354838708
2022-09-18,21.14516129032258
2022-09-19,35.064516129032256
2022-09-20,37.12903225806451
2022-09-21,31.967741935483872
2022-09-22,34.03225806451613
2022-09-23,33.0
2022-09-24,26.806451612903224
2022-09-25,24.741935483870968
2022-09-26,31.967741935483872
2022-09-27,34.064516129032256
2022-09-28,31.93548387096774
2022-09-29,30.87096774193548
2022-09-30,38.32258064516129
2022-10-01,26.61290322580645
2022-10-02,21.29032258064516
2022-10-03,34.064516129032256
2022-10-04,36.19354838709677
2022-10-05,34.064516129032256
2022-10-06,34.064516129032256
2022-10-07,34.064516129032256
2022-10-08,24.483870967741936
2022-10-09,23.419354838709676
2022-10-10,33.0
2022-10-11,37.25806451612903
2022-10-12,37.25806451612903
2022-10-13,35.12903225806451
2022-10-14,33.0
2022-10-15,23.419354838709676
2022-10-16,18.096774193548384
2022-10-17,33.0
2022-10-18,35.12903225806451
2022-10-19,31.93548387096774
2022-10-20,34.064516129032256
2022-10-21,34.064516129032256
2022-10-22,20.225806451612904
2022-10-23,24.483870967741936
2022-10-24,34.064516129032256
2022-10-25,34.064516129032256
2022-10-26,36.19354838709677
2022-10-27,34.064516129032256
2022-10-28,31.93548387096774
2022-10-29,22.354838709677416
2022-10-30,20.225806451612904
2022-10-31,36.19354838709677
2022-11-01,35.12903225806451
2022-11-02,38.32258064516129
2022-11-03,35.12903225806451
2022-11-04,35.12903225806451
2022-11-05,22.354838709677416
2022-11-06,19.161290322580644
2022-11-07,35.12903225806451
2022-11-08,31.93548387096774
2022-11-09,30.87096774193548
2022-11-10,36.19354838709677
2022-11-11,33.0
2022-11-12,25.548387096774192
2022-11-13,19.161290322580644
2022-11-14,37.25806451612903
2022-11-15,31.93548387096774
2022-11-16,38.32258064516129
2022-11-17,39.387096774193544
2022-11-18,30.87096774193548
2022-11-19,22.354838709677416
2022-11-20,19.161290322580644
2022-11-21,28.741935483870968
2022-11-22,29.806451612903224
2022-11-23,26.61290322580645
2022-11-24,17.032258064516128
2022-11-25,21.29032258064516
2022-11-26,20.225806451612904
2022-11-27,21.29032258064516
2022-11-28,31.93548387096774
2022-11-29,34.064516129032256
2022-11-30,34.064516129032256
2022-12-01,34.064516129032256
2022-12-02,34.064516129032256
2022-12-03,23.419354838709676
2022-12-04,20.225806451612904
2022-12-05,34.064516129032256
2022-12-06,35.12903225806451
2022-12-07,35.12903225806451
2022-12-08,36.19354838709677
2022-12-09,34.064516129032256
2022-12-10,22.354838709677416
2022-12-11,20.225806451612904
2022-12-12,35.12903225806451
2022-12-13,34.064516129032256
2022-12-14,31.93548387096774
2022-12-15,35.12903225806451
2022-12-16,35.12903225806451
2022-12-17,22.354838709677416
2022-12-18,19.161290322580644
2022-12-19,31.93548387096774
2022-12-20,33.0
2022-12-21,33.0
2022-12-22,30.87096774193548
2022-12-23,27.677419354838708
2022-12-24,23.419354838709676
2022-12-25,22.354838709677416
2022-12-26,26.61290322580645
2022-12-27,28.741935483870968
2022-12-28,30.87096774193548
2022-12-29,33.0
2022-12-30,37.25806451612903
2022-12-31,58.54838709677419
2023-01-01,106.4516129032258
2023-01-02,45.774193548387096
2023-01-03,39.387096774193544
2023-01-04,39.387096774193544
2023-01-05,34.064516129032256
2023-01-06,40.45161290322581
2023-01-07,24.483870967741936
2023-01-08,24.483870967741936
2023-01-09,37.25806451612903
2023-01-10,35.12903225806451
2023-01-11,38.32258064516129
2023-01-12,35.12903225806451
2023-01-13,37.25806451612903
2023-01-14,26.61290322580645
2023-01-15,24.483870967741936
2023-01-16,27.677419354838708
2023-01-17,37.25806451612903
2023-01-18,35.12903225806451
2023-01-19,37.25806451612903
2023-01-20,37.25806451612903
2023-01-21,27.677419354838708
2023-01-22,29.806451612903224
2023-01-23,39.387096774193544
2023-01-24,41.516129032258064
2023-01-25,36.19354838709677
2023-01-26,37.25806451612903
2023-01-27,36.19354838709677
2023-01-28,25.548387096774192
2023-01-29,22.354838709677416
2023-01-30,35.12903225806451
2023-01-31,37.25806451612903
2023-02-01,36.19354838709677
2023-02-02,39.387096774193544
2023-02-03,38.32258064516129
2023-02-04,24.483870967741936
2023-02-05,24.483870967741936
2023-02-06,36.19354838709677
2023-02-07,36.19354838709677
2023-02-08,34.064516129032256
2023-02-09,37.25806451612903
2023-02-10,37.25806451612903
2023-02-11,25.548387096774192
2023-02-12,22.354838709677416
2023-02-13,33.0
2023-02-14,36.19354838709677
2023-02-15,37.25806451612903
2023-02-16,35.12903225806451
2023-02-17,37.25806451612903
2023-02-18,27.677419354838708
2023-02-19,22.354838709677416
2023-02-20,31.93548387096774
2023-02-21,39.387096774193544
2023-02-22,36.19354838709677
2023-02-23,36.19354838709677
2023-02-24,39.387096774193544
2023-02-25,26.61290322580645
2023-02-26,22.354838709677416
2023-02-27,41.516129032258064
2023-02-28,35.12903225806451
2023-03-01,40.45161290322581
2023-03-02,37.25806451612903
2023-03-03,36.19354838709677
2023-03-04,27.677419354838708
2023-03-05,24.483870967741936
2023-03-06,38.32258064516129
2023-03-07,35.12903225806451
2023-03-08,36.19354838709677
2023-03-09,33.0
2023-03-10,35.12903225806451
2023-03-11,27.677419354838708
2023-03-12,23.419354838709676
2023-03-13,36.19354838709677
2023-03-14,35.12903225806451
2023-03-15,38.32258064516129
2023-03-16,36.19354838709677
2023-03-17,33.0
2023-03-18,22.354838709677416
2023-03-19,21.29032258064516
2023-03-20,36.19354838709677
2023-03-21,36.19354838709677
2023-03-22,35.12903225806451
2023-03-23,35.12903225806451
2023-03-24,33.0
2023-03-25,23.419354838709676
2023-03-26,21.29032258064516
2023-03-27,36.19354838709677
2023-03-28,35.12903225806451
2023-03-29,35.12903225806451
2023-03-30,35.12903225806451
2023-03-31,36.19354838709677
2023-04-01,26.61290322580645
2023-04-02,27.677419354838708
2023-04-03,38.32258064516129
2023-04-04,37.25806451612903
2023-04-05,34.064516129032256
2023-04-06,34.064516129032256
2023-04-07,31.93548387096774
2023-04-08,22.354838709677416
2023-04-09,20.225806451612904
2023-04-10,34.064516129032256
2023-04-11,36.19354838709677
2023-04-12,34.064516129032256
2023-04-13,36.19354838709677
2023-04-14,34.064516129032256
2023-04-15,23.419354838709676
2023-04-16,23.419354838709676
2023-04-17,37.25806451612903
2023-04-18,36.19354838709677
2023-04-19,36.19354838709677
2023-04-20,33.0
2023-04-21,35.12903225806451
2023-04-22,24.483870967741936
2023-04-23,20.225806451612904
2023-04-24,35.12903225806451
2023-04-25,33.0
2023-04-26,34.69913151364764
2023-04-27,35.86600496277916
2023-04-28,32.36538461538461
2023-04-29,23.767369727047146
2023-04-30,21.43362282878412
2023-05-01,36.500620347394545
2023-05-02,34.166873449131515
2023-05-03,31.300868486352357
2023-05-04,34.166873449131515
2023-05-05,33.0
2023-05-06,25.46650124069479
2023-05-07,21.43362282878412
2023-05-08,35.33374689826303
2023-05-09,31.300868486352357
2023-05-10,33.0
2023-05-11,30.666253101736974
2023-05-12,33.0
2023-05-13,23.132754342431763
2023-05-14,23.132754342431763
2023-05-15,34.69913151364764
2023-05-16,37.66749379652606
2023-05-17,33.0
2023-05-18,33.53225806451613
2023-05-19,34.166873449131515
2023-05-20,21.43362282878412
2023-05-21,21.43362282878412
2023-05-22,33.0
2023-05-23,34.166873449131515
2023-05-24,31.833126550868485
2023-05-25,35.53846153846154
2023-05-26,29.192307692307697
2023-05-27,24.115384615384617
2023-05-28,19.03846153846154
2023-05-29,20.30769230769231
2023-05-30,31.730769230769234
2023-05-31,31.730769230769234
2023-06-01,31.730769230769234
2023-06-02,33.00000000000001
2023-06-03,22.84615384615385
2023-06-04,22.84615384615385
2023-06-05,30.461538461538467
2023-06-06,30.461538461538467
2023-06-07,26.653846153846157
2023-06-08,27.923076923076927
2023-06-09,30.461538461538467
2023-06-10,22.84615384615385
2023-06-11,21.57692307692308
2023-06-12,29.192307692307697
2023-06-13,30.461538461538467
2023-06-14,30.461538461538467
2023-06-15,30.461538461538467
2023-06-16,29.192307692307697
2023-06-17,25.384615384615387
2023-06-18,20.30769230769231
2023-06-19,27.923076923076927
2023-06-20,30.461538461538467
2023-06-21,31.730769230769234
2023-06-22,27.923076923076927
2023-06-23,30.461538461538467
2023-06-24,21.57692307692308
2023-06-25,19.03846153846154
2023-06-26,27.923076923076927
2023-06-27,29.192307692307697
2023-06-28,29.192307692307697
2023-06-29,27.923076923076927
2023-06-30,31.730769230769234
2023-07-01,25.384615384615387
2023-07-02,21.57692307692308
2023-07-03,33.00000000000001
2023-07-04,21.57692307692308
2023-07-05,26.653846153846157
2023-07-06,29.192307692307697
2023-07-07,29.192307692307697
2023-07-08,22.84615384615385
2023-07-09,21.57692307692308
2023-07-10,27.923076923076927
2023-07-11,29.192307692307697
2023-07-12,27.923076923076927
2023-07-13,25.384615384615387
2023-07-14,30.461538461538467
2023-07-15,22.84615384615385
