Time,priceless
2022-01-01,48.0
2022-01-02,47.0
2022-01-03,50.0
2022-01-04,59.0
2022-01-05,56.0
2022-01-06,44.0
2022-01-07,58.0
2022-01-08,57.0
2022-01-09,46.0
2022-01-10,56.0
2022-01-11,54.0
2022-01-12,49.0
2022-01-13,52.0
2022-01-14,43.0
2022-01-15,62.0
2022-01-16,34.0
2022-01-17,46.0
2022-01-18,40.0
2022-01-19,48.0
2022-01-20,41.0
2022-01-21,47.0
2022-01-22,55.0
2022-01-23,62.0
2022-01-24,42.0
2022-01-25,43.0
2022-01-26,41.0
2022-01-27,56.0
2022-01-28,55.0
2022-01-29,56.0
2022-01-30,46.0
2022-01-31,54.0
2022-02-01,44.0
2022-02-02,62.0
2022-02-03,65.0
2022-02-04,48.0
2022-02-05,64.0
2022-02-06,57.0
2022-02-07,61.0
2022-02-08,60.0
2022-02-09,55.0
2022-02-10,57.0
2022-02-11,56.0
2022-02-12,58.0
2022-02-13,48.0
2022-02-14,50.0
2022-02-15,45.0
2022-02-16,56.0
2022-02-17,64.0
2022-02-18,55.0
2022-02-19,50.0
2022-02-20,65.0
2022-02-21,64.0
2022-02-22,57.0
2022-02-23,70.0
2022-02-24,98.0
2022-02-25,67.0
2022-02-26,61.0
2022-02-27,52.0
2022-02-28,42.0
2022-03-01,55.0
2022-03-02,57.0
2022-03-03,56.0
2022-03-04,58.0
2022-03-05,67.0
2022-03-06,57.0
2022-03-07,66.0
2022-03-08,49.0
2022-03-09,57.0
2022-03-10,52.0
2022-03-11,59.0
2022-03-12,40.0
2022-03-13,59.0
2022-03-14,58.0
2022-03-15,58.0
2022-03-16,60.0
2022-03-17,67.0
2022-03-18,65.0
2022-03-19,59.0
2022-03-20,62.0
2022-03-21,60.0
2022-03-22,51.0
2022-03-23,51.0
2022-03-24,51.0
2022-03-25,45.0
2022-03-26,59.0
2022-03-27,46.0
2022-03-28,48.0
2022-03-29,56.0
2022-03-30,48.0
2022-03-31,48.0
2022-04-01,40.0
2022-04-02,59.0
2022-04-03,61.0
2022-04-04,54.0
2022-04-05,44.0
2022-04-06,55.0
2022-04-07,62.0
2022-04-08,56.0
2022-04-09,57.0
2022-04-10,47.0
2022-04-11,48.0
2022-04-12,50.0
2022-04-13,54.0
2022-04-14,46.0
2022-04-15,55.0
2022-04-16,53.0
2022-04-17,49.0
2022-04-18,49.0
2022-04-19,45.0
2022-04-20,35.0
2022-04-21,42.0
2022-04-22,47.0
2022-04-23,54.0
2022-04-24,62.0
2022-04-25,36.0
2022-04-26,56.0
2022-04-27,63.0
2022-04-28,51.0
2022-04-29,52.0
2022-04-30,53.0
2022-05-01,50.0
2022-05-02,52.0
2022-05-03,49.0
2022-05-04,56.0
2022-05-05,63.0
2022-05-06,69.0
2022-05-07,70.0
2022-05-08,64.0
2022-05-09,50.0
2022-05-10,49.0
2022-05-11,50.0
