Time,shortage
2022-01-01,14.0
2022-01-02,16.0
2022-01-03,19.0
2022-01-04,25.0
2022-01-05,23.0
2022-01-06,17.0
2022-01-07,20.0
2022-01-08,19.0
2022-01-09,22.0
2022-01-10,22.0
2022-01-11,25.0
2022-01-12,26.0
2022-01-13,28.0
2022-01-14,17.0
2022-01-15,20.0
2022-01-16,19.0
2022-01-17,15.0
2022-01-18,18.0
2022-01-19,20.0
2022-01-20,19.0
2022-01-21,18.0
2022-01-22,18.0
2022-01-23,19.0
2022-01-24,18.0
2022-01-25,18.0
2022-01-26,20.0
2022-01-27,19.0
2022-01-28,21.0
2022-01-29,17.0
2022-01-30,18.0
2022-01-31,18.0
2022-02-01,19.0
2022-02-02,18.0
2022-02-03,17.0
2022-02-04,16.0
2022-02-05,18.0
2022-02-06,19.0
2022-02-07,20.0
2022-02-08,21.0
2022-02-09,18.0
2022-02-10,16.0
2022-02-11,18.0
2022-02-12,17.0
2022-02-13,19.0
2022-02-14,17.0
2022-02-15,18.0
2022-02-16,18.0
2022-02-17,19.0
2022-02-18,20.0
2022-02-19,18.0
2022-02-20,18.0
2022-02-21,18.0
2022-02-22,18.0
2022-02-23,17.0
2022-02-24,17.0
2022-02-25,15.0
2022-02-26,14.0
2022-02-27,16.0
2022-02-28,16.0
2022-03-01,15.0
2022-03-02,15.0
2022-03-03,16.0
2022-03-04,15.0
2022-03-05,14.0
2022-03-06,14.0
2022-03-07,16.0
2022-03-08,16.0
2022-03-09,18.0
2022-03-10,17.0
2022-03-11,15.0
2022-03-12,14.0
2022-03-13,13.0
2022-03-14,15.0
2022-03-15,15.0
2022-03-16,14.0
2022-03-17,14.0
2022-03-18,13.0
2022-03-19,13.0
2022-03-20,12.0
2022-03-21,14.0
2022-03-22,16.0
2022-03-23,15.0
2022-03-24,19.0
2022-03-25,28.0
2022-03-26,27.0
2022-03-27,22.0
2022-03-28,20.0
2022-03-29,20.0
2022-03-30,19.0
2022-03-31,20.0
2022-04-01,17.0
2022-04-02,17.0
2022-04-03,17.0
2022-04-04,18.0
2022-04-05,17.0
2022-04-06,17.0
2022-04-07,17.0
2022-04-08,14.0
2022-04-09,15.0
2022-04-10,16.0
2022-04-11,19.0
2022-04-12,19.0
2022-04-13,16.0
2022-04-14,16.0
2022-04-15,14.0
2022-04-16,13.0
2022-04-17,13.0
2022-04-18,16.0
2022-04-19,15.0
2022-04-20,15.0
2022-04-21,16.0
2022-04-22,15.0
2022-04-23,14.0
2022-04-24,15.0
2022-04-25,17.0
2022-04-26,18.0
2022-04-27,21.0
2022-04-28,20.0
2022-04-29,18.0
2022-04-30,16.0
2022-05-01,16.0
2022-05-02,18.0
2022-05-03,19.0
