Time,jobless
2022-01-01,46.0
2022-01-02,53.0
2022-01-03,46.0
2022-01-04,60.0
2022-01-05,48.0
2022-01-06,49.0
2022-01-07,40.0
2022-01-08,58.0
2022-01-09,59.0
2022-01-10,47.0
2022-01-11,52.0
2022-01-12,37.0
2022-01-13,73.0
2022-01-14,30.0
2022-01-15,36.0
2022-01-16,31.0
2022-01-17,41.0
2022-01-18,35.0
2022-01-19,24.0
2022-01-20,50.0
2022-01-21,31.0
2022-01-22,31.0
2022-01-23,41.0
2022-01-24,59.0
2022-01-25,29.0
2022-01-26,35.0
2022-01-27,38.0
2022-01-28,36.0
2022-01-29,21.0
2022-01-30,30.0
2022-01-31,29.0
2022-02-01,27.0
2022-02-02,25.0
2022-02-03,38.0
2022-02-04,35.0
2022-02-05,30.0
2022-02-06,32.0
2022-02-07,32.0
2022-02-08,28.0
2022-02-09,26.0
2022-02-10,32.0
2022-02-11,32.0
2022-02-12,28.0
2022-02-13,37.0
2022-02-14,33.0
2022-02-15,31.0
2022-02-16,29.0
2022-02-17,45.0
2022-02-18,35.0
2022-02-19,24.0
2022-02-20,42.0
2022-02-21,38.0
2022-02-22,33.0
2022-02-23,29.0
2022-02-24,33.0
2022-02-25,25.0
2022-02-26,35.0
2022-02-27,32.0
2022-02-28,37.0
2022-03-01,30.0
2022-03-02,36.0
2022-03-03,38.0
2022-03-04,28.0
2022-03-05,32.0
2022-03-06,38.0
2022-03-07,35.0
2022-03-08,35.0
2022-03-09,27.0
2022-03-10,36.0
2022-03-11,27.0
2022-03-12,28.0
2022-03-13,30.0
2022-03-14,24.0
2022-03-15,28.0
2022-03-16,36.0
2022-03-17,47.0
2022-03-18,25.0
2022-03-19,35.0
2022-03-20,31.0
2022-03-21,32.0
2022-03-22,31.0
2022-03-23,31.0
2022-03-24,47.0
2022-03-25,39.0
2022-03-26,30.0
2022-03-27,38.0
2022-03-28,26.0
2022-03-29,31.0
2022-03-30,30.0
2022-03-31,35.0
2022-04-01,32.0
2022-04-02,34.0
2022-04-03,33.0
2022-04-04,31.0
2022-04-05,32.0
2022-04-06,31.0
2022-04-07,46.0
2022-04-08,32.0
2022-04-09,25.0
2022-04-10,34.0
2022-04-11,24.0
2022-04-12,27.0
2022-04-13,28.0
2022-04-14,31.0
2022-04-15,33.0
2022-04-16,31.0
2022-04-17,34.0
