Time,intervention
2022-01-01,24.0
2022-01-02,30.0
2022-01-03,41.0
2022-01-04,60.0
2022-01-05,63.0
2022-01-06,47.0
2022-01-07,49.0
2022-01-08,37.0
2022-01-09,40.0
2022-01-10,49.0
2022-01-11,58.0
2022-01-12,56.0
2022-01-13,71.0
2022-01-14,50.0
2022-01-15,42.0
2022-01-16,37.0
2022-01-17,42.0
2022-01-18,52.0
2022-01-19,59.0
2022-01-20,64.0
2022-01-21,65.0
2022-01-22,46.0
2022-01-23,52.0
2022-01-24,100.0
2022-01-25,71.0
2022-01-26,73.0
2022-01-27,75.0
2022-01-28,67.0
2022-01-29,45.0
2022-01-30,50.0
2022-01-31,65.0
2022-02-01,68.0
2022-02-02,71.0
2022-02-03,77.0
2022-02-04,78.0
2022-02-05,51.0
2022-02-06,54.0
2022-02-07,81.0
2022-02-08,87.0
2022-02-09,79.0
2022-02-10,73.0
2022-02-11,81.0
2022-02-12,53.0
2022-02-13,57.0
2022-02-14,83.0
2022-02-15,89.0
2022-02-16,86.0
2022-02-17,96.0
2022-02-18,89.0
2022-02-19,62.0
2022-02-20,58.0
2022-02-21,75.0
2022-02-22,87.0
2022-02-23,86.0
2022-02-24,93.0
2022-02-25,85.0
2022-02-26,60.0
2022-02-27,75.0
2022-02-28,99.0
2022-03-01,88.0
2022-03-02,92.0
2022-03-03,88.0
2022-03-04,89.0
2022-03-05,56.0
2022-03-06,64.0
2022-03-07,86.0
2022-03-08,81.0
2022-03-09,82.0
2022-03-10,80.0
2022-03-11,77.0
2022-03-12,56.0
2022-03-13,51.0
2022-03-14,85.0
2022-03-15,84.0
2022-03-16,87.0
2022-03-17,74.0
2022-03-18,71.0
2022-03-19,52.0
2022-03-20,60.0
2022-03-21,75.0
2022-03-22,88.0
2022-03-23,83.0
2022-03-24,88.0
2022-03-25,83.0
2022-03-26,59.0
2022-03-27,66.0
2022-03-28,87.0
2022-03-29,97.0
2022-03-30,91.0
2022-03-31,94.0
2022-04-01,83.0
2022-04-02,62.0
2022-04-03,64.0
2022-04-04,97.0
2022-04-05,93.0
2022-04-06,95.0
2022-04-07,86.0
2022-04-08,80.0
2022-04-09,60.0
2022-04-10,67.0
