Time,jurassic_world
2022-01-01,4.0
2022-01-02,6.0
2022-01-03,3.0
2022-01-04,3.0
2022-01-05,3.0
2022-01-06,2.0
2022-01-07,3.0
2022-01-08,4.0
2022-01-09,4.0
2022-01-10,3.0
2022-01-11,2.0
2022-01-12,3.0
2022-01-13,2.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,3.0
2022-01-17,3.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,3.0
2022-01-23,5.0
2022-01-24,3.0
2022-01-25,2.0
2022-01-26,2.0
2022-01-27,2.0
2022-01-28,2.0
2022-01-29,4.0
2022-01-30,4.0
2022-01-31,2.0
2022-02-01,2.0
2022-02-02,2.0
2022-02-03,2.0
2022-02-04,3.0
2022-02-05,4.0
2022-02-06,4.0
2022-02-07,3.0
2022-02-08,2.0
2022-02-09,2.0
2022-02-10,11.0
2022-02-11,14.0
2022-02-12,12.0
2022-02-13,12.0
2022-02-14,8.0
2022-02-15,5.0
2022-02-16,4.0
2022-02-17,4.0
2022-02-18,4.0
2022-02-19,5.0
2022-02-20,5.0
2022-02-21,4.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,3.0
2022-02-26,4.0
2022-02-27,4.0
2022-02-28,3.0
2022-03-01,2.0
2022-03-02,3.0
2022-03-03,3.0
2022-03-04,3.0
2022-03-05,4.0
2022-03-06,4.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,4.0
2022-03-13,4.0
2022-03-14,3.0
2022-03-15,3.0
2022-03-16,4.0
2022-03-17,3.0
2022-03-18,3.0
2022-03-19,4.0
2022-03-20,6.0
2022-03-21,5.0
2022-03-22,3.0
2022-03-23,2.0
2022-03-24,2.0
2022-03-25,3.0
2022-03-26,4.0
2022-03-27,4.0
2022-03-28,3.0
2022-03-29,2.0
2022-03-30,2.0
2022-03-31,3.0
2022-04-01,2.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,3.0
2022-04-07,3.0
2022-04-08,3.0
2022-04-09,4.0
2022-04-10,5.0
2022-04-11,3.0
2022-04-12,4.0
2022-04-13,3.0
2022-04-14,4.0
2022-04-15,4.0
2022-04-16,5.0
2022-04-17,5.0
2022-04-18,5.0
2022-04-19,4.0
2022-04-20,3.0
2022-04-21,3.0
2022-04-22,4.0
2022-04-23,5.0
2022-04-24,5.0
2022-04-25,4.0
2022-04-26,3.0
2022-04-27,3.0
2022-04-28,6.0
2022-04-29,7.0
2022-04-30,7.0
2022-05-01,7.0
2022-05-02,5.0
2022-05-03,5.0
2022-05-04,5.0
2022-05-05,4.0
2022-05-06,5.0
2022-05-07,7.0
2022-05-08,7.0
2022-05-09,5.0
2022-05-10,5.0
2022-05-11,5.0
2022-05-12,6.0
2022-05-13,5.0
2022-05-14,7.0
2022-05-15,7.0
2022-05-16,6.0
2022-05-17,6.0
2022-05-18,7.0
2022-05-19,6.0
2022-05-20,7.0
2022-05-21,10.0
2022-05-22,10.0
2022-05-23,8.0
2022-05-24,14.0
2022-05-25,8.0
2022-05-26,9.0
2022-05-27,9.0
2022-05-28,11.0
2022-05-29,12.0
2022-05-30,15.0
2022-05-31,10.0
2022-06-01,11.0
2022-06-02,12.0
2022-06-03,14.0
2022-06-04,21.0
2022-06-05,25.0
2022-06-06,23.0
2022-06-07,27.0
2022-06-08,32.0
2022-06-09,51.0
2022-06-10,86.0
2022-06-11,99.0
2022-06-12,100.0
2022-06-13,55.0
2022-06-14,40.0
2022-06-15,35.0
2022-06-16,30.0
2022-06-17,31.0
2022-06-18,46.0
2022-06-19,47.0
2022-06-20,28.0
2022-06-21,21.0
2022-06-22,20.0
2022-06-23,17.0
