Time,gain
2022-01-01,59.0
2022-01-02,64.0
2022-01-03,65.0
2022-01-04,81.0
2022-01-05,74.0
2022-01-06,60.0
2022-01-07,64.0
2022-01-08,63.0
2022-01-09,68.0
2022-01-10,65.0
2022-01-11,73.0
2022-01-12,76.0
2022-01-13,84.0
2022-01-14,56.0
2022-01-15,61.0
2022-01-16,58.0
2022-01-17,57.0
2022-01-18,64.0
2022-01-19,66.0
2022-01-20,65.0
2022-01-21,68.0
2022-01-22,64.0
2022-01-23,67.0
2022-01-24,90.0
2022-01-25,68.0
2022-01-26,70.0
2022-01-27,69.0
2022-01-28,76.0
2022-01-29,65.0
2022-01-30,66.0
2022-01-31,74.0
2022-02-01,76.0
2022-02-02,69.0
2022-02-03,73.0
2022-02-04,70.0
2022-02-05,63.0
2022-02-06,68.0
2022-02-07,71.0
2022-02-08,85.0
2022-02-09,79.0
2022-02-10,60.0
2022-02-11,72.0
2022-02-12,62.0
2022-02-13,60.0
2022-02-14,74.0
2022-02-15,92.0
2022-02-16,89.0
2022-02-17,86.0
2022-02-18,82.0
2022-02-19,69.0
2022-02-20,75.0
2022-02-21,83.0
2022-02-22,89.0
2022-02-23,88.0
2022-02-24,84.0
2022-02-25,78.0
2022-02-26,72.0
2022-02-27,74.0
2022-02-28,87.0
2022-03-01,85.0
2022-03-02,89.0
2022-03-03,91.0
2022-03-04,81.0
2022-03-05,68.0
2022-03-06,70.0
2022-03-07,91.0
2022-03-08,88.0
2022-03-09,85.0
2022-03-10,89.0
2022-03-11,79.0
2022-03-12,82.0
2022-03-13,100.0
2022-03-14,90.0
2022-03-15,85.0
2022-03-16,85.0
2022-03-17,80.0
2022-03-18,74.0
2022-03-19,71.0
2022-03-20,70.0
2022-03-21,83.0
2022-03-22,85.0
2022-03-23,91.0
2022-03-24,82.0
2022-03-25,81.0
2022-03-26,70.0
2022-03-27,79.0
2022-03-28,86.0
2022-03-29,89.0
2022-03-30,92.0
2022-03-31,92.0
2022-04-01,82.0
2022-04-02,69.0
2022-04-03,72.0
2022-04-04,90.0
2022-04-05,87.0
2022-04-06,94.0
2022-04-07,89.0
2022-04-08,85.0
2022-04-09,71.0
2022-04-10,80.0
2022-04-11,87.0
2022-04-12,87.0
2022-04-13,87.0
2022-04-14,88.0
2022-04-15,77.0
2022-04-16,69.0
2022-04-17,67.0
2022-04-18,86.0
2022-04-19,95.0
2022-04-20,84.0
2022-04-21,92.0
2022-04-22,78.0
2022-04-23,66.0
2022-04-24,72.0
2022-04-25,84.0
2022-04-26,89.0
2022-04-27,85.0
2022-04-28,89.0
2022-04-29,75.0
2022-04-30,65.0
2022-05-01,73.0
2022-05-02,89.0
2022-05-03,91.0
2022-05-04,85.0
2022-05-05,84.0
2022-05-06,71.0
2022-05-07,67.0
2022-05-08,60.0
2022-05-09,82.0
2022-05-10,83.0
2022-05-11,83.0
2022-05-12,82.0
2022-05-13,74.0
2022-05-14,63.0
2022-05-15,71.0
2022-05-16,78.0
2022-05-17,82.0
2022-05-18,79.0
2022-05-19,75.0
2022-05-20,66.0
2022-05-21,62.0
2022-05-22,68.0
2022-05-23,69.0
2022-05-24,76.0
2022-05-25,64.0
2022-05-26,67.0
2022-05-27,57.0
2022-05-28,59.0
2022-05-29,63.0
2022-05-30,63.0
2022-05-31,67.0
2022-06-01,67.0
2022-06-02,69.0
2022-06-03,62.0
2022-06-04,63.0
2022-06-05,62.0
2022-06-06,66.0
2022-06-07,63.0
2022-06-08,73.0
2022-06-09,67.0
2022-06-10,64.0
2022-06-11,63.0
2022-06-12,63.0
2022-06-13,68.0
2022-06-14,69.0
2022-06-15,71.0
2022-06-16,69.0
2022-06-17,63.0
2022-06-18,58.0
2022-06-19,61.0
2022-06-20,70.0
2022-06-21,69.0
2022-06-22,70.0
2022-06-23,76.0
2022-06-24,63.0
2022-06-25,61.0
2022-06-26,67.0
2022-06-27,69.0
2022-06-28,70.0
2022-06-29,71.0
2022-06-30,66.0
2022-07-01,61.0
2022-07-02,59.0
2022-07-03,60.0
2022-07-04,65.0
2022-07-05,63.0
2022-07-06,69.0
2022-07-07,68.0
2022-07-08,64.0
2022-07-09,63.0
2022-07-10,63.0
2022-07-11,69.0
2022-07-12,63.0
2022-07-13,68.0
2022-07-14,69.0
2022-07-15,69.0
2022-07-16,56.0
2022-07-17,65.0
2022-07-18,70.0
2022-07-19,68.0
2022-07-20,66.0
