Time,commoner
2022-01-01,32.0
2022-01-02,27.0
2022-01-03,32.0
2022-01-04,32.0
2022-01-05,26.0
2022-01-06,29.0
2022-01-07,32.0
2022-01-08,55.0
2022-01-09,31.0
2022-01-10,30.0
2022-01-11,25.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,35.0
2022-01-15,34.0
2022-01-16,37.0
2022-01-17,35.0
2022-01-18,34.0
2022-01-19,32.0
2022-01-20,26.0
2022-01-21,18.0
2022-01-22,46.0
2022-01-23,39.0
2022-01-24,48.0
2022-01-25,27.0
2022-01-26,22.0
2022-01-27,25.0
2022-01-28,0.0
2022-01-29,28.0
2022-01-30,46.0
2022-01-31,30.0
2022-02-01,38.0
2022-02-02,37.0
2022-02-03,35.0
2022-02-04,30.0
2022-02-05,46.0
2022-02-06,57.0
2022-02-07,35.0
2022-02-08,34.0
2022-02-09,37.0
2022-02-10,24.0
2022-02-11,31.0
2022-02-12,49.0
2022-02-13,34.0
2022-02-14,41.0
2022-02-15,38.0
2022-02-16,25.0
2022-02-17,31.0
2022-02-18,28.0
2022-02-19,48.0
2022-02-20,57.0
2022-02-21,44.0
2022-02-22,47.0
2022-02-23,25.0
2022-02-24,23.0
2022-02-25,26.0
2022-02-26,35.0
2022-02-27,46.0
2022-02-28,41.0
2022-03-01,41.0
2022-03-02,21.0
2022-03-03,28.0
2022-03-04,41.0
2022-03-05,52.0
2022-03-06,51.0
2022-03-07,33.0
2022-03-08,28.0
2022-03-09,39.0
2022-03-10,33.0
2022-03-11,36.0
2022-03-12,52.0
2022-03-13,44.0
2022-03-14,31.0
2022-03-15,35.0
2022-03-16,27.0
2022-03-17,36.0
2022-03-18,58.0
2022-03-19,44.0
2022-03-20,44.0
2022-03-21,39.0
2022-03-22,26.0
2022-03-23,19.0
2022-03-24,27.0
2022-03-25,31.0
2022-03-26,40.0
2022-03-27,35.0
2022-03-28,39.0
2022-03-29,45.0
2022-03-30,28.0
2022-03-31,33.0
2022-04-01,42.0
2022-04-02,38.0
2022-04-03,32.0
2022-04-04,32.0
2022-04-05,44.0
2022-04-06,22.0
2022-04-07,39.0
2022-04-08,30.0
2022-04-09,39.0
2022-04-10,38.0
2022-04-11,25.0
2022-04-12,31.0
2022-04-13,24.0
2022-04-14,27.0
2022-04-15,38.0
2022-04-16,33.0
2022-04-17,51.0
2022-04-18,36.0
2022-04-19,40.0
2022-04-20,35.0
2022-04-21,24.0
2022-04-22,33.0
2022-04-23,37.0
2022-04-24,33.0
2022-04-25,30.0
2022-04-26,23.0
2022-04-27,35.0
2022-04-28,39.0
2022-04-29,39.0
2022-04-30,52.0
2022-05-01,48.0
2022-05-02,45.0
2022-05-03,40.0
2022-05-04,40.0
2022-05-05,40.0
2022-05-06,46.0
2022-05-07,41.0
2022-05-08,42.0
2022-05-09,33.0
2022-05-10,25.0
2022-05-11,42.0
2022-05-12,34.0
2022-05-13,34.0
2022-05-14,23.0
2022-05-15,49.0
2022-05-16,30.0
2022-05-17,36.0
2022-05-18,30.0
2022-05-19,27.0
2022-05-20,25.0
2022-05-21,37.0
2022-05-22,31.0
2022-05-23,21.0
2022-05-24,23.0
2022-05-25,23.0
2022-05-26,15.0
2022-05-27,18.0
2022-05-28,31.0
2022-05-29,31.0
2022-05-30,0.0
2022-05-31,20.0
2022-06-01,16.0
2022-06-02,26.0
2022-06-03,30.0
2022-06-04,31.0
2022-06-05,28.0
2022-06-06,31.0
2022-06-07,33.0
2022-06-08,30.0
2022-06-09,20.0
2022-06-10,23.0
2022-06-11,42.0
2022-06-12,32.0
2022-06-13,24.0
2022-06-14,23.0
2022-06-15,27.0
2022-06-16,28.0
2022-06-17,31.0
2022-06-18,38.0
2022-06-19,36.0
2022-06-20,32.0
2022-06-21,22.0
2022-06-22,26.0
2022-06-23,0.0
2022-06-24,28.0
2022-06-25,0.0
2022-06-26,29.0
2022-06-27,29.0
2022-06-28,29.0
2022-06-29,24.0
2022-06-30,33.0
2022-07-01,40.0
2022-07-02,36.0
2022-07-03,25.0
2022-07-04,32.0
2022-07-05,21.0
2022-07-06,23.0
2022-07-07,23.0
2022-07-08,29.0
2022-07-09,29.0
2022-07-10,33.0
2022-07-11,19.0
2022-07-12,33.0
2022-07-13,23.0
2022-07-14,21.0
2022-07-15,36.0
2022-07-16,38.0
2022-07-17,55.0
2022-07-18,42.0
2022-07-19,35.0
2022-07-20,29.0
2022-07-21,21.0
2022-07-22,28.0
2022-07-23,19.0
2022-07-24,35.0
2022-07-25,37.0
2022-07-26,19.0
2022-07-27,27.0
2022-07-28,36.0
2022-07-29,16.0
2022-07-30,39.0
2022-07-31,42.0
2022-08-01,27.0
2022-08-02,26.0
2022-08-03,31.0
2022-08-04,32.0
2022-08-05,24.0
2022-08-06,34.0
2022-08-07,40.0
2022-08-08,22.0
2022-08-09,25.0
2022-08-10,26.0
2022-08-11,26.0
2022-08-12,23.0
2022-08-13,40.0
2022-08-14,52.0
2022-08-15,31.0
2022-08-16,19.0
2022-08-17,0.0
2022-08-18,29.0
2022-08-19,27.0
2022-08-20,27.0
2022-08-21,27.0
2022-08-22,26.0
2022-08-23,31.0
2022-08-24,31.0
2022-08-25,16.0
2022-08-26,28.0
2022-08-27,51.0
2022-08-28,36.0
2022-08-29,28.0
2022-08-30,28.0
2022-08-31,35.0
2022-09-01,20.0
2022-09-02,36.0
2022-09-03,38.0
2022-09-04,36.0
2022-09-05,27.0
2022-09-06,36.0
2022-09-07,31.0
2022-09-08,77.0
2022-09-09,100.0
2022-09-10,88.0
2022-09-11,92.0
2022-09-12,60.0
2022-09-13,59.0
2022-09-14,31.0
2022-09-15,50.0
2022-09-16,45.0
2022-09-17,38.0
2022-09-18,45.0
2022-09-19,73.0
2022-09-20,57.0
2022-09-21,38.0
2022-09-22,45.0
2022-09-23,43.0
2022-09-24,57.0
2022-09-25,38.0
2022-09-26,34.0
2022-09-27,36.0
2022-09-28,33.0
2022-09-29,36.0
2022-09-30,40.0
2022-10-01,42.0
2022-10-02,40.0
2022-10-03,27.0
2022-10-04,33.0
2022-10-05,36.0
2022-10-06,32.0
2022-10-07,16.0
2022-10-08,27.0
2022-10-09,46.0
2022-10-10,31.0
2022-10-11,29.0
2022-10-12,22.0
2022-10-13,36.0
2022-10-14,30.0
2022-10-15,41.0
2022-10-16,43.0
2022-10-17,28.0
2022-10-18,28.0
2022-10-19,25.0
2022-10-20,24.0
2022-10-21,26.0
2022-10-22,39.0
2022-10-23,39.0
2022-10-24,23.0
2022-10-25,29.0
2022-10-26,26.0
2022-10-27,48.0
2022-10-28,29.0
2022-10-29,23.0
2022-10-30,34.0
2022-10-31,31.0
2022-11-01,15.0
2022-11-02,27.0
2022-11-03,32.0
2022-11-04,28.0
2022-11-05,46.0
2022-11-06,21.0
2022-11-07,28.0
2022-11-08,31.0
2022-11-09,31.0
2022-11-10,40.0
2022-11-11,27.0
2022-11-12,38.0
2022-11-13,39.0
2022-11-14,28.0
2022-11-15,37.0
2022-11-16,33.0
2022-11-17,36.0
2022-11-18,37.0
2022-11-19,39.0
2022-11-20,21.0
2022-11-21,35.0
2022-11-22,30.0
2022-11-23,36.0
2022-11-24,21.0
2022-11-25,29.0
2022-11-26,26.0
2022-11-27,29.0
2022-11-28,26.0
2022-11-29,30.0
2022-11-30,19.0
2022-12-01,25.0
2022-12-02,26.0
2022-12-03,36.0
2022-12-04,28.0
2022-12-05,32.0
2022-12-06,30.0
2022-12-07,26.0
2022-12-08,33.0
2022-12-09,30.0
2022-12-10,54.0
2022-12-11,46.0
2022-12-12,40.0
2022-12-13,28.0
2022-12-14,41.0
2022-12-15,27.0
2022-12-16,51.0
2022-12-17,35.0
2022-12-18,30.0
2022-12-19,18.0
2022-12-20,26.0
2022-12-21,30.0
2022-12-22,32.0
2022-12-23,26.0
2022-12-24,0.0
2022-12-25,23.0
2022-12-26,27.0
2022-12-27,31.0
2022-12-28,22.0
2022-12-29,16.0
2022-12-30,29.0
2022-12-31,29.0
2023-01-01,22.0
2023-01-02,18.0
2023-01-03,22.0
2023-01-04,29.0
2023-01-05,37.0
2023-01-06,45.0
2023-01-07,36.0
2023-01-08,38.0
2023-01-09,35.0
2023-01-10,31.0
2023-01-11,26.0
2023-01-12,24.0
2023-01-13,33.0
2023-01-14,41.0
2023-01-15,42.0
2023-01-16,28.0
2023-01-17,23.0
2023-01-18,23.0
2023-01-19,41.0
2023-01-20,28.0
2023-01-21,42.0
2023-01-22,48.0
2023-01-23,38.0
2023-01-24,25.0
2023-01-25,29.0
2023-01-26,83.0
2023-01-27,63.0
2023-01-28,35.0
2023-01-29,36.0
2023-01-30,27.0
2023-01-31,34.0
2023-02-01,23.0
2023-02-02,39.0
2023-02-03,31.0
2023-02-04,43.0
2023-02-05,46.0
2023-02-06,28.0
2023-02-07,29.0
2023-02-08,37.0
2023-02-09,30.0
2023-02-10,22.0
2023-02-11,32.0
2023-02-12,49.0
2023-02-13,32.0
2023-02-14,29.0
2023-02-15,19.0
2023-02-16,30.0
2023-02-17,45.0
2023-02-18,40.0
2023-02-19,46.0
2023-02-20,21.0
2023-02-21,29.0
2023-02-22,17.0
2023-02-23,34.0
2023-02-24,41.0
2023-02-25,22.0
2023-02-26,35.0
2023-02-27,0.0
2023-02-28,19.0
2023-03-01,24.0
2023-03-02,38.0
2023-03-03,28.0
2023-03-04,42.0
2023-03-05,41.0
2023-03-06,26.0
2023-03-07,22.0
2023-03-08,40.0
2023-03-09,29.0
2023-03-10,20.0
2023-03-11,41.0
2023-03-12,53.0
2023-03-13,29.0
2023-03-14,31.0
2023-03-15,25.0
2023-03-16,34.0
2023-03-17,86.0
2023-03-18,51.0
2023-03-19,31.0
2023-03-20,21.0
2023-03-21,30.0
2023-03-22,32.0
2023-03-23,17.0
2023-03-24,17.0
2023-03-25,34.0
2023-03-26,34.0
2023-03-27,24.0
2023-03-28,34.0
2023-03-29,27.0
2023-03-30,29.0
2023-03-31,26.0
2023-04-01,33.0
2023-04-02,23.0
2023-04-03,35.0
2023-04-04,17.0
2023-04-05,30.0
2023-04-06,19.0
2023-04-07,24.0
2023-04-08,37.0
2023-04-09,40.0
2023-04-10,26.0
2023-04-11,35.0
2023-04-12,21.0
2023-04-13,31.0
2023-04-14,17.0
2023-04-15,32.0
2023-04-16,21.0
2023-04-17,24.0
2023-04-18,17.0
2023-04-19,16.0
2023-04-20,27.0
2023-04-21,43.0
2023-04-22,41.0
2023-04-23,37.0
2023-04-24,38.0
2023-04-25,31.0
2023-04-26,27.0625
2023-04-27,34.5625
2023-04-28,28.9375
2023-04-29,35.0
2023-04-30,24.25
2023-05-01,40.125
2023-05-02,28.9375
2023-05-03,20.0625
2023-05-04,28.9375
2023-05-05,27.0625
2023-05-06,87.25
2023-05-07,67.1875
2023-05-08,51.3125
2023-05-09,30.3125
2023-05-10,46.1875
2023-05-11,21.0
2023-05-12,49.9375
2023-05-13,35.9375
2023-05-14,47.125
2023-05-15,28.0
2023-05-16,38.75
