Time,frugal
2022-01-01,47.0
2022-01-02,44.0
2022-01-03,47.0
2022-01-04,59.0
2022-01-05,56.0
2022-01-06,35.0
2022-01-07,56.0
2022-01-08,49.0
2022-01-09,56.0
2022-01-10,48.0
2022-01-11,55.0
2022-01-12,44.0
2022-01-13,68.0
2022-01-14,43.0
2022-01-15,54.0
2022-01-16,46.0
2022-01-17,46.0
2022-01-18,44.0
2022-01-19,47.0
2022-01-20,46.0
2022-01-21,49.0
2022-01-22,51.0
2022-01-23,51.0
2022-01-24,51.0
2022-01-25,51.0
2022-01-26,42.0
2022-01-27,50.0
2022-01-28,58.0
2022-01-29,49.0
2022-01-30,59.0
2022-01-31,49.0
2022-02-01,63.0
2022-02-02,54.0
2022-02-03,53.0
2022-02-04,51.0
2022-02-05,60.0
2022-02-06,54.0
2022-02-07,55.0
2022-02-08,56.0
2022-02-09,43.0
2022-02-10,56.0
2022-02-11,64.0
2022-02-12,64.0
2022-02-13,49.0
2022-02-14,42.0
2022-02-15,48.0
2022-02-16,60.0
2022-02-17,59.0
2022-02-18,54.0
2022-02-19,59.0
2022-02-20,62.0
2022-02-21,59.0
2022-02-22,54.0
2022-02-23,55.0
2022-02-24,58.0
2022-02-25,45.0
2022-02-26,53.0
2022-02-27,58.0
2022-02-28,49.0
2022-03-01,54.0
2022-03-02,45.0
2022-03-03,55.0
2022-03-04,56.0
2022-03-05,61.0
2022-03-06,61.0
2022-03-07,47.0
2022-03-08,51.0
2022-03-09,57.0
2022-03-10,54.0
2022-03-11,63.0
2022-03-12,53.0
2022-03-13,54.0
2022-03-14,45.0
2022-03-15,49.0
2022-03-16,52.0
2022-03-17,56.0
2022-03-18,62.0
2022-03-19,58.0
2022-03-20,50.0
2022-03-21,52.0
2022-03-22,52.0
2022-03-23,55.0
2022-03-24,48.0
2022-03-25,49.0
2022-03-26,63.0
2022-03-27,57.0
2022-03-28,52.0
2022-03-29,53.0
2022-03-30,65.0
2022-03-31,53.0
2022-04-01,52.0
2022-04-02,53.0
2022-04-03,61.0
2022-04-04,55.0
2022-04-05,58.0
2022-04-06,65.0
2022-04-07,54.0
2022-04-08,70.0
2022-04-09,57.0
2022-04-10,52.0
2022-04-11,69.0
2022-04-12,82.0
2022-04-13,100.0
2022-04-14,67.0
2022-04-15,64.0
2022-04-16,62.0
2022-04-17,54.0
2022-04-18,59.0
2022-04-19,58.0
2022-04-20,55.0
2022-04-21,65.0
2022-04-22,54.0
2022-04-23,55.0
2022-04-24,54.0
2022-04-25,49.0
2022-04-26,58.0
2022-04-27,53.0
2022-04-28,59.0
2022-04-29,52.0
2022-04-30,51.0
2022-05-01,48.0
2022-05-02,52.0
