Time,skill
2022-01-01,60.0
2022-01-02,67.0
2022-01-03,64.0
2022-01-04,70.0
2022-01-05,71.0
2022-01-06,53.0
2022-01-07,64.0
2022-01-08,66.0
2022-01-09,68.0
2022-01-10,62.0
2022-01-11,67.0
2022-01-12,69.0
2022-01-13,72.0
2022-01-14,56.0
2022-01-15,66.0
2022-01-16,57.0
2022-01-17,61.0
2022-01-18,62.0
2022-01-19,64.0
2022-01-20,66.0
2022-01-21,62.0
2022-01-22,67.0
2022-01-23,66.0
2022-01-24,87.0
2022-01-25,65.0
2022-01-26,63.0
2022-01-27,69.0
2022-01-28,70.0
2022-01-29,71.0
2022-01-30,73.0
2022-01-31,66.0
2022-02-01,69.0
2022-02-02,71.0
2022-02-03,69.0
2022-02-04,72.0
2022-02-05,74.0
2022-02-06,90.0
2022-02-07,85.0
2022-02-08,82.0
2022-02-09,86.0
2022-02-10,66.0
2022-02-11,78.0
2022-02-12,91.0
2022-02-13,95.0
2022-02-14,83.0
2022-02-15,90.0
2022-02-16,91.0
2022-02-17,95.0
2022-02-18,94.0
2022-02-19,100.0
2022-02-20,96.0
2022-02-21,97.0
2022-02-22,94.0
2022-02-23,85.0
2022-02-24,77.0
2022-02-25,75.0
2022-02-26,83.0
2022-02-27,88.0
2022-02-28,88.0
2022-03-01,83.0
2022-03-02,78.0
2022-03-03,76.0
2022-03-04,77.0
2022-03-05,79.0
2022-03-06,78.0
2022-03-07,75.0
2022-03-08,75.0
2022-03-09,77.0
2022-03-10,70.0
2022-03-11,71.0
2022-03-12,73.0
2022-03-13,73.0
2022-03-14,74.0
2022-03-15,70.0
2022-03-16,69.0
2022-03-17,69.0
2022-03-18,67.0
2022-03-19,68.0
2022-03-20,71.0
2022-03-21,68.0
2022-03-22,72.0
2022-03-23,73.0
2022-03-24,76.0
2022-03-25,76.0
2022-03-26,76.0
2022-03-27,84.0
2022-03-28,73.0
2022-03-29,81.0
2022-03-30,79.0
2022-03-31,77.0
2022-04-01,71.0
2022-04-02,73.0
2022-04-03,72.0
2022-04-04,74.0
2022-04-05,73.0
2022-04-06,72.0
2022-04-07,70.0
2022-04-08,69.0
2022-04-09,69.0
2022-04-10,69.0
2022-04-11,69.0
2022-04-12,71.0
2022-04-13,68.0
2022-04-14,72.0
2022-04-15,68.0
2022-04-16,65.0
2022-04-17,67.0
2022-04-18,73.0
2022-04-19,68.0
2022-04-20,69.0
2022-04-21,71.0
2022-04-22,66.0
2022-04-23,66.0
2022-04-24,70.0
2022-04-25,69.0
2022-04-26,73.0
2022-04-27,67.0
2022-04-28,72.0
2022-04-29,67.0
2022-04-30,65.0
2022-05-01,66.0
2022-05-02,72.0
2022-05-03,71.0
2022-05-04,68.0
2022-05-05,69.0
2022-05-06,65.0
2022-05-07,65.0
2022-05-08,65.0
2022-05-09,70.0
2022-05-10,66.0
2022-05-11,89.0
2022-05-12,66.0
2022-05-13,64.0
2022-05-14,63.0
2022-05-15,66.0
2022-05-16,69.0
2022-05-17,67.0
2022-05-18,67.0
2022-05-19,67.0
2022-05-20,61.0
2022-05-21,64.0
2022-05-22,64.0
2022-05-23,70.0
2022-05-24,65.0
2022-05-25,65.0
2022-05-26,65.0
2022-05-27,61.0
2022-05-28,61.0
2022-05-29,65.0
2022-05-30,65.0
2022-05-31,63.0
2022-06-01,62.0
2022-06-02,64.0
2022-06-03,60.0
2022-06-04,59.0
2022-06-05,64.0
2022-06-06,59.0
2022-06-07,64.0
2022-06-08,64.0
2022-06-09,61.0
2022-06-10,60.0
2022-06-11,57.0
2022-06-12,64.0
2022-06-13,64.0
2022-06-14,62.0
2022-06-15,63.0
2022-06-16,65.0
2022-06-17,63.0
2022-06-18,63.0
2022-06-19,65.0
2022-06-20,65.0
2022-06-21,62.0
2022-06-22,65.0
2022-06-23,67.0
2022-06-24,62.0
2022-06-25,62.0
2022-06-26,67.0
2022-06-27,64.0
2022-06-28,67.0
2022-06-29,65.0
2022-06-30,61.0
2022-07-01,58.0
2022-07-02,63.0
2022-07-03,62.0
2022-07-04,68.0
2022-07-05,63.0
2022-07-06,67.0
2022-07-07,67.0
2022-07-08,63.0
2022-07-09,64.0
2022-07-10,72.0
2022-07-11,69.0
2022-07-12,67.0
2022-07-13,67.0
2022-07-14,64.0
2022-07-15,63.0
2022-07-16,61.0
2022-07-17,70.0
2022-07-18,67.0
2022-07-19,67.0
2022-07-20,64.0
2022-07-21,66.0
2022-07-22,69.0
2022-07-23,64.0
2022-07-24,69.0
2022-07-25,67.0
2022-07-26,65.0
2022-07-27,64.0
2022-07-28,68.0
2022-07-29,68.0
2022-07-30,63.0
2022-07-31,67.0
2022-08-01,62.0
2022-08-02,64.0
2022-08-03,59.0
2022-08-04,65.0
2022-08-05,62.0
2022-08-06,61.0
2022-08-07,68.0
2022-08-08,61.0
2022-08-09,65.0
2022-08-10,59.0
2022-08-11,66.0
2022-08-12,65.0
2022-08-13,63.0
2022-08-14,67.0
2022-08-15,70.0
2022-08-16,70.0
2022-08-17,64.0
2022-08-18,65.0
2022-08-19,69.0
2022-08-20,66.0
2022-08-21,67.0
2022-08-22,69.0
2022-08-23,71.0
2022-08-24,69.0
2022-08-25,70.0
2022-08-26,69.0
2022-08-27,66.0
2022-08-28,72.0
2022-08-29,68.66949152542372
2022-08-30,68.66949152542372
2022-08-31,68.16949152542372
2022-09-01,66.44915254237289
2022-09-02,65.94915254237289
2022-09-03,58.78813559322034
2022-09-04,63.228813559322035
2022-09-05,67.66949152542372
2022-09-06,67.5593220338983
2022-09-07,70.88983050847457
2022-09-08,67.5593220338983
2022-09-09,68.16949152542372
2022-09-10,63.728813559322035
2022-09-11,65.94915254237289
2022-09-12,70.88983050847457
2022-09-13,70.38983050847457
2022-09-14,72.0
2022-09-15,73.61016949152543
2022-09-16,64.94915254237289
2022-09-17,61.00847457627118
2022-09-18,64.33898305084746
2022-09-19,73.11016949152543
2022-09-20,73.11016949152543
2022-09-21,69.27966101694915
2022-09-22,72.0
2022-09-23,64.83898305084746
2022-09-24,61.00847457627118
2022-09-25,64.83898305084746
2022-09-26,71.5
2022-09-27,68.33898305084746
2022-09-28,70.77966101694916
2022-09-29,68.33898305084746
2022-09-30,68.33898305084746
2022-10-01,64.67796610169492
2022-10-02,65.89830508474577
2022-10-03,72.0
2022-10-04,74.4406779661017
2022-10-05,72.0
2022-10-06,74.4406779661017
2022-10-07,65.89830508474577
2022-10-08,64.67796610169492
2022-10-09,63.45762711864407
