Time,shein
2022-01-01,44.0
2022-01-02,58.0
2022-01-03,59.0
2022-01-04,62.0
2022-01-05,56.0
2022-01-06,44.0
2022-01-07,56.0
2022-01-08,65.0
2022-01-09,67.0
2022-01-10,59.0
2022-01-11,54.0
2022-01-12,54.0
2022-01-13,55.0
2022-01-14,46.0
2022-01-15,62.0
2022-01-16,65.0
2022-01-17,62.0
2022-01-18,53.0
2022-01-19,51.0
2022-01-20,55.0
2022-01-21,57.0
2022-01-22,66.0
2022-01-23,71.0
2022-01-24,74.0
2022-01-25,51.0
2022-01-26,53.0
2022-01-27,56.0
2022-01-28,62.0
2022-01-29,73.0
2022-01-30,75.0
2022-01-31,64.0
2022-02-01,57.0
2022-02-02,57.0
2022-02-03,62.0
2022-02-04,66.0
2022-02-05,65.0
2022-02-06,79.0
2022-02-07,63.0
2022-02-08,59.0
2022-02-09,58.0
2022-02-10,49.0
2022-02-11,57.0
2022-02-12,63.0
2022-02-13,61.0
2022-02-14,51.0
2022-02-15,58.0
2022-02-16,59.0
2022-02-17,62.0
2022-02-18,64.0
2022-02-19,66.0
2022-02-20,77.0
2022-02-21,74.0
2022-02-22,69.0
2022-02-23,67.0
2022-02-24,62.0
2022-02-25,64.0
2022-02-26,65.0
2022-02-27,82.0
2022-02-28,71.0
2022-03-01,68.0
2022-03-02,67.0
2022-03-03,67.0
2022-03-04,63.0
2022-03-05,73.0
2022-03-06,80.0
2022-03-07,74.0
2022-03-08,72.0
2022-03-09,69.0
2022-03-10,73.0
2022-03-11,68.0
2022-03-12,76.0
2022-03-13,79.0
2022-03-14,76.0
2022-03-15,74.0
2022-03-16,73.0
2022-03-17,71.0
2022-03-18,70.0
2022-03-19,79.0
2022-03-20,87.0
2022-03-21,78.0
2022-03-22,74.0
2022-03-23,75.0
2022-03-24,74.0
2022-03-25,75.0
2022-03-26,77.0
2022-03-27,87.0
2022-03-28,74.0
2022-03-29,74.0
2022-03-30,76.0
2022-03-31,69.0
2022-04-01,72.0
2022-04-02,78.0
2022-04-03,90.0
2022-04-04,82.0
2022-04-05,75.0
2022-04-06,76.0
2022-04-07,75.0
2022-04-08,72.0
2022-04-09,77.0
2022-04-10,86.0
2022-04-11,80.0
2022-04-12,76.0
2022-04-13,72.0
2022-04-14,72.0
2022-04-15,72.0
2022-04-16,75.0
2022-04-17,82.0
2022-04-18,82.0
2022-04-19,76.0
2022-04-20,74.0
2022-04-21,76.0
2022-04-22,72.0
2022-04-23,76.0
2022-04-24,87.0
2022-04-25,85.0
2022-04-26,71.0
2022-04-27,72.0
2022-04-28,70.0
2022-04-29,69.0
2022-04-30,78.0
2022-05-01,89.0
2022-05-02,82.0
2022-05-03,73.0
2022-05-04,72.0
2022-05-05,69.0
2022-05-06,73.0
2022-05-07,79.0
2022-05-08,82.0
2022-05-09,79.0
2022-05-10,77.0
2022-05-11,79.0
2022-05-12,83.0
2022-05-13,77.0
2022-05-14,83.0
2022-05-15,96.0
2022-05-16,88.0
2022-05-17,81.0
2022-05-18,77.0
2022-05-19,81.0
2022-05-20,78.0
2022-05-21,87.0
2022-05-22,95.0
2022-05-23,86.0
2022-05-24,83.0
2022-05-25,73.0
2022-05-26,77.0
2022-05-27,77.0
2022-05-28,83.0
2022-05-29,88.0
2022-05-30,100.0
2022-05-31,85.0
2022-06-01,82.0
2022-06-02,79.0
2022-06-03,77.0
2022-06-04,80.0
2022-06-05,90.0
2022-06-06,81.0
2022-06-07,84.0
2022-06-08,80.0
2022-06-09,82.0
2022-06-10,77.0
2022-06-11,78.0
2022-06-12,87.0
2022-06-13,81.0
2022-06-14,84.0
2022-06-15,81.0
2022-06-16,79.0
2022-06-17,73.0
2022-06-18,78.0
2022-06-19,81.0
2022-06-20,84.0
2022-06-21,80.0
2022-06-22,82.0
2022-06-23,76.0
2022-06-24,76.0
2022-06-25,82.0
2022-06-26,89.0
2022-06-27,83.0
2022-06-28,78.0
2022-06-29,75.0
2022-06-30,74.0
2022-07-01,71.0
2022-07-02,66.0
2022-07-03,77.0
2022-07-04,76.0
2022-07-05,71.0
2022-07-06,76.0
2022-07-07,73.0
2022-07-08,76.0
2022-07-09,72.0
2022-07-10,84.0
2022-07-11,79.0
2022-07-12,72.0
2022-07-13,74.0
2022-07-14,72.0
2022-07-15,79.0
2022-07-16,88.0
2022-07-17,95.0
2022-07-18,81.0
2022-07-19,84.0
2022-07-20,79.0
2022-07-21,77.0
2022-07-22,74.0
2022-07-23,76.0
2022-07-24,84.0
2022-07-25,84.0
2022-07-26,82.0
2022-07-27,77.0
2022-07-28,79.0
2022-07-29,75.0
2022-07-30,73.0
2022-07-31,88.0
2022-08-01,81.0
2022-08-02,77.0
2022-08-03,79.0
2022-08-04,80.0
2022-08-05,78.0
2022-08-06,76.0
2022-08-07,88.0
2022-08-08,82.0
2022-08-09,80.0
2022-08-10,76.0
2022-08-11,72.0
2022-08-12,71.0
2022-08-13,79.0
2022-08-14,87.0
2022-08-15,79.0
2022-08-16,77.0
2022-08-17,76.0
2022-08-18,74.0
2022-08-19,70.0
2022-08-20,73.0
2022-08-21,89.0
2022-08-22,71.0
2022-08-23,70.0
2022-08-24,65.0
2022-08-25,67.0
2022-08-26,66.0
2022-08-27,74.0
2022-08-28,80.0
2022-08-29,70.07821229050279
2022-08-30,66.90782122905028
2022-08-31,66.90782122905028
2022-09-01,67.96461824953445
2022-09-02,65.85102420856612
2022-09-03,65.85102420856612
2022-09-04,77.975791433892
2022-09-05,83.75977653631284
2022-09-06,64.79422718808195
2022-09-07,63.737430167597765
2022-09-08,65.35102420856612
2022-09-09,64.29422718808195
2022-09-10,69.02141527001862
2022-09-11,80.08938547486034
2022-09-12,72.19180633147113
2022-09-13,71.13500931098696
2022-09-14,66.40782122905028
2022-09-15,67.96461824953445
2022-09-16,65.35102420856612
2022-09-17,71.13500931098696
2022-09-18,81.1461824953445
2022-09-19,73.74860335195531
2022-09-20,67.96461824953445
2022-09-21,65.85102420856612
2022-09-22,69.02141527001862
2022-09-23,66.40782122905028
2022-09-24,72.19180633147113
2022-09-25,83.75977653631284
2022-09-26,75.86219739292366
2022-09-27,70.07821229050279
2022-09-28,70.1564245810056
2022-09-29,69.04283054003724
2022-09-30,70.1564245810056
2022-10-01,76.83798882681565
2022-10-02,83.5195530726257
2022-10-03,77.95158286778398
2022-10-04,75.72439478584731
