Time,jamie_lee_curtis
2022-01-01,23.0
2022-01-02,19.0
2022-01-03,15.0
2022-01-04,16.0
2022-01-05,16.0
2022-01-06,8.0
2022-01-07,16.0
2022-01-08,17.0
2022-01-09,15.0
2022-01-10,12.0
2022-01-11,13.0
2022-01-12,13.0
2022-01-13,14.0
2022-01-14,9.0
2022-01-15,19.0
2022-01-16,20.0
2022-01-17,14.0
2022-01-18,10.0
2022-01-19,14.0
2022-01-20,15.0
2022-01-21,19.0
2022-01-22,20.0
2022-01-23,19.0
2022-01-24,22.0
2022-01-25,11.0
2022-01-26,14.0
2022-01-27,17.0
2022-01-28,20.0
2022-01-29,19.0
2022-01-30,20.0
2022-01-31,13.0
2022-02-01,9.0
2022-02-02,9.0
2022-02-03,12.0
2022-02-04,13.0
2022-02-05,18.0
2022-02-06,17.0
2022-02-07,13.0
2022-02-08,14.0
2022-02-09,11.0
2022-02-10,11.0
2022-02-11,14.0
2022-02-12,18.0
2022-02-13,18.0
2022-02-14,12.0
2022-02-15,12.0
2022-02-16,10.0
2022-02-17,11.0
2022-02-18,13.0
2022-02-19,20.0
2022-02-20,18.0
2022-02-21,12.0
2022-02-22,13.0
2022-02-23,16.0
2022-02-24,18.0
2022-02-25,17.0
2022-02-26,24.0
2022-02-27,21.0
2022-02-28,16.0
2022-03-01,13.0
2022-03-02,13.0
2022-03-03,16.0
2022-03-04,14.0
2022-03-05,20.0
2022-03-06,28.0
2022-03-07,15.0
2022-03-08,25.0
2022-03-09,16.0
2022-03-10,17.0
2022-03-11,41.0
2022-03-12,84.0
2022-03-13,100.0
2022-03-14,41.0
2022-03-15,28.0
2022-03-16,25.0
2022-03-17,14.0
2022-03-18,18.0
2022-03-19,23.0
2022-03-20,30.0
2022-03-21,19.0
2022-03-22,18.0
2022-03-23,71.0
2022-03-24,42.0
2022-03-25,28.0
2022-03-26,27.0
2022-03-27,48.0
2022-03-28,60.0
2022-03-29,36.0
2022-03-30,31.0
2022-03-31,27.0
2022-04-01,31.0
2022-04-02,36.0
2022-04-03,32.0
2022-04-04,18.0
2022-04-05,18.0
2022-04-06,27.0
2022-04-07,23.0
2022-04-08,28.0
2022-04-09,32.0
2022-04-10,27.0
2022-04-11,36.0
2022-04-12,16.0
2022-04-13,18.0
2022-04-14,17.0
2022-04-15,17.0
2022-04-16,22.0
2022-04-17,26.0
2022-04-18,17.0
2022-04-19,13.0
2022-04-20,15.0
2022-04-21,44.0
2022-04-22,24.0
2022-04-23,29.0
2022-04-24,27.0
2022-04-25,17.0
2022-04-26,14.0
2022-04-27,15.0
2022-04-28,26.0
2022-04-29,25.0
2022-04-30,31.0
2022-05-01,30.0
2022-05-02,18.0
2022-05-03,18.0
2022-05-04,18.0
2022-05-05,16.0
2022-05-06,16.0
2022-05-07,21.0
2022-05-08,24.0
2022-05-09,16.0
2022-05-10,14.0
2022-05-11,16.0
