Time,broke
2022-01-01,81.0
2022-01-02,82.0
2022-01-03,76.0
2022-01-04,82.0
2022-01-05,74.0
2022-01-06,67.0
2022-01-07,77.0
2022-01-08,81.0
2022-01-09,84.0
2022-01-10,76.0
2022-01-11,74.0
2022-01-12,78.0
2022-01-13,88.0
2022-01-14,64.0
2022-01-15,74.0
2022-01-16,72.0
2022-01-17,67.0
2022-01-18,66.0
2022-01-19,72.0
2022-01-20,72.0
2022-01-21,77.0
2022-01-22,84.0
2022-01-23,79.0
2022-01-24,94.0
2022-01-25,63.0
2022-01-26,66.0
2022-01-27,70.0
2022-01-28,77.0
2022-01-29,81.0
2022-01-30,82.0
2022-01-31,76.0
2022-02-01,75.0
2022-02-02,73.0
2022-02-03,75.0
2022-02-04,74.0
2022-02-05,82.0
2022-02-06,82.0
2022-02-07,76.0
2022-02-08,77.0
2022-02-09,77.0
2022-02-10,66.0
2022-02-11,77.0
2022-02-12,84.0
2022-02-13,80.0
2022-02-14,79.0
2022-02-15,79.0
2022-02-16,81.0
2022-02-17,81.0
2022-02-18,86.0
2022-02-19,82.0
2022-02-20,80.0
2022-02-21,78.0
2022-02-22,75.0
2022-02-23,80.0
2022-02-24,75.0
2022-02-25,73.0
2022-02-26,76.0
2022-02-27,79.0
2022-02-28,73.0
2022-03-01,75.0
2022-03-02,69.0
2022-03-03,73.0
2022-03-04,77.0
2022-03-05,85.0
2022-03-06,78.0
2022-03-07,79.0
2022-03-08,73.0
2022-03-09,74.0
2022-03-10,75.0
2022-03-11,74.0
2022-03-12,83.0
2022-03-13,83.0
2022-03-14,75.0
2022-03-15,77.0
2022-03-16,76.0
2022-03-17,72.0
2022-03-18,73.0
2022-03-19,71.0
2022-03-20,78.0
2022-03-21,72.0
2022-03-22,71.0
2022-03-23,75.0
2022-03-24,74.0
2022-03-25,78.0
2022-03-26,74.0
2022-03-27,74.0
2022-03-28,73.0
2022-03-29,76.0
2022-03-30,71.0
2022-03-31,73.0
2022-04-01,75.0
