Time,associate
2022-01-01,35.0
2022-01-02,45.0
2022-01-03,66.0
2022-01-04,80.0
2022-01-05,85.0
2022-01-06,71.0
2022-01-07,77.0
2022-01-08,50.0
2022-01-09,48.0
2022-01-10,73.0
2022-01-11,82.0
2022-01-12,84.0
2022-01-13,96.0
2022-01-14,62.0
2022-01-15,49.0
2022-01-16,44.0
2022-01-17,55.0
2022-01-18,72.0
2022-01-19,77.0
2022-01-20,81.0
2022-01-21,72.0
2022-01-22,50.0
2022-01-23,50.0
2022-01-24,100.0
2022-01-25,82.0
2022-01-26,79.0
2022-01-27,81.0
2022-01-28,75.0
2022-01-29,53.0
2022-01-30,48.0
2022-01-31,76.0
2022-02-01,79.0
2022-02-02,85.0
2022-02-03,82.0
2022-02-04,77.0
2022-02-05,50.0
2022-02-06,49.0
2022-02-07,78.0
2022-02-08,98.0
2022-02-09,90.0
2022-02-10,72.0
2022-02-11,80.0
2022-02-12,51.0
2022-02-13,47.0
2022-02-14,67.0
2022-02-15,85.0
2022-02-16,88.0
2022-02-17,83.0
2022-02-18,82.0
2022-02-19,63.0
2022-02-20,59.0
2022-02-21,73.0
2022-02-22,83.0
2022-02-23,85.0
2022-02-24,84.0
2022-02-25,73.0
2022-02-26,54.0
2022-02-27,52.0
2022-02-28,79.0
2022-03-01,84.0
2022-03-02,84.0
2022-03-03,81.0
2022-03-04,77.0
2022-03-05,56.0
2022-03-06,50.0
2022-03-07,88.0
2022-03-08,85.0
2022-03-09,87.0
2022-03-10,80.0
2022-03-11,76.0
2022-03-12,55.0
2022-03-13,48.0
2022-03-14,80.0
2022-03-15,88.0
2022-03-16,83.0
2022-03-17,80.0
2022-03-18,73.0
2022-03-19,52.0
2022-03-20,48.0
2022-03-21,77.0
2022-03-22,85.0
2022-03-23,82.0
2022-03-24,80.0
2022-03-25,71.0
2022-03-26,53.0
2022-03-27,53.0
2022-03-28,75.0
2022-03-29,81.0
2022-03-30,89.0
2022-03-31,82.0
2022-04-01,75.0
2022-04-02,53.0
2022-04-03,53.0
2022-04-04,75.0
2022-04-05,82.0
2022-04-06,81.0
2022-04-07,82.0
2022-04-08,78.0
2022-04-09,52.0
2022-04-10,52.0
2022-04-11,75.0
2022-04-12,82.0
2022-04-13,75.0
2022-04-14,78.0
2022-04-15,70.0
2022-04-16,47.0
2022-04-17,48.0
2022-04-18,81.0
2022-04-19,80.0
2022-04-20,82.0
2022-04-21,80.0
2022-04-22,72.0
2022-04-23,51.0
2022-04-24,53.0
2022-04-25,75.0
2022-04-26,81.0
2022-04-27,81.0
2022-04-28,79.0
2022-04-29,71.0
2022-04-30,53.0
2022-05-01,50.0
2022-05-02,79.0
2022-05-03,85.0
2022-05-04,83.0
2022-05-05,77.0
2022-05-06,69.0
2022-05-07,53.0
2022-05-08,49.0
2022-05-09,78.0
2022-05-10,80.0
2022-05-11,84.0
2022-05-12,76.0
2022-05-13,70.0
2022-05-14,52.0
2022-05-15,45.0
2022-05-16,72.0
2022-05-17,82.0
2022-05-18,80.0
2022-05-19,78.0
2022-05-20,72.0
2022-05-21,51.0
2022-05-22,46.0
2022-05-23,75.0
2022-05-24,79.0
2022-05-25,76.0
2022-05-26,75.0
2022-05-27,63.0
2022-05-28,45.0
2022-05-29,42.0
2022-05-30,47.0
2022-05-31,74.0
2022-06-01,76.0
2022-06-02,79.0
2022-06-03,73.0
2022-06-04,48.0
2022-06-05,45.0
2022-06-06,76.0
2022-06-07,80.0
2022-06-08,85.0
2022-06-09,86.0
2022-06-10,71.0
2022-06-11,48.0
2022-06-12,47.0
2022-06-13,77.0
2022-06-14,81.0
2022-06-15,75.0
2022-06-16,75.0
2022-06-17,69.0
2022-06-18,45.0
2022-06-19,43.0
2022-06-20,69.0
2022-06-21,77.0
2022-06-22,78.0
2022-06-23,80.0
2022-06-24,70.0
2022-06-25,49.0
2022-06-26,47.0
2022-06-27,75.0
2022-06-28,78.0
2022-06-29,83.0
2022-06-30,78.0
2022-07-01,66.0
2022-07-02,49.0
2022-07-03,43.0
2022-07-04,45.0
2022-07-05,68.0
2022-07-06,81.0
2022-07-07,78.0
2022-07-08,74.0
2022-07-09,49.0
2022-07-10,45.0
2022-07-11,75.0
2022-07-12,82.0
2022-07-13,82.0
2022-07-14,82.0
2022-07-15,72.0
2022-07-16,52.0
2022-07-17,49.0
2022-07-18,76.0
2022-07-19,92.0
2022-07-20,81.0
2022-07-21,76.0
2022-07-22,71.0
2022-07-23,48.0
2022-07-24,49.0
2022-07-25,77.0
2022-07-26,83.0
2022-07-27,80.0
2022-07-28,81.0
2022-07-29,72.0
2022-07-30,49.0
2022-07-31,47.0
2022-08-01,76.0
2022-08-02,91.0
2022-08-03,82.0
2022-08-04,79.0
2022-08-05,73.0
2022-08-06,51.0
2022-08-07,45.0
2022-08-08,78.0
2022-08-09,80.0
2022-08-10,80.0
2022-08-11,91.0
2022-08-12,77.0
2022-08-13,51.0
2022-08-14,48.0
2022-08-15,79.0
2022-08-16,85.0
2022-08-17,86.0
2022-08-18,82.0
2022-08-19,71.0
2022-08-20,52.0
2022-08-21,45.0
2022-08-22,78.0
2022-08-23,89.0
2022-08-24,83.0
2022-08-25,84.0
2022-08-26,77.0
2022-08-27,51.0
2022-08-28,45.0
2022-08-29,77.05421686746988
2022-08-30,80.98192771084337
2022-08-31,86.87349397590361
2022-09-01,77.05421686746988
2022-09-02,67.73493975903614
2022-09-03,46.132530120481924
2022-09-04,42.70481927710843
2022-09-05,48.596385542168676
2022-09-06,76.07228915662651
2022-09-07,80.0
2022-09-08,74.10843373493975
2022-09-09,73.12650602409639
2022-09-10,49.07831325301204
2022-09-11,46.132530120481924
2022-09-12,80.0
2022-09-13,81.96385542168674
2022-09-14,80.98192771084337
2022-09-15,82.94578313253012
2022-09-16,66.75301204819277
2022-09-17,45.15060240963855
2022-09-18,46.632530120481924
2022-09-19,73.12650602409639
2022-09-20,81.96385542168674
2022-09-21,93.24698795180723
2022-09-22,78.03614457831324
2022-09-23,70.68072289156626
2022-09-24,48.596385542168676
2022-09-25,41.22289156626506
2022-09-26,72.144578313253
2022-09-27,79.99999999999999
2022-09-28,74.2168674698795
2022-09-29,76.144578313253
2022-09-30,65.54216867469879
2022-10-01,48.192771084337345
2022-10-02,48.192771084337345
2022-10-03,76.144578313253
2022-10-04,82.89156626506023
2022-10-05,90.6024096385542
2022-10-06,78.0722891566265
2022-10-07,67.46987951807228
2022-10-08,51.084337349397586
2022-10-09,45.3012048192771
2022-10-10,73.25301204819276
2022-10-11,83.85542168674698
2022-10-12,82.89156626506023
2022-10-13,82.89156626506023
2022-10-14,73.25301204819276
2022-10-15,52.04819277108433
2022-10-16,49.15662650602409
2022-10-17,76.144578313253
2022-10-18,81.92771084337349
2022-10-19,81.92771084337349
2022-10-20,78.0722891566265
2022-10-21,72.28915662650601
2022-10-22,50.120481927710834
2022-10-23,51.084337349397586
2022-10-24,75.18072289156626
2022-10-25,80.96385542168673
2022-10-26,82.89156626506023
2022-10-27,80.96385542168673
2022-10-28,69.39759036144578
2022-10-29,48.192771084337345
2022-10-30,46.26506024096385
2022-10-31,73.25301204819276
2022-11-01,78.0722891566265
2022-11-02,81.92771084337349
2022-11-03,79.99999999999999
2022-11-04,75.18072289156626
2022-11-05,53.012048192771076
2022-11-06,51.084337349397586
2022-11-07,88.67469879518072
2022-11-08,96.38554216867469
2022-11-09,79.99999999999999
2022-11-10,72.28915662650601
2022-11-11,60.722891566265055
2022-11-12,49.15662650602409
2022-11-13,40.481927710843365
2022-11-14,73.25301204819276
2022-11-15,70.36144578313252
2022-11-16,75.18072289156626
2022-11-17,73.25301204819276
2022-11-18,67.46987951807228
2022-11-19,48.192771084337345
2022-11-20,41.44578313253012
2022-11-21,61.6867469879518
2022-11-22,63.614457831325296
2022-11-23,57.831325301204814
2022-11-24,34.69879518072289
2022-11-25,37.59036144578313
2022-11-26,37.59036144578313
2022-11-27,42.40963855421686
2022-11-28,68.43373493975903
2022-11-29,73.25301204819276
2022-11-30,73.25301204819276
2022-12-01,76.144578313253
2022-12-02,65.54216867469879
2022-12-03,49.15662650602409
2022-12-04,40.481927710843365
2022-12-05,68.43373493975903
2022-12-06,72.28915662650601
2022-12-07,76.144578313253
2022-12-08,76.144578313253
2022-12-09,62.650602409638545
2022-12-10,50.120481927710834
2022-12-11,45.3012048192771
2022-12-12,69.39759036144578
2022-12-13,70.36144578313252
2022-12-14,69.39759036144578
2022-12-15,66.50602409638553
2022-12-16,62.650602409638545
2022-12-17,43.37349397590361
2022-12-18,36.62650602409638
2022-12-19,61.6867469879518
2022-12-20,62.650602409638545
2022-12-21,61.6867469879518
2022-12-22,56.86746987951807
2022-12-23,45.3012048192771
2022-12-24,36.62650602409638
2022-12-25,27.95180722891566
2022-12-26,40.481927710843365
2022-12-27,55.90361445783132
2022-12-28,57.831325301204814
2022-12-29,60.722891566265055
2022-12-30,50.120481927710834
2022-12-31,39.51807228915662
2023-01-01,33.73493975903614
2023-01-02,50.120481927710834
2023-01-03,68.43373493975903
2023-01-04,78.0722891566265
2023-01-05,84.81927710843372
2023-01-06,70.36144578313252
2023-01-07,57.831325301204814
2023-01-08,53.012048192771076
2023-01-09,78.0722891566265
2023-01-10,90.6024096385542
2023-01-11,88.67469879518072
2023-01-12,82.89156626506023
2023-01-13,75.18072289156626
2023-01-14,52.04819277108433
2023-01-15,43.37349397590361
2023-01-16,60.722891566265055
2023-01-17,77.10843373493975
2023-01-18,84.81927710843372
2023-01-19,80.96385542168673
2023-01-20,73.25301204819276
2023-01-21,52.04819277108433
2023-01-22,47.2289156626506
2023-01-23,77.10843373493975
2023-01-24,80.96385542168673
2023-01-25,78.0722891566265
2023-01-26,81.92771084337349
2023-01-27,74.2168674698795
2023-01-28,51.084337349397586
2023-01-29,50.120481927710834
2023-01-30,74.2168674698795
2023-01-31,78.0722891566265
2023-02-01,84.81927710843372
2023-02-02,82.89156626506023
2023-02-03,75.18072289156626
2023-02-04,52.04819277108433
2023-02-05,49.15662650602409
2023-02-06,73.25301204819276
2023-02-07,79.99999999999999
2023-02-08,75.18072289156626
2023-02-09,75.18072289156626
2023-02-10,70.36144578313252
2023-02-11,51.084337349397586
2023-02-12,42.40963855421686
2023-02-13,67.46987951807228
2023-02-14,69.39759036144578
2023-02-15,74.2168674698795
2023-02-16,76.144578313253
2023-02-17,72.28915662650601
2023-02-18,48.192771084337345
2023-02-19,45.3012048192771
2023-02-20,60.722891566265055
2023-02-21,75.18072289156626
2023-02-22,84.81927710843372
2023-02-23,72.28915662650601
2023-02-24,72.28915662650601
2023-02-25,52.04819277108433
2023-02-26,49.15662650602409
