Time,radical
2022-01-01,26.0
2022-01-02,27.0
2022-01-03,34.0
2022-01-04,57.0
2022-01-05,57.0
2022-01-06,49.0
2022-01-07,54.0
2022-01-08,32.0
2022-01-09,36.0
2022-01-10,53.0
2022-01-11,61.0
2022-01-12,58.0
2022-01-13,75.0
2022-01-14,46.0
2022-01-15,35.0
2022-01-16,30.0
2022-01-17,41.0
2022-01-18,57.0
2022-01-19,66.0
2022-01-20,64.0
2022-01-21,60.0
2022-01-22,41.0
2022-01-23,42.0
2022-01-24,79.0
2022-01-25,68.0
2022-01-26,63.0
2022-01-27,60.0
2022-01-28,69.0
2022-01-29,42.0
2022-01-30,39.0
2022-01-31,58.0
2022-02-01,60.0
2022-02-02,58.0
2022-02-03,59.0
2022-02-04,56.0
2022-02-05,41.0
2022-02-06,41.0
2022-02-07,67.0
2022-02-08,70.0
2022-02-09,74.0
2022-02-10,64.0
2022-02-11,67.0
2022-02-12,41.0
2022-02-13,40.0
2022-02-14,61.0
2022-02-15,67.0
2022-02-16,70.0
2022-02-17,74.0
2022-02-18,63.0
2022-02-19,39.0
2022-02-20,40.0
2022-02-21,53.0
2022-02-22,61.0
2022-02-23,68.0
2022-02-24,65.0
2022-02-25,62.0
2022-02-26,45.0
2022-02-27,42.0
2022-02-28,65.0
2022-03-01,67.0
2022-03-02,66.0
2022-03-03,77.0
2022-03-04,72.0
2022-03-05,44.0
2022-03-06,41.0
2022-03-07,65.0
2022-03-08,68.0
2022-03-09,66.0
2022-03-10,69.0
2022-03-11,62.0
2022-03-12,37.0
2022-03-13,42.0
2022-03-14,56.0
2022-03-15,62.0
2022-03-16,59.0
2022-03-17,56.0
2022-03-18,49.0
2022-03-19,45.0
2022-03-20,42.0
2022-03-21,59.0
2022-03-22,64.0
2022-03-23,60.0
2022-03-24,60.0
2022-03-25,72.0
2022-03-26,42.0
2022-03-27,47.0
2022-03-28,83.0
2022-03-29,87.0
2022-03-30,62.0
2022-03-31,89.0
2022-04-01,77.0
2022-04-02,39.0
2022-04-03,41.0
2022-04-04,82.0
2022-04-05,91.0
2022-04-06,93.0
2022-04-07,100.0
2022-04-08,88.0
2022-04-09,52.0
2022-04-10,54.0
2022-04-11,73.0
2022-04-12,76.0
2022-04-13,71.0
2022-04-14,72.0
2022-04-15,54.0
2022-04-16,40.0
2022-04-17,42.0
2022-04-18,72.0
2022-04-19,78.0
2022-04-20,78.0
2022-04-21,76.0
2022-04-22,74.0
2022-04-23,42.0
2022-04-24,45.0
2022-04-25,74.0
2022-04-26,84.0
2022-04-27,83.0
2022-04-28,83.0
2022-04-29,75.0
2022-04-30,51.0
2022-05-01,45.0
2022-05-02,83.0
2022-05-03,80.0
2022-05-04,85.0
2022-05-05,87.0
2022-05-06,69.0
2022-05-07,43.0
2022-05-08,41.0
2022-05-09,83.0
2022-05-10,81.0
2022-05-11,89.0
2022-05-12,76.0
2022-05-13,66.0
2022-05-14,41.0
2022-05-15,42.0
2022-05-16,72.0
2022-05-17,75.0
2022-05-18,75.0
2022-05-19,68.0
2022-05-20,63.0
2022-05-21,38.0
2022-05-22,42.0
2022-05-23,66.0
2022-05-24,66.0
2022-05-25,65.0
2022-05-26,61.0
2022-05-27,46.0
2022-05-28,34.0
2022-05-29,34.0
2022-05-30,37.0
2022-05-31,50.0
2022-06-01,54.0
2022-06-02,55.0
2022-06-03,47.0
2022-06-04,34.0
2022-06-05,38.0
2022-06-06,49.0
2022-06-07,49.0
2022-06-08,49.0
2022-06-09,48.0
2022-06-10,46.0
2022-06-11,32.0
2022-06-12,41.0
2022-06-13,46.0
2022-06-14,45.0
2022-06-15,44.0
2022-06-16,41.0
2022-06-17,35.0
2022-06-18,33.0
2022-06-19,30.0
2022-06-20,38.0
2022-06-21,42.0
2022-06-22,41.0
2022-06-23,40.0
2022-06-24,40.0
2022-06-25,38.0
2022-06-26,38.0
2022-06-27,41.0
2022-06-28,38.0
2022-06-29,39.0
2022-06-30,39.0
2022-07-01,34.0
2022-07-02,32.0
2022-07-03,34.0
2022-07-04,32.0
2022-07-05,35.0
2022-07-06,36.0
2022-07-07,38.0
2022-07-08,38.0
2022-07-09,38.0
2022-07-10,36.0
2022-07-11,44.0
2022-07-12,40.0
2022-07-13,43.0
2022-07-14,41.0
2022-07-15,41.0
2022-07-16,32.0
2022-07-17,37.0
2022-07-18,38.0
2022-07-19,41.0
2022-07-20,42.0
2022-07-21,46.0
2022-07-22,41.0
2022-07-23,38.0
2022-07-24,40.0
2022-07-25,41.0
2022-07-26,39.0
2022-07-27,45.0
2022-07-28,43.0
2022-07-29,39.0
2022-07-30,36.0
2022-07-31,37.0
2022-08-01,39.0
2022-08-02,38.0
2022-08-03,41.0
2022-08-04,45.0
2022-08-05,41.0
2022-08-06,33.0
2022-08-07,36.0
2022-08-08,40.0
2022-08-09,45.0
2022-08-10,46.0
2022-08-11,47.0
