Time,pbs_kids
2022-01-01,20.0
2022-01-02,18.0
2022-01-03,22.0
2022-01-04,30.0
2022-01-05,32.0
2022-01-06,28.0
2022-01-07,35.0
2022-01-08,25.0
2022-01-09,24.0
2022-01-10,30.0
2022-01-11,39.0
2022-01-12,33.0
2022-01-13,41.0
2022-01-14,37.0
2022-01-15,27.0
2022-01-16,22.0
2022-01-17,21.0
2022-01-18,29.0
2022-01-19,32.0
2022-01-20,38.0
2022-01-21,39.0
2022-01-22,26.0
2022-01-23,21.0
2022-01-24,36.0
2022-01-25,28.0
2022-01-26,32.0
2022-01-27,34.0
2022-01-28,44.0
2022-01-29,26.0
2022-01-30,24.0
2022-01-31,33.0
2022-02-01,36.0
2022-02-02,35.0
2022-02-03,36.0
2022-02-04,38.0
2022-02-05,27.0
2022-02-06,24.0
2022-02-07,33.0
2022-02-08,32.0
2022-02-09,38.0
2022-02-10,30.0
2022-02-11,38.0
2022-02-12,26.0
2022-02-13,22.0
2022-02-14,26.0
2022-02-15,30.0
2022-02-16,30.0
2022-02-17,35.0
2022-02-18,38.0
2022-02-19,26.0
2022-02-20,20.0
2022-02-21,26.0
2022-02-22,31.0
2022-02-23,34.0
2022-02-24,32.0
2022-02-25,39.0
2022-02-26,30.0
2022-02-27,23.0
2022-02-28,29.0
2022-03-01,29.0
2022-03-02,31.0
2022-03-03,32.0
2022-03-04,38.0
2022-03-05,25.0
2022-03-06,19.0
2022-03-07,29.0
2022-03-08,30.0
2022-03-09,32.0
2022-03-10,34.0
2022-03-11,34.0
2022-03-12,24.0
2022-03-13,21.0
2022-03-14,26.0
2022-03-15,28.0
2022-03-16,27.0
2022-03-17,26.0
2022-03-18,28.0
2022-03-19,22.0
2022-03-20,18.0
2022-03-21,26.0
2022-03-22,28.0
2022-03-23,31.0
2022-03-24,31.0
2022-03-25,82.0
2022-03-26,29.0
2022-03-27,25.0
2022-03-28,55.0
2022-03-29,61.0
2022-03-30,29.0
2022-03-31,75.0
2022-04-01,76.0
2022-04-02,28.0
2022-04-03,23.0
2022-04-04,54.0
2022-04-05,62.0
2022-04-06,65.0
2022-04-07,75.0
2022-04-08,88.0
2022-04-09,27.0
2022-04-10,24.0
2022-04-11,58.0
2022-04-12,62.0
2022-04-13,66.0
2022-04-14,79.0
2022-04-15,42.0
2022-04-16,25.0
2022-04-17,20.0
2022-04-18,46.0
2022-04-19,60.0
2022-04-20,63.0
2022-04-21,68.0
2022-04-22,81.0
2022-04-23,25.0
2022-04-24,24.0
2022-04-25,67.0
2022-04-26,72.0
2022-04-27,68.0
2022-04-28,73.0
2022-04-29,87.0
2022-04-30,27.0
2022-05-01,23.0
2022-05-02,63.0
2022-05-03,73.0
2022-05-04,75.0
2022-05-05,82.0
2022-05-06,100.0
2022-05-07,28.0
2022-05-08,23.0
2022-05-09,70.0
2022-05-10,76.0
2022-05-11,78.0
2022-05-12,97.0
2022-05-13,100.0
2022-05-14,26.0
2022-05-15,23.0
2022-05-16,79.0
2022-05-17,81.0
2022-05-18,87.0
2022-05-19,91.0
2022-05-20,91.0
2022-05-21,27.0
2022-05-22,21.0
2022-05-23,78.0
2022-05-24,82.0
2022-05-25,79.0
2022-05-26,72.0
2022-05-27,62.0
2022-05-28,26.0
2022-05-29,21.0
2022-05-30,25.0
2022-05-31,46.0
2022-06-01,46.0
2022-06-02,49.0
2022-06-03,44.0
2022-06-04,23.0
2022-06-05,21.0
2022-06-06,42.0
2022-06-07,42.0
2022-06-08,41.0
2022-06-09,39.0
2022-06-10,40.0
2022-06-11,20.0
2022-06-12,22.0
2022-06-13,34.0
2022-06-14,34.0
2022-06-15,34.0
2022-06-16,33.0
2022-06-17,26.0
2022-06-18,20.0
2022-06-19,18.0
2022-06-20,23.0
2022-06-21,31.0
2022-06-22,29.0
2022-06-23,30.0
2022-06-24,24.0
2022-06-25,19.0
2022-06-26,20.0
2022-06-27,23.0
2022-06-28,25.0
2022-06-29,23.0
2022-06-30,24.0
2022-07-01,18.0
2022-07-02,17.0
2022-07-03,18.0
2022-07-04,19.0
2022-07-05,20.0
2022-07-06,20.0
2022-07-07,19.0
2022-07-08,18.0
2022-07-09,19.0
2022-07-10,18.0
2022-07-11,19.0
2022-07-12,21.0
2022-07-13,20.0
2022-07-14,22.0
2022-07-15,20.0
2022-07-16,19.0
2022-07-17,17.0
2022-07-18,21.0
2022-07-19,24.0
2022-07-20,23.0
2022-07-21,21.0
2022-07-22,20.0
2022-07-23,19.0
2022-07-24,17.0
2022-07-25,20.0
2022-07-26,21.0
2022-07-27,21.0
2022-07-28,20.0
2022-07-29,20.0
2022-07-30,19.0
2022-07-31,19.0
2022-08-01,20.0
2022-08-02,21.0
2022-08-03,22.0
2022-08-04,23.0
2022-08-05,23.0
2022-08-06,20.0
2022-08-07,19.0
2022-08-08,22.0
2022-08-09,28.0
2022-08-10,29.0
2022-08-11,33.0
2022-08-12,37.0
2022-08-13,19.0
2022-08-14,19.0
2022-08-15,31.0
2022-08-16,36.0
2022-08-17,41.0
2022-08-18,45.0
2022-08-19,57.0
2022-08-20,22.0
2022-08-21,22.0
2022-08-22,43.0
2022-08-23,48.0
2022-08-24,48.0
2022-08-25,53.0
2022-08-26,67.0
2022-08-27,25.0
2022-08-28,23.0
