Time,google_docs
2022-01-01,12.0
2022-01-02,17.0
2022-01-03,26.0
2022-01-04,34.0
2022-01-05,35.0
2022-01-06,29.0
2022-01-07,30.0
2022-01-08,18.0
2022-01-09,18.0
2022-01-10,38.0
2022-01-11,41.0
2022-01-12,41.0
2022-01-13,45.0
2022-01-14,31.0
2022-01-15,19.0
2022-01-16,17.0
2022-01-17,22.0
2022-01-18,38.0
2022-01-19,41.0
2022-01-20,41.0
2022-01-21,38.0
2022-01-22,22.0
2022-01-23,25.0
2022-01-24,57.0
2022-01-25,44.0
2022-01-26,44.0
2022-01-27,45.0
2022-01-28,44.0
2022-01-29,24.0
2022-01-30,26.0
2022-01-31,55.0
2022-02-01,50.0
2022-02-02,51.0
2022-02-03,47.0
2022-02-04,40.0
2022-02-05,22.0
2022-02-06,26.0
2022-02-07,55.0
2022-02-08,56.0
2022-02-09,53.0
2022-02-10,44.0
2022-02-11,45.0
2022-02-12,24.0
2022-02-13,29.0
2022-02-14,48.0
2022-02-15,58.0
2022-02-16,54.0
2022-02-17,50.0
2022-02-18,43.0
2022-02-19,25.0
2022-02-20,26.0
2022-02-21,41.0
2022-02-22,50.0
2022-02-23,49.0
2022-02-24,44.0
2022-02-25,40.0
2022-02-26,30.0
2022-02-27,30.0
2022-02-28,55.0
2022-03-01,54.0
2022-03-02,50.0
2022-03-03,50.0
2022-03-04,41.0
2022-03-05,24.0
2022-03-06,26.0
2022-03-07,49.0
2022-03-08,48.0
2022-03-09,46.0
2022-03-10,46.0
2022-03-11,37.0
2022-03-12,24.0
2022-03-13,23.0
2022-03-14,44.0
2022-03-15,40.0
2022-03-16,42.0
2022-03-17,41.0
2022-03-18,34.0
2022-03-19,21.0
2022-03-20,23.0
2022-03-21,46.0
2022-03-22,46.0
2022-03-23,43.0
2022-03-24,43.0
2022-03-25,74.0
2022-03-26,30.0
2022-03-27,35.0
2022-03-28,89.0
2022-03-29,89.0
2022-03-30,46.0
2022-03-31,92.0
2022-04-01,80.0
2022-04-02,30.0
2022-04-03,35.0
2022-04-04,93.0
2022-04-05,90.0
2022-04-06,97.0
2022-04-07,89.0
2022-04-08,75.0
2022-04-09,31.0
2022-04-10,36.0
2022-04-11,95.0
2022-04-12,90.0
2022-04-13,84.0
2022-04-14,79.0
2022-04-15,49.0
2022-04-16,30.0
2022-04-17,29.0
2022-04-18,80.0
2022-04-19,87.0
2022-04-20,92.0
2022-04-21,85.0
2022-04-22,75.0
2022-04-23,32.0
2022-04-24,39.0
2022-04-25,100.0
2022-04-26,95.0
2022-04-27,89.0
2022-04-28,91.0
2022-04-29,79.0
2022-04-30,34.0
2022-05-01,38.0
2022-05-02,91.0
2022-05-03,88.0
2022-05-04,92.0
2022-05-05,87.0
2022-05-06,80.0
2022-05-07,29.0
2022-05-08,31.0
2022-05-09,84.0
2022-05-10,90.0
2022-05-11,82.0
2022-05-12,83.0
2022-05-13,71.0
2022-05-14,25.0
2022-05-15,29.0
2022-05-16,80.0
2022-05-17,79.0
2022-05-18,74.0
2022-05-19,74.0
2022-05-20,65.0
2022-05-21,22.0
2022-05-22,24.0
2022-05-23,71.0
2022-05-24,68.0
2022-05-25,64.0
2022-05-26,61.0
2022-05-27,46.0
2022-05-28,17.0
2022-05-29,17.0
2022-05-30,22.0
2022-05-31,56.0
2022-06-01,55.0
2022-06-02,49.0
2022-06-03,45.0
2022-06-04,18.0
2022-06-05,21.0
2022-06-06,46.0
2022-06-07,46.0
2022-06-08,43.0
2022-06-09,40.0
2022-06-10,34.0
2022-06-11,17.0
2022-06-12,19.0
2022-06-13,37.0
2022-06-14,36.0
2022-06-15,33.0
2022-06-16,31.0
2022-06-17,25.0
2022-06-18,16.0
2022-06-19,16.0
2022-06-20,25.0
2022-06-21,30.0
2022-06-22,29.0
2022-06-23,29.0
2022-06-24,25.0
2022-06-25,17.0
2022-06-26,16.0
2022-06-27,28.0
2022-06-28,28.0
2022-06-29,28.0
2022-06-30,26.0
2022-07-01,23.0
2022-07-02,14.0
2022-07-03,14.0
2022-07-04,15.0
2022-07-05,26.0
2022-07-06,28.0
2022-07-07,27.0
2022-07-08,24.0
2022-07-09,15.0
2022-07-10,16.0
2022-07-11,28.0
2022-07-12,27.0
2022-07-13,27.0
2022-07-14,28.0
2022-07-15,24.0
2022-07-16,15.0
2022-07-17,16.0
2022-07-18,28.0
2022-07-19,28.0
2022-07-20,28.0
2022-07-21,26.0
2022-07-22,23.0
2022-07-23,15.0
2022-07-24,17.0
2022-07-25,28.0
2022-07-26,29.0
2022-07-27,27.0
2022-07-28,29.0
2022-07-29,25.0
2022-07-30,15.0
2022-07-31,17.0
2022-08-01,30.0
2022-08-02,30.0
2022-08-03,30.0
2022-08-04,29.0
2022-08-05,26.0
2022-08-06,16.0
2022-08-07,18.0
2022-08-08,33.0
2022-08-09,32.0
2022-08-10,33.0
2022-08-11,34.0
2022-08-12,32.0
2022-08-13,15.0
2022-08-14,18.0
2022-08-15,37.0
2022-08-16,42.0
2022-08-17,44.0
2022-08-18,49.0
2022-08-19,46.0
2022-08-20,18.0
2022-08-21,22.0
2022-08-22,61.0
2022-08-23,65.0
2022-08-24,68.0
2022-08-25,72.0
2022-08-26,62.0
2022-08-27,23.0
2022-08-28,29.0
2022-08-29,74.05195696955826
2022-08-30,79.66124971389334
2022-08-31,78.13939116502632
2022-09-01,81.20496681162737
2022-09-02,66.89894712748912
2022-09-03,25.024605172808425
2022-09-04,25.524605172808425
2022-09-05,32.677615014877546
2022-09-06,83.7486839093614
2022-09-07,86.81425955596247
2022-09-08,90.90169375143054
2022-09-09,77.11753261615931
2022-09-10,28.090180819409476
2022-09-11,34.721332112611584
2022-09-12,96.01098649576562
2022-09-13,97.03284504463264
2022-09-14,96.01098649576562
2022-09-15,98.05470359349965
2022-09-16,77.11753261615931
2022-09-17,27.06832227054246
2022-09-18,35.7431906614786
2022-09-19,97.03284504463264
2022-09-20,93.96726939803159
2022-09-21,94.46726939803159
2022-09-22,92.42355230029756
2022-09-23,78.13939116502632
2022-09-24,29.112039368276495
2022-09-25,36.76504921034562
2022-09-26,87.83611810482948
2022-09-27,94.9891279468986
2022-09-28,92.89082169832915
2022-09-29,91.8471046005951
2022-09-30,74.10391393911651
2022-10-01,29.22407873655299
2022-10-02,35.4863813229572
2022-10-03,93.93453879606318
2022-10-04,94.97825589379721
2022-10-05,86.62851911192493
2022-10-06,89.75967040512704
2022-10-07,75.14763103685054
2022-10-08,27.13664454108492
2022-10-09,33.39894712748913
2022-10-10,77.23506523231862
2022-10-11,90.80338750286107
2022-10-12,82.45365072098879
2022-10-13,92.89082169832915
2022-10-14,74.10391393911651
2022-10-15,28.180361638818955
2022-10-16,35.4863813229572
2022-10-17,88.71595330739301
2022-10-18,93.93453879606318
2022-10-19,92.89082169832915
2022-10-20,89.75967040512704
2022-10-21,76.19134813458457
2022-10-22,28.180361638818955
2022-10-23,34.44266422522317
2022-10-24,94.97825589379721
2022-10-25,90.80338750286107
2022-10-26,96.02197299153124
2022-10-27,89.75967040512704
2022-10-28,77.23506523231862
2022-10-29,28.180361638818955
2022-10-30,34.44266422522317
2022-10-31,89.75967040512704
2022-11-01,89.75967040512704
2022-11-02,88.71595330739301
2022-11-03,85.5848020141909
2022-11-04,75.14763103685054
2022-11-05,29.22407873655299
2022-11-06,32.35523002975509
2022-11-07,86.62851911192493
2022-11-08,75.14763103685054
2022-11-09,81.40993362325476
2022-11-10,87.67223620965896
2022-11-11,58.44815747310598
2022-11-12,28.180361638818955
2022-11-13,36.53009842069124
2022-11-14,104.37170977340354
2022-11-15,101.24055848020143
2022-11-16,88.71595330739301
2022-11-17,90.80338750286107
2022-11-18,73.06019684138248
2022-11-19,28.180361638818955
2022-11-20,30.267795834287025
2022-11-21,64.71046005951018
2022-11-22,57.40444037537194
2022-11-23,33.39894712748913
2022-11-24,15.65575646601053
2022-11-25,17.7431906614786
2022-11-26,20.874341954680705
2022-11-27,31.31151293202106
2022-11-28,84.54108491645687
2022-11-29,88.71595330739301
2022-11-30,87.67223620965896
2022-12-01,92.89082169832915
2022-12-02,78.27878233005265
2022-12-03,31.31151293202106
2022-12-04,38.61753261615931
2022-12-05,92.89082169832915
2022-12-06,94.97825589379721
2022-12-07,92.89082169832915
2022-12-08,89.75967040512704
2022-12-09,80.36621652552071
2022-12-10,32.35523002975509
2022-12-11,35.4863813229572
2022-12-12,87.67223620965896
2022-12-13,79.32249942778668
2022-12-14,76.19134813458457
2022-12-15,72.01647974364843
2022-12-16,59.49187457084001
2022-12-17,21.91805905241474
2022-12-18,18.786907759212635
2022-12-19,49.05470359349966
2022-12-20,43.83611810482948
2022-12-21,37.57381551842527
2022-12-22,28.180361638818955
2022-12-23,17.7431906614786
2022-12-24,12.524605172808425
2022-12-25,11.480888075074388
2022-12-26,12.524605172808425
2022-12-27,15.65575646601053
2022-12-28,16.699473563744565
2022-12-29,16.699473563744565
2022-12-30,15.65575646601053
2022-12-31,12.524605172808425
2023-01-01,12.524605172808425
2023-01-02,21.91805905241474
2023-01-03,41.74868390936141
2023-01-04,50.0984206912337
2023-01-05,56.36072327763791
2023-01-06,53.2295719844358
2023-01-07,18.786907759212635
2023-01-08,22.961776150148776
2023-01-09,66.79789425497826
2023-01-10,72.01647974364843
2023-01-11,74.10391393911651
2023-01-12,74.10391393911651
2023-01-13,64.71046005951018
2023-01-14,24.00549324788281
2023-01-15,20.874341954680705
2023-01-16,33.39894712748913
2023-01-17,78.27878233005265
2023-01-18,79.32249942778668
2023-01-19,78.27878233005265
2023-01-20,72.01647974364843
2023-01-21,25.04921034561685
2023-01-22,28.180361638818955
2023-01-23,81.40993362325476
2023-01-24,86.62851911192493
2023-01-25,75.14763103685054
2023-01-26,82.45365072098879
2023-01-27,74.10391393911651
2023-01-28,27.13664454108492
2023-01-29,31.31151293202106
2023-01-30,89.75967040512704
2023-01-31,91.8471046005951
2023-02-01,85.5848020141909
2023-02-02,89.75967040512704
2023-02-03,77.23506523231862
2023-02-04,31.31151293202106
2023-02-05,36.53009842069124
2023-02-06,93.93453879606318
2023-02-07,96.02197299153124
2023-02-08,89.75967040512704
2023-02-09,87.67223620965896
2023-02-10,80.36621652552071
2023-02-11,31.31151293202106
2023-02-12,35.4863813229572
2023-02-13,83.49736781872282
2023-02-14,80.36621652552071
2023-02-15,79.32249942778668
2023-02-16,80.36621652552071
2023-02-17,63.66674296177615
2023-02-18,27.13664454108492
2023-02-19,28.180361638818955
2023-02-20,49.05470359349966
2023-02-21,76.19134813458457
2023-02-22,75.14763103685054
2023-02-23,74.10391393911651
2023-02-24,70.9727626459144
2023-02-25,30.267795834287025
2023-02-26,32.35523002975509
2023-02-27,85.5848020141909
2023-02-28,80.36621652552071
2023-03-01,82.45365072098879
2023-03-02,79.32249942778668
2023-03-03,65.75417715724423
