Time,nasdaq
2022-01-01,8.0
2022-01-02,7.0
2022-01-03,28.0
2022-01-04,43.0
2022-01-05,45.0
2022-01-06,36.0
2022-01-07,39.0
2022-01-08,11.0
2022-01-09,7.0
2022-01-10,39.0
2022-01-11,37.0
2022-01-12,32.0
2022-01-13,40.0
2022-01-14,30.0
2022-01-15,10.0
2022-01-16,7.0
2022-01-17,12.0
2022-01-18,35.0
2022-01-19,39.0
2022-01-20,48.0
2022-01-21,59.0
2022-01-22,24.0
2022-01-23,13.0
2022-01-24,100.0
2022-01-25,58.0
2022-01-26,50.0
2022-01-27,49.0
2022-01-28,48.0
2022-01-29,13.0
2022-01-30,9.0
2022-01-31,41.0
2022-02-01,39.0
2022-02-02,45.0
2022-02-03,46.0
2022-02-04,42.0
2022-02-05,11.0
2022-02-06,7.0
2022-02-07,38.0
2022-02-08,40.0
2022-02-09,33.0
2022-02-10,33.0
2022-02-11,39.0
2022-02-12,11.0
2022-02-13,7.0
2022-02-14,35.0
2022-02-15,39.0
2022-02-16,36.0
2022-02-17,39.0
2022-02-18,43.0
2022-02-19,12.0
2022-02-20,8.0
2022-02-21,21.0
2022-02-22,49.0
2022-02-23,45.0
2022-02-24,77.0
2022-02-25,49.0
2022-02-26,11.0
2022-02-27,10.0
2022-02-28,45.0
2022-03-01,38.0
2022-03-02,37.0
2022-03-03,37.0
2022-03-04,39.0
2022-03-05,9.0
2022-03-06,7.0
2022-03-07,51.0
2022-03-08,50.0
2022-03-09,41.0
2022-03-10,39.0
2022-03-11,38.0
2022-03-12,11.0
2022-03-13,8.0
2022-03-14,43.0
2022-03-15,39.0
2022-03-16,42.0
2022-03-17,38.0
2022-03-18,37.0
2022-03-19,10.0
2022-03-20,8.0
2022-03-21,34.0
2022-03-22,36.0
2022-03-23,32.0
2022-03-24,32.0
2022-03-25,31.0
2022-03-26,8.0
2022-03-27,7.0
2022-03-28,28.0
2022-03-29,31.0
2022-03-30,34.0
2022-03-31,30.0
2022-04-01,30.0
2022-04-02,8.0
2022-04-03,6.0
2022-04-04,29.0
2022-04-05,31.0
2022-04-06,33.0
2022-04-07,31.0
2022-04-08,29.0
2022-04-09,9.0
2022-04-10,7.0
2022-04-11,30.0
2022-04-12,31.0
2022-04-13,30.0
2022-04-14,33.0
2022-04-15,17.0
2022-04-16,6.0
2022-04-17,6.0
2022-04-18,28.0
2022-04-19,29.0
2022-04-20,35.0
2022-04-21,34.0
2022-04-22,34.0
2022-04-23,10.0
2022-04-24,8.0
2022-04-25,35.0
2022-04-26,44.0
2022-04-27,40.0
2022-04-28,37.0
2022-04-29,39.0
2022-04-30,17.0
2022-05-01,10.0
2022-05-02,40.0
2022-05-03,36.0
2022-05-04,39.0
2022-05-05,58.0
2022-05-06,50.0
2022-05-07,15.0
2022-05-08,10.0
2022-05-09,60.0
2022-05-10,56.0
2022-05-11,60.0
2022-05-12,55.0
2022-05-13,45.0
2022-05-14,13.0
2022-05-15,9.0
2022-05-16,43.0
2022-05-17,39.0
2022-05-18,47.0
2022-05-19,49.0
2022-05-20,46.0
2022-05-21,12.0
2022-05-22,8.0
2022-05-23,39.0
2022-05-24,48.0
2022-05-25,41.0
2022-05-26,40.0
2022-05-27,37.0
2022-05-28,9.0
2022-05-29,6.0
2022-05-30,8.0
2022-05-31,37.0
2022-06-01,36.0
2022-06-02,33.0
2022-06-03,36.0
2022-06-04,8.0
2022-06-05,7.0
2022-06-06,33.0
2022-06-07,34.0
2022-06-08,32.0
2022-06-09,31.0
2022-06-10,41.0
2022-06-11,10.0
2022-06-12,8.0
2022-06-13,56.0
2022-06-14,49.0
2022-06-15,60.0
2022-06-16,52.0
2022-06-17,44.0
2022-06-18,12.0
2022-06-19,7.0
2022-06-20,21.0
2022-06-21,38.0
2022-06-22,39.0
2022-06-23,38.0
