Time,premier_league
2023-07-15,3.1603408210689388
2023-07-16,3.1603408210689388
2023-07-17,3.1603408210689388
2023-07-18,3.1603408210689388
2023-07-19,3.1603408210689388
2023-07-20,3.9504260263361735
2023-07-21,3.1603408210689388
2023-07-22,5.530596436870643
2023-07-23,7.110766847405112
2023-07-24,4.740511231603408
2023-07-25,3.9504260263361735
2023-07-26,4.740511231603408
2023-07-27,4.740511231603408
2023-07-28,3.9504260263361735
2023-07-29,4.740511231603408
2023-07-30,7.110766847405112
2023-07-31,3.9504260263361735
2023-08-01,3.9504260263361735
2023-08-02,3.9504260263361735
2023-08-03,3.9504260263361735
2023-08-04,3.9504260263361735
2023-08-05,6.3206816421378775
2023-08-06,7.110766847405112
2023-08-07,6.3206816421378775
2023-08-08,6.3206816421378775
2023-08-09,7.110766847405112
2023-08-10,9.481022463206816
2023-08-11,35.55383423702556
2023-08-12,61.626646010844304
2023-08-13,52.14562354763749
2023-08-14,22.912470952749807
2023-08-15,11.061192873741286
2023-08-16,7.900852052672347
2023-08-17,8.69093725793958
2023-08-18,15.011618900077458
2023-08-19,67.94732765298218
2023-08-20,43.45468628969791
2023-08-21,21.332300542215336
2023-08-22,11.061192873741286
2023-08-23,7.900852052672347
2023-08-24,7.900852052672347
2023-08-25,18.171959721146397
2023-08-26,59.2563903950426
2023-08-27,52.14562354763749
2023-08-28,13.43144848954299
2023-08-29,8.69093725793958
2023-08-30,8.69093725793958
2023-08-31,7.900852052672347
2023-09-01,16.59178931061193
2023-09-02,60.83656080557707
2023-09-03,55.30596436870643
2023-09-04,15.011618900077458
2023-09-05,7.900852052672347
2023-09-06,6.3206816421378775
2023-09-07,5.530596436870643
2023-09-08,5.530596436870643
2023-09-09,11.061192873741286
2023-09-10,7.110766847405112
2023-09-11,4.740511231603408
2023-09-12,3.9504260263361735
2023-09-13,4.740511231603408
2023-09-14,5.530596436870643
2023-09-15,9.481022463206816
2023-09-16,63.206816421378775
2023-09-17,41.87451587916344
2023-09-18,13.43144848954299
2023-09-19,7.900852052672347
2023-09-20,6.3206816421378775
2023-09-21,6.3206816421378775
2023-09-22,9.481022463206816
2023-09-23,58.46630518977537
2023-09-24,59.2563903950426
2023-09-25,11.85127807900852
2023-09-26,9.481022463206816
2023-09-27,9.481022463206816
2023-09-28,7.110766847405112
2023-09-29,10.271107668474052
2023-09-30,77.428350116189
2023-10-01,31.603408210689388
2023-10-02,16.59178931061193
2023-10-03,9.481022463206816
2023-10-04,7.110766847405112
2023-10-05,7.110766847405112
2023-10-06,9.481022463206816
2023-10-07,57.67621998450813
2023-10-08,63.99690162664601
2023-10-09,12.641363284275755
2023-10-10,7.110766847405112
2023-10-11,5.530596436870643
2023-10-12,5.530596436870643
2023-10-13,5.530596436870643
2023-10-14,15.011618900077458
2023-10-15,6.3206816421378775
2023-10-16,4.740511231603408
2023-10-17,3.9504260263361735
2023-10-18,4.740511231603408
2023-10-19,5.530596436870643
2023-10-20,8.69093725793958
2023-10-21,68.73741285824941
2023-10-22,34.76374903175832
2023-10-23,18.962044926413633
2023-10-24,10.271107668474052
2023-10-25,6.3206816421378775
2023-10-26,6.3206816421378775
2023-10-27,15.011618900077458
2023-10-28,48.19519752130132
2023-10-29,52.93570875290472
2023-10-30,11.061192873741286
2023-10-31,6.3206816421378775
2023-11-01,8.69093725793958
2023-11-02,7.110766847405112
2023-11-03,9.481022463206816
2023-11-04,62.41673121611154
2023-11-05,43.45468628969791
2023-11-06,27.652982184353213
2023-11-07,11.85127807900852
2023-11-08,6.3206816421378775
2023-11-09,6.3206816421378775
2023-11-10,9.481022463206816
2023-11-11,53.72579395817196
2023-11-12,56.8861347792409
2023-11-13,12.641363284275755
2023-11-14,7.110766847405112
2023-11-15,4.740511231603408
2023-11-16,4.740511231603408
2023-11-17,7.900852052672347
2023-11-18,11.061192873741286
2023-11-19,7.110766847405112
2023-11-20,4.740511231603408
2023-11-21,3.9504260263361735
2023-11-22,4.740511231603408
2023-11-23,7.110766847405112
2023-11-24,11.061192873741286
2023-11-25,61.626646010844304
2023-11-26,46.615027110766846
2023-11-27,13.43144848954299
2023-11-28,7.900852052672347
2023-11-29,6.3206816421378775
2023-11-30,5.530596436870643
2023-12-01,7.900852052672347
2023-12-02,52.14562354763749
2023-12-03,58.46630518977537
2023-12-04,13.43144848954299
2023-12-05,22.12238574748257
2023-12-06,43.45468628969791
2023-12-07,33.18357862122386
2023-12-08,15.801704105344694
2023-12-09,66.36715724244772
2023-12-10,56.8861347792409
2023-12-11,11.85127807900852
2023-12-12,7.900852052672347
2023-12-13,6.3206816421378775
2023-12-14,6.3206816421378775
2023-12-15,14.221533694810224
2023-12-16,55.30596436870643
2023-12-17,58.46630518977537
2023-12-18,12.641363284275755
2023-12-19,10.271107668474052
2023-12-20,10.271107668474052
2023-12-21,14.221533694810224
2023-12-22,19.160554383212293
2023-12-23,66.29776676861101
2023-12-24,31.59462460640626
2023-12-25,15.54258777899246
2023-12-26,59.17624000595907
2023-12-27,44.93318648065518
2023-12-28,41.824668924856695
2023-12-29,21.364580287955825
2023-12-30,58.27174835490412
2023-12-31,48.04170403645368
2024-01-01,35.60763381325971
2024-01-02,22.664114541644402
2024-01-03,11.134535969505393
2024-01-04,10.230044318450435
2024-01-05,9.325552667395476
2024-01-06,16.447079430047417
2024-01-07,12.03902762056035
2024-01-08,7.121526762651943
2024-01-09,6.217035111596984
2024-01-10,6.726484160018325
2024-01-11,6.726484160018325
2024-01-12,12.03902762056035
2024-01-13,45.83767813171015
2024-01-14,41.42962632222308
2024-01-15,11.134535969505393
2024-01-16,7.121526762651943
2024-01-17,6.726484160018325
2024-01-18,6.217035111596984
2024-01-19,8.0260184137069
2024-01-20,34.703142162204756
2024-01-21,33.6236371958085
2024-01-22,11.207879065269498
2024-01-23,8.151184774741454
2024-01-24,7.132286677898772
2024-01-25,6.113388581056091
2024-01-26,10.188980968426817
2024-01-27,15.283471452640226
2024-01-28,11.207879065269498
2024-01-29,7.132286677898772
2024-01-30,22.415758130538997
2024-01-31,31.585841002123132
2024-02-01,26.491350517909726
2024-02-02,12.226777162112182
2024-02-03,42.793720067392634
2024-02-04,58.07719152003286
2024-02-05,22.415758130538997
2024-02-06,10.188980968426817
2024-02-07,9.170082871584135
2024-02-08,8.151184774741454
2024-02-09,9.170082871584135
2024-02-10,48.90710864844873
2024-02-11,45.85041435792068
2024-02-12,15.283471452640226
2024-02-13,9.170082871584135
2024-02-14,6.113388581056091
2024-02-15,6.113388581056091
2024-02-16,9.170082871584135
2024-02-17,62.15278390740359
2024-02-18,41.77482197054995
2024-02-19,15.283471452640226
2024-02-20,16.302369549482908
2024-02-21,17.32126764632559
2024-02-22,10.188980968426817
2024-02-23,10.188980968426817
2024-02-24,59.09608961687554
2024-02-25,29.54804480843777
2024-02-26,14.264573355797545
2024-02-27,10.188980968426817
2024-02-28,9.170082871584135
2024-02-29,8.151184774741454
2024-03-01,9.170082871584135
2024-03-02,51.96380293897677
2024-03-03,55.02049722950481
2024-03-04,20.377961936853634
2024-03-05,10.188980968426817
2024-03-06,7.132286677898772
2024-03-07,7.132286677898772
2024-03-08,10.188980968426817
2024-03-09,51.96380293897677
2024-03-10,68.26617248845967
2024-03-11,20.377961936853634
2024-03-12,11.207879065269498
2024-03-13,10.188980968426817
2024-03-14,8.151184774741454
2024-03-15,9.170082871584135
2024-03-16,39.737025776864584
2024-03-17,29.54804480843777
2024-03-18,11.207879065269498
2024-03-19,7.132286677898772
2024-03-20,6.113388581056091
2024-03-21,5.094490484213408
2024-03-22,5.094490484213408
2024-03-23,10.188980968426817
2024-03-24,6.113388581056091
2024-03-25,5.094490484213408
2024-03-26,4.075592387370727
2024-03-27,4.075592387370727
2024-03-28,6.113388581056091
2024-03-29,10.188980968426817
2024-03-30,56.039395326347496
2024-03-31,62.15278390740359
2024-04-01,12.226777162112182
2024-04-02,22.415758130538997
2024-04-03,29.54804480843777
2024-04-04,34.64253529265118
2024-04-05,16.302369549482908
2024-04-06,60.11498771371822
2024-04-07,67.247274391617
2024-04-08,13.245675258954863
2024-04-09,9.170082871584135
2024-04-10,6.113388581056091
2024-04-11,7.132286677898772
2024-04-12,9.170082871584135
2024-04-13,56.039395326347496
2024-04-14,68.26617248845967
2024-04-15,25.472452421067043
2024-04-16,12.226777162112182
2024-04-17,9.170082871584135
2024-04-18,8.151184774741454
2024-04-19,9.170082871584135
2024-04-20,46.86931245476336
2024-04-21,45.85041435792068
2024-04-22,12.226777162112182
2024-04-23,26.491350517909726
2024-04-24,38.71812768002191
2024-04-25,31.585841002123132
2024-04-26,14.264573355797545
2024-04-27,61.133885810560905
2024-04-28,58.07719152003286
2024-04-29,14.264573355797545
2024-04-30,9.170082871584135
2024-05-01,8.151184774741454
2024-05-02,17.32126764632559
2024-05-03,17.32126764632559
2024-05-04,61.133885810560905
2024-05-05,54.00159913266213
2024-05-06,25.472452421067043
2024-05-07,11.207879065269498
2024-05-08,8.151184774741454
2024-05-09,9.170082871584135
2024-05-10,11.207879065269498
2024-05-11,62.15278390740359
2024-05-12,57.05829342319018
2024-05-13,31.585841002123132
2024-05-14,49.9260067452914
2024-05-15,36.68033148633654
2024-05-16,16.302369549482908
2024-05-17,12.226777162112182
2024-05-18,28.52914671159509
2024-05-19,101.88980968426817
2024-05-20,15.283471452640226
2024-05-21,8.151184774741454
2024-05-22,6.113388581056091
2024-05-23,5.094490484213408
2024-05-24,5.094490484213408
2024-05-25,10.188980968426817
2024-05-26,8.151184774741454
2024-05-27,5.094490484213408
2024-05-28,4.075592387370727
2024-05-29,4.075592387370727
2024-05-30,3.0566942905280454
2024-05-31,3.0566942905280454
2024-06-01,5.094490484213408
2024-06-02,3.0566942905280454
2024-06-03,3.0566942905280454
2024-06-04,2.0377961936853635
2024-06-05,3.0566942905280454
2024-06-06,2.0377961936853635
2024-06-07,2.0377961936853635
2024-06-08,3.0566942905280454
2024-06-09,3.0566942905280454
2024-06-10,2.0377961936853635
2024-06-11,2.0377961936853635
2024-06-12,2.0377961936853635
2024-06-13,2.0377961936853635
2024-06-14,2.0377961936853635
2024-06-15,2.0377961936853635
2024-06-16,3.0566942905280454
2024-06-17,2.0377961936853635
2024-06-18,4.075592387370727
2024-06-19,2.0377961936853635
2024-06-20,2.0377961936853635
2024-06-21,2.0377961936853635
2024-06-22,2.0377961936853635
2024-06-23,3.0566942905280454
2024-06-24,2.0377961936853635
2024-06-25,2.0377961936853635
2024-06-26,2.0377961936853635
2024-06-27,2.0377961936853635
2024-06-28,2.0377961936853635
2024-06-29,2.0377961936853635
2024-06-30,2.0377961936853635
2024-07-01,2.0377961936853635
2024-07-02,2.0377961936853635
2024-07-03,2.0377961936853635
2024-07-04,2.0377961936853635
2024-07-05,2.0377961936853635
2024-07-06,3.0566942905280454
2024-07-07,2.0377961936853635
2024-07-08,2.0377961936853635
2024-07-09,2.0377961936853635
2024-07-10,3.0566942905280454
2024-07-11,2.0377961936853635
2024-07-12,2.0377961936853635
2024-07-13,2.0377961936853635
2024-07-14,3.0566942905280454
2024-07-15,3.0566942905280454
2024-07-16,3.0566942905280454
2024-07-17,3.0566942905280454
2024-07-18,3.0566942905280454
2024-07-19,2.0377961936853635
2024-07-20,3.0566942905280454
2024-07-21,3.0566942905280454
2024-07-22,2.0377961936853635
2024-07-23,3.0566942905280454
2024-07-24,2.0377961936853635
2024-07-25,2.0377961936853635
2024-07-26,2.0377961936853635
2024-07-27,3.0566942905280454
2024-07-28,3.0566942905280454
2024-07-29,2.0377961936853635
2024-07-30,2.0377961936853635
2024-07-31,2.0377961936853635
2024-08-01,3.0566942905280454
2024-08-02,2.0377961936853635
2024-08-03,4.075592387370727
2024-08-04,4.075592387370727
2024-08-05,2.0377961936853635
2024-08-06,3.0566942905280454
2024-08-07,3.0566942905280454
2024-08-08,3.0566942905280454
2024-08-09,4.075592387370727
2024-08-10,5.094490484213408
2024-08-11,6.113388581056091
2024-08-12,6.113388581056091
2024-08-13,6.113388581056091
2024-08-14,6.113388581056091
2024-08-15,9.170082871584135
2024-08-16,30.566942905280452
2024-08-17,62.15278390740359
2024-08-18,45.709079716772166
2024-08-19,21.420252387583137
2024-08-20,10.455401669580898
2024-08-21,7.2517697788895354
2024-08-22,8.096275776396343
2024-08-23,11.299907667087705
2024-08-24,62.23668821865033
2024-08-25,46.88864266336444
2024-08-26,12.144413664594516
2024-08-27,8.096275776396343
2024-08-28,8.096275776396343
2024-08-29,7.2517697788895354
2024-08-30,10.12034472049543
2024-08-31,56.16448138635307
2024-09-01,52.960849495661705
2024-09-02,12.479470613679984
2024-09-03,6.916712829804067
2024-09-04,5.227700834790449
2024-09-05,4.383194837283639
2024-09-06,4.892643885704981
2024-09-07,10.455401669580898
2024-09-08,6.072206832297258
2024-09-09,4.0481378881981716
2024-09-10,3.7130809391127038
2024-09-11,3.7130809391127038
2024-09-12,5.227700834790449
