Time,gold
2022-01-01,77.0
2022-01-02,80.0
2022-01-03,78.0
2022-01-04,87.0
2022-01-05,78.0
2022-01-06,65.0
2022-01-07,79.0
2022-01-08,87.0
2022-01-09,86.0
2022-01-10,72.0
2022-01-11,74.0
2022-01-12,75.0
2022-01-13,88.0
2022-01-14,64.0
2022-01-15,82.0
2022-01-16,74.0
2022-01-17,67.0
2022-01-18,67.0
2022-01-19,69.0
2022-01-20,71.0
2022-01-21,74.0
2022-01-22,85.0
2022-01-23,85.0
2022-01-24,96.0
2022-01-25,71.0
2022-01-26,71.0
2022-01-27,71.0
2022-01-28,77.0
2022-01-29,83.0
2022-01-30,82.0
2022-01-31,77.0
2022-02-01,77.0
2022-02-02,76.0
2022-02-03,79.0
2022-02-04,81.0
2022-02-05,91.0
2022-02-06,94.0
2022-02-07,82.0
2022-02-08,90.0
2022-02-09,90.0
2022-02-10,85.0
2022-02-11,100.0
2022-02-12,98.0
2022-02-13,92.0
2022-02-14,90.0
2022-02-15,88.0
2022-02-16,87.0
2022-02-17,94.0
2022-02-18,92.0
2022-02-19,96.0
2022-02-20,87.0
2022-02-21,93.0
2022-02-22,88.0
2022-02-23,92.0
2022-02-24,97.0
2022-02-25,87.0
2022-02-26,88.0
2022-02-27,88.0
2022-02-28,88.0
2022-03-01,86.0
2022-03-02,84.0
2022-03-03,86.0
2022-03-04,85.0
2022-03-05,93.0
2022-03-06,90.0
2022-03-07,95.0
2022-03-08,94.0
2022-03-09,96.0
2022-03-10,92.0
2022-03-11,84.0
2022-03-12,91.0
2022-03-13,92.0
2022-03-14,87.0
2022-03-15,88.0
2022-03-16,87.0
2022-03-17,89.0
2022-03-18,84.0
2022-03-19,88.0
2022-03-20,89.0
2022-03-21,84.0
2022-03-22,79.0
2022-03-23,83.0
2022-03-24,83.0
2022-03-25,81.0
2022-03-26,90.0
2022-03-27,89.0
2022-03-28,78.0
2022-03-29,78.0
2022-03-30,83.0
2022-03-31,81.0
2022-04-01,78.0
2022-04-02,85.0
2022-04-03,91.0
2022-04-04,79.0
2022-04-05,79.0
2022-04-06,78.0
2022-04-07,76.0
2022-04-08,80.0
2022-04-09,91.0
2022-04-10,87.0
2022-04-11,78.0
2022-04-12,85.0
2022-04-13,74.0
2022-04-14,78.0
2022-04-15,79.0
2022-04-16,83.0
2022-04-17,84.0
2022-04-18,81.0
2022-04-19,81.0
2022-04-20,78.0
2022-04-21,79.0
2022-04-22,79.0
2022-04-23,92.0
2022-04-24,90.0
2022-04-25,76.0
2022-04-26,75.0
2022-04-27,81.0
2022-04-28,77.0
2022-04-29,79.0
2022-04-30,90.0
2022-05-01,86.0
2022-05-02,82.0
2022-05-03,82.0
2022-05-04,80.0
2022-05-05,76.0
2022-05-06,78.0
