Time,donation
2022-01-01,55.0
2022-01-02,59.0
2022-01-03,69.0
2022-01-04,81.0
2022-01-05,75.0
2022-01-06,59.0
2022-01-07,63.0
2022-01-08,66.0
2022-01-09,62.0
2022-01-10,69.0
2022-01-11,89.0
2022-01-12,95.0
2022-01-13,100.0
2022-01-14,69.0
2022-01-15,72.0
2022-01-16,57.0
2022-01-17,78.0
2022-01-18,74.0
2022-01-19,71.0
2022-01-20,68.0
2022-01-21,69.0
2022-01-22,69.0
2022-01-23,65.0
2022-01-24,92.0
2022-01-25,73.0
2022-01-26,71.0
2022-01-27,68.0
2022-01-28,70.0
2022-01-29,72.0
2022-01-30,60.0
2022-01-31,78.0
2022-02-01,76.0
2022-02-02,68.0
2022-02-03,68.0
2022-02-04,66.0
2022-02-05,73.0
2022-02-06,70.0
2022-02-07,73.0
2022-02-08,88.0
2022-02-09,91.0
2022-02-10,69.0
2022-02-11,71.0
2022-02-12,71.0
2022-02-13,61.0
2022-02-14,63.0
2022-02-15,74.0
2022-02-16,80.0
2022-02-17,73.0
2022-02-18,73.0
2022-02-19,68.0
2022-02-20,69.0
2022-02-21,76.0
2022-02-22,69.0
2022-02-23,74.0
2022-02-24,67.0
2022-02-25,68.0
2022-02-26,73.0
2022-02-27,78.0
2022-02-28,82.0
2022-03-01,84.0
2022-03-02,82.0
2022-03-03,75.0
2022-03-04,76.0
2022-03-05,79.0
2022-03-06,75.0
2022-03-07,78.0
2022-03-08,86.0
2022-03-09,86.0
2022-03-10,82.0
2022-03-11,75.0
2022-03-12,78.0
2022-03-13,73.0
2022-03-14,73.0
2022-03-15,77.0
2022-03-16,75.0
2022-03-17,71.0
2022-03-18,66.0
2022-03-19,75.0
2022-03-20,71.0
2022-03-21,78.0
2022-03-22,77.0
2022-03-23,75.0
2022-03-24,71.0
2022-03-25,67.0
2022-03-26,73.0
2022-03-27,73.0
2022-03-28,74.0
2022-03-29,74.0
2022-03-30,92.0
2022-03-31,68.0
2022-04-01,71.0
2022-04-02,84.0
2022-04-03,72.0
2022-04-04,72.0
2022-04-05,68.0
2022-04-06,72.0
2022-04-07,70.0
2022-04-08,65.0
2022-04-09,73.0
2022-04-10,71.0
2022-04-11,88.0
2022-04-12,70.0
2022-04-13,70.0
2022-04-14,66.0
2022-04-15,68.0
2022-04-16,69.0
2022-04-17,60.0
2022-04-18,72.0
2022-04-19,80.0
2022-04-20,65.0
2022-04-21,76.0
2022-04-22,62.0
2022-04-23,66.0
2022-04-24,65.0
2022-04-25,69.0
2022-04-26,79.0
2022-04-27,69.0
2022-04-28,66.0
2022-04-29,65.0
2022-04-30,67.0
2022-05-01,64.0
2022-05-02,62.0
2022-05-03,67.0
2022-05-04,68.0
2022-05-05,62.0
2022-05-06,58.0
2022-05-07,62.0
2022-05-08,50.0
2022-05-09,63.0
2022-05-10,68.0
2022-05-11,66.0
2022-05-12,66.0
2022-05-13,58.0
2022-05-14,65.0
2022-05-15,64.0
2022-05-16,71.0
2022-05-17,76.0
2022-05-18,69.0
2022-05-19,67.0
2022-05-20,68.0
2022-05-21,67.0
2022-05-22,67.0
2022-05-23,69.0
2022-05-24,72.0
2022-05-25,76.0
2022-05-26,69.0
2022-05-27,67.0
2022-05-28,68.0
2022-05-29,60.0
2022-05-30,62.0
2022-05-31,72.0
2022-06-01,68.0
2022-06-02,69.0
2022-06-03,68.0
2022-06-04,66.0
2022-06-05,65.0
2022-06-06,68.0
2022-06-07,67.0
2022-06-08,66.0
2022-06-09,67.0
2022-06-10,64.0
2022-06-11,64.0
2022-06-12,65.0
2022-06-13,70.0
2022-06-14,69.0
2022-06-15,70.0
2022-06-16,67.0
2022-06-17,68.0
2022-06-18,66.0
2022-06-19,55.0
2022-06-20,78.0
2022-06-21,70.0
2022-06-22,71.0
2022-06-23,71.0
2022-06-24,71.0
2022-06-25,77.0
2022-06-26,64.0
2022-06-27,74.0
2022-06-28,74.0
2022-06-29,76.0
2022-06-30,74.0
2022-07-01,68.0
2022-07-02,69.0
2022-07-03,63.0
2022-07-04,56.0
2022-07-05,71.0
2022-07-06,74.0
2022-07-07,75.0
2022-07-08,71.0
2022-07-09,75.0
2022-07-10,67.0
2022-07-11,77.0
2022-07-12,71.0
2022-07-13,72.0
2022-07-14,72.0
2022-07-15,71.0
2022-07-16,72.0
2022-07-17,69.0
2022-07-18,73.0
2022-07-19,72.0
2022-07-20,74.0
2022-07-21,71.0
2022-07-22,67.0
2022-07-23,71.0
2022-07-24,65.0
2022-07-25,76.0
2022-07-26,73.0
2022-07-27,71.0
2022-07-28,77.0
2022-07-29,70.0
2022-07-30,72.0
2022-07-31,68.0
2022-08-01,71.0
2022-08-02,74.0
2022-08-03,70.0
2022-08-04,73.0
2022-08-05,70.0
2022-08-06,68.0
2022-08-07,63.0
2022-08-08,70.0
2022-08-09,71.0
2022-08-10,68.0
2022-08-11,66.0
2022-08-12,66.0
2022-08-13,71.0
2022-08-14,68.0
2022-08-15,75.0
2022-08-16,69.0
2022-08-17,69.0
2022-08-18,67.0
2022-08-19,64.0
2022-08-20,71.0
2022-08-21,67.0
2022-08-22,71.0
2022-08-23,75.0
2022-08-24,72.0
2022-08-25,73.0
2022-08-26,68.0
2022-08-27,76.0
2022-08-28,64.0
2022-08-29,72.0
2022-08-30,68.19999999999999
2022-08-31,69.65
2022-09-01,64.4
2022-09-02,65.85
2022-09-03,65.35
2022-09-04,60.15
2022-09-05,62.05
2022-09-06,69.15
2022-09-07,64.9
2022-09-08,61.099999999999994
2022-09-09,63.0
2022-09-10,63.949999999999996
2022-09-11,61.099999999999994
2022-09-12,65.35
2022-09-13,63.0
2022-09-14,67.75
2022-09-15,65.85
2022-09-16,63.0
2022-09-17,65.85
2022-09-18,57.8
2022-09-19,67.75
2022-09-20,69.15
2022-09-21,69.15
2022-09-22,64.9
2022-09-23,64.9
2022-09-24,68.69999999999999
2022-09-25,59.199999999999996
2022-09-26,70.1
2022-09-27,65.69999999999999
2022-09-28,67.5
2022-09-29,62.99999999999999
2022-09-30,63.89999999999999
2022-10-01,73.8
2022-10-02,63.89999999999999
2022-10-03,67.5
2022-10-04,67.5
2022-10-05,68.39999999999999
2022-10-06,70.19999999999999
2022-10-07,70.19999999999999
2022-10-08,69.3
2022-10-09,62.99999999999999
2022-10-10,71.1
