Time,depreciation
2022-01-01,14.0
2022-01-02,16.0
2022-01-03,25.0
2022-01-04,36.0
2022-01-05,34.0
2022-01-06,30.0
2022-01-07,29.0
2022-01-08,19.0
2022-01-09,15.0
2022-01-10,30.0
2022-01-11,35.0
2022-01-12,36.0
2022-01-13,43.0
2022-01-14,28.0
2022-01-15,23.0
2022-01-16,23.0
2022-01-17,26.0
2022-01-18,36.0
2022-01-19,39.0
2022-01-20,43.0
2022-01-21,38.0
2022-01-22,29.0
2022-01-23,33.0
2022-01-24,60.0
2022-01-25,49.0
2022-01-26,44.0
2022-01-27,44.0
2022-01-28,46.0
2022-01-29,36.0
2022-01-30,36.0
2022-01-31,52.0
2022-02-01,53.0
2022-02-02,54.0
2022-02-03,52.0
2022-02-04,48.0
2022-02-05,43.0
2022-02-06,43.0
2022-02-07,63.0
2022-02-08,65.0
2022-02-09,72.0
2022-02-10,51.0
2022-02-11,54.0
2022-02-12,44.0
2022-02-13,44.0
2022-02-14,67.0
2022-02-15,71.0
2022-02-16,69.0
2022-02-17,69.0
2022-02-18,62.0
2022-02-19,49.0
2022-02-20,53.0
2022-02-21,68.0
2022-02-22,71.0
2022-02-23,64.0
2022-02-24,57.0
2022-02-25,55.0
2022-02-26,48.0
2022-02-27,51.0
2022-02-28,73.0
2022-03-01,66.0
2022-03-02,65.0
2022-03-03,65.0
2022-03-04,55.0
2022-03-05,48.0
2022-03-06,43.0
2022-03-07,74.0
2022-03-08,66.0
2022-03-09,62.0
2022-03-10,60.0
2022-03-11,54.0
2022-03-12,49.0
2022-03-13,47.0
2022-03-14,64.0
2022-03-15,60.0
2022-03-16,55.0
2022-03-17,58.0
2022-03-18,49.0
2022-03-19,41.0
2022-03-20,51.0
2022-03-21,65.0
2022-03-22,71.0
2022-03-23,65.0
2022-03-24,64.0
2022-03-25,52.0
2022-03-26,51.0
2022-03-27,52.0
2022-03-28,70.0
2022-03-29,71.0
2022-03-30,72.0
2022-03-31,68.0
2022-04-01,59.0
2022-04-02,53.0
2022-04-03,58.0
2022-04-04,73.0
2022-04-05,75.0
2022-04-06,75.0
2022-04-07,75.0
2022-04-08,64.0
2022-04-09,58.0
2022-04-10,68.0
2022-04-11,77.0
2022-04-12,75.0
2022-04-13,68.0
2022-04-14,82.0
2022-04-15,69.0
2022-04-16,64.0
2022-04-17,73.0
2022-04-18,100.0
2022-04-19,68.0
2022-04-20,56.0
2022-04-21,56.0
2022-04-22,46.0
2022-04-23,35.0
2022-04-24,39.0
2022-04-25,51.0
2022-04-26,59.0
2022-04-27,57.0
2022-04-28,55.0
2022-04-29,46.0
2022-04-30,37.0
2022-05-01,37.0
2022-05-02,55.0
2022-05-03,55.0
