Time,bankruptcy
2022-01-01,26.0
2022-01-02,27.0
2022-01-03,47.0
2022-01-04,63.0
2022-01-05,60.0
2022-01-06,48.0
2022-01-07,50.0
2022-01-08,34.0
2022-01-09,31.0
2022-01-10,47.0
2022-01-11,61.0
2022-01-12,59.0
2022-01-13,62.0
2022-01-14,43.0
2022-01-15,33.0
2022-01-16,25.0
2022-01-17,36.0
2022-01-18,54.0
2022-01-19,57.0
2022-01-20,56.0
2022-01-21,56.0
2022-01-22,38.0
2022-01-23,33.0
2022-01-24,74.0
2022-01-25,57.0
2022-01-26,58.0
2022-01-27,53.0
2022-01-28,56.0
2022-01-29,32.0
2022-01-30,31.0
2022-01-31,59.0
2022-02-01,62.0
2022-02-02,55.0
2022-02-03,56.0
2022-02-04,49.0
2022-02-05,35.0
2022-02-06,32.0
2022-02-07,57.0
2022-02-08,71.0
2022-02-09,64.0
2022-02-10,50.0
2022-02-11,57.0
2022-02-12,37.0
2022-02-13,32.0
2022-02-14,52.0
2022-02-15,72.0
2022-02-16,73.0
2022-02-17,64.0
2022-02-18,57.0
2022-02-19,36.0
2022-02-20,38.0
2022-02-21,53.0
2022-02-22,62.0
2022-02-23,70.0
2022-02-24,54.0
2022-02-25,53.0
2022-02-26,34.0
2022-02-27,34.0
2022-02-28,63.0
2022-03-01,68.0
2022-03-02,64.0
2022-03-03,57.0
2022-03-04,58.0
2022-03-05,37.0
2022-03-06,32.0
2022-03-07,59.0
2022-03-08,63.0
2022-03-09,64.0
2022-03-10,61.0
2022-03-11,57.0
2022-03-12,36.0
2022-03-13,36.0
2022-03-14,59.0
2022-03-15,63.0
2022-03-16,64.0
2022-03-17,58.0
2022-03-18,54.0
2022-03-19,33.0
2022-03-20,35.0
2022-03-21,63.0
2022-03-22,64.0
2022-03-23,61.0
2022-03-24,63.0
2022-03-25,61.0
2022-03-26,34.0
2022-03-27,32.0
2022-03-28,61.0
2022-03-29,60.0
2022-03-30,64.0
2022-03-31,61.0
2022-04-01,60.0
2022-04-02,38.0
2022-04-03,33.0
2022-04-04,59.0
2022-04-05,64.0
2022-04-06,60.0
2022-04-07,60.0
2022-04-08,54.0
2022-04-09,40.0
2022-04-10,33.0
2022-04-11,55.0
2022-04-12,54.0
2022-04-13,60.0
2022-04-14,59.0
2022-04-15,54.0
2022-04-16,38.0
2022-04-17,35.0
2022-04-18,76.0
2022-04-19,68.0
2022-04-20,62.0
2022-04-21,64.0
2022-04-22,58.0
2022-04-23,37.0
2022-04-24,36.0
2022-04-25,56.0
2022-04-26,65.0
2022-04-27,63.0
2022-04-28,62.0
2022-04-29,57.0
2022-04-30,36.0
2022-05-01,36.0
2022-05-02,58.0
2022-05-03,60.0
2022-05-04,64.0
2022-05-05,59.0
2022-05-06,51.0
2022-05-07,35.0
2022-05-08,32.0
2022-05-09,62.0
2022-05-10,64.0
2022-05-11,79.0
2022-05-12,78.0
2022-05-13,57.0
2022-05-14,38.0
2022-05-15,36.0
2022-05-16,60.0
2022-05-17,64.0
2022-05-18,60.0
2022-05-19,57.0
2022-05-20,52.0
2022-05-21,38.0
2022-05-22,34.0
2022-05-23,55.0
2022-05-24,56.0
2022-05-25,54.0
2022-05-26,55.0
2022-05-27,48.0
2022-05-28,32.0
2022-05-29,30.0
2022-05-30,33.0
2022-05-31,57.0
2022-06-01,68.0
2022-06-02,67.0
2022-06-03,57.0
2022-06-04,38.0
2022-06-05,34.0
2022-06-06,59.0
2022-06-07,65.0
2022-06-08,63.0
2022-06-09,62.0
2022-06-10,56.0
2022-06-11,37.0
2022-06-12,37.0
2022-06-13,64.0
2022-06-14,64.0
2022-06-15,66.0
2022-06-16,100.0
2022-06-17,85.0
2022-06-18,48.0
2022-06-19,39.0
2022-06-20,59.0
2022-06-21,70.0
2022-06-22,69.0
2022-06-23,64.0
2022-06-24,63.0
2022-06-25,42.0
2022-06-26,40.0
2022-06-27,65.0
2022-06-28,66.0
2022-06-29,66.0
2022-06-30,65.0
2022-07-01,58.0
2022-07-02,40.0
2022-07-03,33.0
2022-07-04,33.0
2022-07-05,65.0
2022-07-06,83.0
2022-07-07,71.0
2022-07-08,58.0
2022-07-09,41.0
2022-07-10,41.0
2022-07-11,68.0
2022-07-12,68.0
2022-07-13,67.0
2022-07-14,81.0
2022-07-15,62.0
2022-07-16,41.0
2022-07-17,37.0
2022-07-18,68.0
2022-07-19,72.0
2022-07-20,69.0
2022-07-21,62.0
2022-07-22,59.0
2022-07-23,40.0
2022-07-24,36.0
2022-07-25,64.0
2022-07-26,71.0
2022-07-27,66.0
2022-07-28,64.0
2022-07-29,62.0
2022-07-30,48.0
2022-07-31,45.0
2022-08-01,70.0
2022-08-02,69.0
2022-08-03,68.0
2022-08-04,71.0
2022-08-05,55.0
2022-08-06,41.0
2022-08-07,36.0
2022-08-08,63.0
2022-08-09,69.0
2022-08-10,60.0
2022-08-11,66.0
