Time,amazon stock
2024-08-18,10
2024-08-19,36
2024-08-20,34
2024-08-21,34
2024-08-22,32
2024-08-23,33
2024-08-24,12
2024-08-25,10
2024-08-26,30
2024-08-27,30
2024-08-28,28
2024-08-29,32
2024-08-30,29
2024-08-31,10
2024-09-01,9
2024-09-02,10
2024-09-03,29
2024-09-04,30
2024-09-05,28
2024-09-06,26
2024-09-07,10
2024-09-08,8
2024-09-09,26
2024-09-10,28
2024-09-11,29
2024-09-12,34
2024-09-13,33
2024-09-14,11
2024-09-15,9
2024-09-16,30
2024-09-17,32
2024-09-18,36
2024-09-19,36
2024-09-20,32
2024-09-21,11
2024-09-22,8
2024-09-23,30
2024-09-24,32
2024-09-25,28
2024-09-26,28
2024-09-27,28
2024-09-28,10
2024-09-29,8
2024-09-30,27
2024-10-01,27
2024-10-02,27
2024-10-03,27
2024-10-04,30
2024-10-05,11
2024-10-06,9
2024-10-07,31
2024-10-08,28
2024-10-09,28
2024-10-10,27
2024-10-11,28
2024-10-12,11
2024-10-13,9
2024-10-14,27
2024-10-15,29
2024-10-16,27
2024-10-17,31
2024-10-18,28
2024-10-19,10
2024-10-20,9
2024-10-21,26
2024-10-22,28
2024-10-23,26
2024-10-24,29
2024-10-25,29
2024-10-26,11
2024-10-27,8
2024-10-28,29
2024-10-29,31
2024-10-30,37
2024-10-31,55
2024-11-01,64
2024-11-02,18
2024-11-03,11
2024-11-04,36
2024-11-05,34
2024-11-06,49
2024-11-07,55
2024-11-08,49
2024-11-09,18
2024-11-10,12
2024-11-11,40
2024-11-12,39
2024-11-13,46
2024-11-14,47
2024-11-15,45
2024-11-16,16
2024-11-17,11
2024-11-18,37
2024-11-19,38
2024-11-20,38
2024-11-21,40
2024-11-22,35
2024-11-23,14
2024-11-24,10
2024-11-25,36
2024-11-26,38
2024-11-27,34
2024-11-28,14
2024-11-29,31
2024-11-30,14
2024-12-01,11
2024-12-02,36
2024-12-03,38
2024-12-04,47
2024-12-05,43
2024-12-06,47
2024-12-07,18
2024-12-08,12
2024-12-09,41
2024-12-10,41
2024-12-11,45
2024-12-12,43
2024-12-13,37
2024-12-14,15
2024-12-15,11
2024-12-16,39
2024-12-17,42
2024-12-18,47
2024-12-19,49
2024-12-20,42
2024-12-21,15
2024-12-22,11
2024-12-23,34
2024-12-24,32
2024-12-25,14
2024-12-26,33
2024-12-27,32
2024-12-28,12
2024-12-29,10
2024-12-30,30
2024-12-31,30
2025-01-01,12
2025-01-02,34
2025-01-03,33
2025-01-04,15
2025-01-05,12
2025-01-06,34
2025-01-07,35
2025-01-08,32
2025-01-09,23
2025-01-10,29
2025-01-11,13
2025-01-12,10
2025-01-13,28
2025-01-14,29
2025-01-15,33
2025-01-16,33
2025-01-17,31
2025-01-18,14
2025-01-19,11
2025-01-20,17
2025-01-21,40
2025-01-22,44
2025-01-23,44
2025-01-24,35
2025-01-25,16
2025-01-26,11
2025-01-27,45
2025-01-28,47
2025-01-29,43
2025-01-30,41
2025-01-31,40
2025-02-01,17
2025-02-02,14
2025-02-03,45
2025-02-04,45
2025-02-05,44
2025-02-06,69
2025-02-07,64
2025-02-08,19
2025-02-09,12
2025-02-10,36
2025-02-11,34
2025-02-12,35
2025-02-13,34
2025-02-14,32
2025-02-15,14
2025-02-16,11
2025-02-17,18
2025-02-18,37
2025-02-19,32
2025-02-20,36
2025-02-21,39
2025-02-22,15
2025-02-23,11
2025-02-24,37
2025-02-25,37
2025-02-26,39
2025-02-27,38
2025-02-28,40
2025-03-01,16
2025-03-02,11
2025-03-03,38
2025-03-04,47
2025-03-05,41
2025-03-06,42
2025-03-07,42
2025-03-08,17
2025-03-09,12
2025-03-10,51
2025-03-11,58
2025-03-12,49
2025-03-13,45
2025-03-14,44
2025-03-15,16
2025-03-16,12
2025-03-17,37
2025-03-18,39
2025-03-19,39
2025-03-20,37
2025-03-21,32
2025-03-22,14
2025-03-23,11
2025-03-24,35
2025-03-25,37
2025-03-26,35
2025-03-27,32
2025-03-28,34
2025-03-29,16
2025-03-30,12
2025-03-31,41
2025-04-01,34
2025-04-02,43
2025-04-03,78
2025-04-04,89
2025-04-05,34
2025-04-06,24
2025-04-07,91
2025-04-08,75
2025-04-09,100
2025-04-10,73
2025-04-11,59
2025-04-12,19
2025-04-13,15
2025-04-14,49
2025-04-15,45
2025-04-16,45
2025-04-17,43
2025-04-18,26
2025-04-19,12
2025-04-20,11
2025-04-21,47
2025-04-22,47
2025-04-23,51
2025-04-24,45
2025-04-25,41
2025-04-26,14
2025-04-27,11
2025-04-28,37
2025-04-29,61
2025-04-30,48
2025-05-01,66
2025-05-02,57
2025-05-03,18
2025-05-04,13
2025-05-05,35
2025-05-06,37
2025-05-07,37
2025-05-08,38
2025-05-09,36
2025-05-10,12
2025-05-11,10
2025-05-12,64
2025-05-13,57
2025-05-14,48
