Time,amazon stock
2023-04-26,55
2023-04-27,82
2023-04-28,89
2023-04-29,21
2023-04-30,13
2023-05-01,46
2023-05-02,44
2023-05-03,45
2023-05-04,43
2023-05-05,39
2023-05-06,16
2023-05-07,11
2023-05-08,41
2023-05-09,38
2023-05-10,46
2023-05-11,50
2023-05-12,44
2023-05-13,16
2023-05-14,11
2023-05-15,44
2023-05-16,48
2023-05-17,47
2023-05-18,53
2023-05-19,49
2023-05-20,16
2023-05-21,11
2023-05-22,44
2023-05-23,44
2023-05-24,43
2023-05-25,49
2023-05-26,54
2023-05-27,20
2023-05-28,14
2023-05-29,15
2023-05-30,54
2023-05-31,50
2023-06-01,52
2023-06-02,61
2023-06-03,20
2023-06-04,15
2023-06-05,51
2023-06-06,51
2023-06-07,56
2023-06-08,54
2023-06-09,49
2023-06-10,16
2023-06-11,12
2023-06-12,48
2023-06-13,57
2023-06-14,56
2023-06-15,52
2023-06-16,48
2023-06-17,16
2023-06-18,13
2023-06-19,22
2023-06-20,45
2023-06-21,45
2023-06-22,49
2023-06-23,52
2023-06-24,16
2023-06-25,11
2023-06-26,44
2023-06-27,46
2023-06-28,45
2023-06-29,44
2023-06-30,48
2023-07-01,17
2023-07-02,13
2023-07-03,40
2023-07-04,17
2023-07-05,47
2023-07-06,46
2023-07-07,46
2023-07-08,16
2023-07-09,12
2023-07-10,44
2023-07-11,50
2023-07-12,50
2023-07-13,54
2023-07-14,53
2023-07-15,18
2023-07-16,13
2023-07-17,46
2023-07-18,46
2023-07-19,50
2023-07-20,50
2023-07-21,48
2023-07-22,15
2023-07-23,11
2023-07-24,45
2023-07-25,49
2023-07-26,50
2023-07-27,46
2023-07-28,46
2023-07-29,16
2023-07-30,13
2023-07-31,47
2023-08-01,46
2023-08-02,44
2023-08-03,77
2023-08-04,100
2023-08-05,25
2023-08-06,15
2023-08-07,61
2023-08-08,51
2023-08-09,49
2023-08-10,45
2023-08-11,40
2023-08-12,12
2023-08-13,10
2023-08-14,44
2023-08-15,41
2023-08-16,41
2023-08-17,40
2023-08-18,40
2023-08-19,14
2023-08-20,11
2023-08-21,39
2023-08-22,36
2023-08-23,41
2023-08-24,39
2023-08-25,37
2023-08-26,13
2023-08-27,11
2023-08-28,34
2023-08-29,38
2023-08-30,38
2023-08-31,40
2023-09-01,38
2023-09-02,14
2023-09-03,10
2023-09-04,11
2023-09-05,34
2023-09-06,33
2023-09-07,33
2023-09-08,33
2023-09-09,12
2023-09-10,10
2023-09-11,42
2023-09-12,41
2023-09-13,43
2023-09-14,45
2023-09-15,37
2023-09-16,13
2023-09-17,10
2023-09-18,36
2023-09-19,37
2023-09-20,37
2023-09-21,39
2023-09-22,34
2023-09-23,13
2023-09-24,9
2023-09-25,37
2023-09-26,45
2023-09-27,43
2023-09-28,39
2023-09-29,36
2023-09-30,13
2023-10-01,10
2023-10-02,34
2023-10-03,38
2023-10-04,38
2023-10-05,31
2023-10-06,35
2023-10-07,13
2023-10-08,10
2023-10-09,32
2023-10-10,38
2023-10-11,37
2023-10-12,38
2023-10-13,32
2023-10-14,12
2023-10-15,10
2023-10-16,34
2023-10-17,35
2023-10-18,33
2023-10-19,31
2023-10-20,31
2023-10-21,12
2023-10-22,9
2023-10-23,36
2023-10-24,37
2023-10-25,44
2023-10-26,67
2023-10-27,70
2023-10-28,18
2023-10-29,11
2023-10-30,44
2023-10-31,42
2023-11-01,44
2023-11-02,47
2023-11-03,43
2023-11-04,15
2023-11-05,10
2023-11-06,41
2023-11-07,46
2023-11-08,47
2023-11-09,42
2023-11-10,43
2023-11-11,16
2023-11-12,11
2023-11-13,37
2023-11-14,50
2023-11-15,56
2023-11-16,47
2023-11-17,46
2023-11-18,18
2023-11-19,11
2023-11-20,44
2023-11-21,46
2023-11-22,47
2023-11-23,17
2023-11-24,32
2023-11-25,15
2023-11-26,13
2023-11-27,44
2023-11-28,48
2023-11-29,43
2023-11-30,44
2023-12-01,39
2023-12-02,17
2023-12-03,12
2023-12-04,37
2023-12-05,42
2023-12-06,40
2023-12-07,39
2023-12-08,43
2023-12-09,17
2023-12-10,12
2023-12-11,37
2023-12-12,41
2023-12-13,44
2023-12-14,48
2023-12-15,46
2023-12-16,18
2023-12-17,12
2023-12-18,47
2023-12-19,49
2023-12-20,46
2023-12-21,43
2023-12-22,42
2023-12-23,16
2023-12-24,11
2023-12-25,10
2023-12-26,37
2023-12-27,41
2023-12-28,39
2023-12-29,39
2023-12-30,15
2023-12-31,10
2024-01-01,11
2024-01-02,39
2024-01-03,40
2024-01-04,40
2024-01-05,38
2024-01-06,16
2024-01-07,11
2024-01-08,36
2024-01-09,38
2024-01-10,43
2024-01-11,46
2024-01-12,39
2024-01-13,14
2024-01-14,10
2024-01-15,16
2024-01-16,35
2024-01-17,38
2024-01-18,37
2024-01-19,39
2024-01-20,17
